행정동,연도,분기,나이,매출금액
여의동,2020,2,10,726871090
여의동,2020,2,20,27531016182
여의동,2020,2,30,49062511908
여의동,2020,2,40,44615982687
여의동,2020,2,50,40173935795
여의동,2020,2,60,21324270315
여의동,2020,3,0,240236368126
여의동,2020,3,10,514266196
여의동,2020,3,20,27784850947
여의동,2020,3,30,46354008324
여의동,2020,3,40,43965726399
여의동,2020,3,50,42187184282
여의동,2020,3,60,19710770895
여의동,2020,4,0,242949550497
여의동,2020,4,10,716465201
여의동,2020,4,20,26334884776
여의동,2020,4,30,43207657943
여의동,2020,4,40,41750363589
여의동,2020,4,50,37939029195
여의동,2020,4,60,20815111593
여의동,2021,1,0,257328979780
여의동,2021,1,10,414088415
여의동,2021,1,20,26208671509
여의동,2021,1,30,45943610858
여의동,2021,1,40,44063086945
여의동,2021,1,50,43845064831
여의동,2021,1,60,22507833223
여의동,2021,2,0,293688371006
여의동,2021,2,10,676808389
여의동,2021,2,20,33862627850
여의동,2021,2,30,58164931092
여의동,2021,2,40,50750559288
여의동,2021,2,50,41058485556
여의동,2021,2,60,28565271318
여의동,2021,3,0,250051907451
여의동,2021,3,10,583402131
여의동,2021,3,20,29126632916
여의동,2021,3,30,47637593280
여의동,2021,3,40,44276299485
여의동,2021,3,50,37901340693
여의동,2021,3,60,27824046569
여의동,2021,4,0,311464142065
여의동,2021,4,10,715608090
여의동,2021,4,20,35277930387
여의동,2021,4,30,57544215719
여의동,2021,4,40,51312433755
여의동,2021,4,50,42035637359
여의동,2021,4,60,26339077630
여의동,2022,1,0,274430985076
여의동,2022,1,10,484263389
여의동,2022,1,20,28578390970
여의동,2022,1,30,52816460139
여의동,2022,1,40,44009030861
여의동,2022,1,50,42443297541
여의동,2022,1,60,27309142512
여의동,2022,2,0,342530594698
여의동,2022,2,10,740259345
여의동,2022,2,20,37046599203
여의동,2022,2,30,66994982299
여의동,2022,2,40,58967788751
여의동,2022,2,50,46266531561
여의동,2022,2,60,33112976973
여의동,2022,3,0,333932586857
여의동,2022,3,10,745828085
여의동,2022,3,20,37710565376
여의동,2022,3,30,66093072695
