행정동,20대_매출_억(2024),20대_매출비중(%),20대_성장률_23v24(%),매출규모_순위,비중_순위,성장률_순위
혜화동,636.8,28.63,-6.8,31,8,109
홍은1동,25.1,2.96,-25.5,360,398,399
홍은2동,69.0,7.83,-11.2,256,159,193
홍제1동,54.3,6.59,-12.0,285,215,212
홍제2동,44.2,10.36,-2.6,309,88,61
홍제3동,82.2,3.51,-10.0,232,385,167
화곡1동,428.8,12.06,-7.4,51,67,120
화곡2동,15.8,3.96,-22.3,391,366,377
화곡3동,134.3,10.96,-18.4,167,81,335
화곡4동,79.8,5.35,-14.8,234,282,268
화곡6동,158.5,10.26,-10.2,141,89,174
화곡8동,100.2,7.85,-19.9,208,158,362
화곡본동,118.2,8.21,-12.5,187,138,227
화양동,1363.1,37.84,-12.4,14,2,224
황학동,144.0,6.39,-16.5,156,222,303
회기동,377.3,29.42,-15.7,59,5,289
회현동,316.9,3.37,-17.3,72,393,319
효창동,17.7,3.99,-13.6,387,360,242
후암동,70.7,8.01,-2.4,252,147,58
휘경1동,131.4,16.84,-16.0,169,32,296
휘경2동,58.2,9.77,-22.0,279,98,374
흑석동,267.2,13.23,-15.0,90,55,276
