행정동,20대매출_2020억,20대매출_2021억,20대매출_2022억,20대매출_2023억,20대매출_2024억,20대비중_2020%,20대비중_2021%,20대비중_2022%,20대비중_2023%,20대비중_2024%,20대성장률_2019v2020%,20대성장률_2020v2021%,20대성장률_2021v2022%,20대성장률_2022v2023%,20대성장률_2023v2024%,z_매출규모_2020,z_매출규모_2021,z_매출규모_2022,z_매출규모_2023,z_매출규모_2024,z_매출비중_2020,z_매출비중_2021,z_매출비중_2022,z_매출비중_2023,z_매출비중_2024,z_성장률_2020v2021,z_성장률_2021v2022,z_성장률_2022v2023,z_성장률_2023v2024
등촌1동,261.2,302.2,279.7,270.6,241.7,10.4,10.27,9.9,8.92,7.8,,15.7,-7.5,-3.2,-10.7,0.01,0.072,0.023,0.042,0.037,-0.27,-0.145,-0.078,-0.04,-0.074,0.141,-0.291,0.605,0.082
등촌2동,35.3,30.5,26.6,27.2,28.3,11.1,7.09,7.01,7.13,6.81,,-13.6,-13.0,2.5,4.1,-0.463,-0.487,-0.484,-0.475,-0.453,-0.171,-0.644,-0.532,-0.335,-0.249,-1.085,-0.705,1.143,1.517
등촌3동,234.2,220.9,212.1,196.1,164.8,10.97,9.05,8.18,6.98,6.21,,-5.7,-4.0,-7.6,-16.0,-0.047,-0.095,-0.113,-0.116,-0.139,-0.19,-0.337,-0.348,-0.359,-0.355,-0.754,-0.028,0.189,-0.432
마장동,78.3,98.7,92.8,78.0,67.4,9.7,9.85,8.41,7.03,6.23,,26.1,-6.0,-15.9,-13.7,-0.373,-0.346,-0.351,-0.367,-0.363,-0.369,-0.211,-0.312,-0.351,-0.351,0.576,-0.178,-0.595,-0.208
마천1동,41.4,44.5,38.9,31.7,35.3,5.62,2.81,2.63,2.12,2.49,,7.4,-12.5,-18.6,11.5,-0.451,-0.458,-0.459,-0.466,-0.436,-0.944,-1.316,-1.219,-1.16,-1.011,-0.206,-0.667,-0.85,2.235
마천2동,82.5,96.3,79.6,59.9,55.7,7.51,6.32,5.02,3.94,3.53,,16.8,-17.3,-24.8,-7.0,-0.364,-0.351,-0.378,-0.406,-0.39,-0.678,-0.765,-0.844,-0.86,-0.828,0.187,-1.029,-1.436,0.441
망우3동,41.1,50.9,45.1,37.8,30.6,9.03,7.89,7.62,6.36,5.25,,23.8,-11.3,-16.3,-18.9,-0.451,-0.445,-0.447,-0.453,-0.447,-0.463,-0.519,-0.436,-0.461,-0.524,0.48,-0.577,-0.633,-0.713
망우본동,193.3,231.4,199.7,167.4,146.4,9.17,8.77,7.55,6.27,5.34,,19.7,-13.7,-16.2,-12.5,-0.132,-0.074,-0.137,-0.177,-0.181,-0.444,-0.381,-0.447,-0.476,-0.508,0.308,-0.758,-0.623,-0.092
망원1동,280.3,336.6,340.2,314.5,285.6,17.61,17.42,16.56,14.86,13.82,,20.1,1.1,-7.5,-9.2,0.05,0.143,0.144,0.136,0.138,0.747,0.977,0.968,0.939,0.988,0.325,0.356,0.198,0.228
망원2동,128.7,142.4,153.5,138.7,102.3,13.44,12.8,12.8,10.95,7.99,,10.7,7.8,-9.6,-26.3,-0.268,-0.257,-0.23,-0.238,-0.283,0.159,0.252,0.377,0.295,-0.041,-0.068,0.861,0.0,-1.43
면목2동,67.5,79.4,67.4,60.0,51.9,9.05,7.83,6.44,5.72,5.04,,17.7,-15.1,-11.0,-13.5,-0.396,-0.386,-0.402,-0.406,-0.398,-0.46,-0.528,-0.621,-0.567,-0.561,0.224,-0.863,-0.132,-0.189
면목3·8동,198.9,205.2,196.0,177.1,145.7,17.42,14.94,12.85,11.12,9.61,,3.2,-4.4,-9.7,-17.7,-0.121,-0.128,-0.145,-0.156,-0.183,0.72,0.588,0.385,0.323,0.245,-0.382,-0.058,-0.009,-0.596
면목4동,28.1,39.7,40.6,33.3,27.1,7.01,7.24,7.19,6.61,5.45,,41.2,2.2,-18.0,-18.4,-0.478,-0.468,-0.456,-0.462,-0.455,-0.748,-0.621,-0.503,-0.42,-0.489,1.208,0.439,-0.793,-0.664
면목5동,26.6,23.9,18.4,16.4,20.9,6.88,7.33,6.08,5.46,5.68,,-9.8,-23.3,-10.5,27.2,-0.482,-0.5,-0.5,-0.498,-0.47,-0.767,-0.607,-0.678,-0.61,-0.448,-0.926,-1.48,-0.085,3.576
면목7동,156.2,151.2,134.3,116.4,102.1,11.27,9.54,8.12,6.63,5.49,,-3.2,-11.2,-13.3,-12.3,-0.21,-0.239,-0.268,-0.286,-0.283,-0.147,-0.26,-0.357,-0.417,-0.482,-0.65,-0.57,-0.349,-0.073
면목본동,199.5,229.0,203.7,177.8,152.4,10.94,10.56,9.19,7.9,6.67,,14.8,-11.1,-12.7,-14.3,-0.119,-0.079,-0.129,-0.155,-0.168,-0.194,-0.1,-0.189,-0.208,-0.274,0.103,-0.562,-0.293,-0.267
명동,1506.8,1273.7,1299.2,1293.8,1258.3,20.54,16.93,15.36,13.67,12.66,,-15.5,2.0,-0.4,-2.7,2.618,2.069,2.063,2.219,2.371,1.16,0.901,0.779,0.743,0.783,-1.164,0.424,0.869,0.858
명일1동,163.4,180.3,167.7,142.5,121.9,9.38,8.54,7.27,5.86,5.02,,10.4,-7.0,-15.0,-14.4,-0.195,-0.179,-0.201,-0.23,-0.238,-0.414,-0.417,-0.491,-0.544,-0.565,-0.081,-0.253,-0.51,-0.276
명일2동,129.2,214.6,210.0,192.9,144.2,8.21,8.52,7.08,5.72,4.29,,66.1,-2.1,-8.1,-25.2,-0.267,-0.108,-0.117,-0.123,-0.186,-0.579,-0.42,-0.521,-0.567,-0.694,2.249,0.115,0.142,-1.324
목1동,322.8,361.9,346.0,282.4,255.4,13.13,12.5,10.61,8.41,7.57,,12.1,-4.4,-18.4,-9.5,0.139,0.195,0.155,0.068,0.069,0.115,0.205,0.034,-0.124,-0.115,-0.01,-0.058,-0.831,0.199
목2동,139.6,151.6,153.2,130.0,100.3,13.67,12.8,11.75,10.01,8.68,,8.6,1.1,-15.1,-22.8,-0.245,-0.238,-0.231,-0.257,-0.287,0.191,0.252,0.213,0.14,0.081,-0.156,0.356,-0.519,-1.091
목3동,137.2,135.9,120.7,101.6,96.9,10.01,9.7,8.32,6.94,6.55,,-0.9,-11.2,-15.8,-4.6,-0.25,-0.27,-0.296,-0.317,-0.295,-0.325,-0.235,-0.326,-0.366,-0.295,-0.554,-0.57,-0.585,0.674
목4동,67.0,77.0,64.7,51.6,47.8,6.53,6.21,5.61,4.54,4.31,,14.9,-16.0,-20.1,-7.4,-0.397,-0.391,-0.408,-0.423,-0.408,-0.816,-0.783,-0.751,-0.761,-0.69,0.107,-0.931,-0.992,0.402
목5동,65.3,75.7,65.2,65.6,59.9,4.38,3.48,2.72,2.4,2.11,,15.8,-13.9,0.7,-8.8,-0.4,-0.394,-0.407,-0.394,-0.38,-1.119,-1.211,-1.205,-1.114,-1.078,0.145,-0.773,0.973,0.267
무악동,17.3,21.8,21.4,17.8,16.5,9.18,6.94,6.69,5.64,5.19,,26.0,-1.5,-16.9,-7.3,-0.501,-0.505,-0.494,-0.495,-0.48,-0.442,-0.668,-0.582,-0.58,-0.535,0.572,0.161,-0.689,0.412
묵1동,152.2,154.2,146.9,118.6,105.3,13.23,10.65,10.36,6.55,5.46,,1.3,-4.7,-19.2,-11.2,-0.219,-0.232,-0.243,-0.281,-0.276,0.129,-0.086,-0.006,-0.43,-0.487,-0.462,-0.08,-0.907,0.034
묵2동,87.6,124.6,91.9,90.8,91.5,9.7,11.01,9.27,8.09,7.74,,42.2,-26.3,-1.1,0.7,-0.354,-0.293,-0.353,-0.34,-0.307,-0.369,-0.029,-0.177,-0.176,-0.085,1.249,-1.706,0.803,1.188
문래동,381.5,447.5,502.6,486.8,468.9,9.4,10.48,11.24,9.02,7.44,,17.3,12.3,-3.1,-3.7,0.262,0.371,0.469,0.502,0.559,-0.411,-0.112,0.133,-0.023,-0.138,0.208,1.199,0.614,0.761
문정1동,88.3,81.2,83.7,88.4,91.4,8.94,7.56,7.23,6.81,7.12,,-8.0,3.1,5.6,3.3,-0.352,-0.382,-0.37,-0.345,-0.308,-0.476,-0.571,-0.497,-0.387,-0.194,-0.851,0.507,1.436,1.44
문정2동,448.3,509.0,452.7,438.8,377.0,11.02,8.5,8.77,8.27,6.6,,13.5,-11.0,-3.1,-14.1,0.402,0.497,0.369,0.4,0.348,-0.183,-0.423,-0.255,-0.147,-0.286,0.049,-0.554,0.614,-0.247
미성동,89.6,102.3,92.9,72.0,63.9,10.69,9.93,9.19,6.63,5.89,,14.2,-9.2,-22.5,-11.3,-0.35,-0.339,-0.351,-0.38,-0.371,-0.229,-0.199,-0.189,-0.417,-0.411,0.078,-0.419,-1.218,0.024
미아동,198.7,183.7,274.6,221.0,124.5,14.16,10.99,15.49,11.54,6.75,,-7.5,49.5,-19.5,-43.7,-0.121,-0.172,0.012,-0.063,-0.232,0.26,-0.032,0.8,0.392,-0.26,-0.83,2.828,-0.935,-2.844
반포1동,320.1,354.4,390.5,361.4,353.1,14.06,13.2,13.63,11.49,10.82,,10.7,10.2,-7.4,-2.3,0.133,0.179,0.244,0.236,0.293,0.246,0.315,0.508,0.384,0.459,-0.068,1.041,0.208,0.897
반포2동,36.4,31.4,38.6,38.9,29.4,5.62,4.5,4.34,3.23,2.41,,-13.6,22.8,0.8,-24.4,-0.461,-0.485,-0.46,-0.45,-0.45,-0.944,-1.051,-0.951,-0.977,-1.025,-1.085,1.99,0.982,-1.246
반포3동,156.9,221.9,229.3,192.0,179.5,5.97,6.64,7.72,4.92,4.45,,41.4,3.4,-16.3,-6.5,-0.209,-0.093,-0.078,-0.125,-0.105,-0.895,-0.715,-0.42,-0.698,-0.665,1.216,0.529,-0.633,0.49
반포4동,195.9,203.6,198.5,161.9,131.2,6.76,5.59,4.81,3.64,2.95,,4.0,-2.5,-18.4,-19.0,-0.127,-0.131,-0.14,-0.189,-0.216,-0.784,-0.88,-0.877,-0.909,-0.93,-0.349,0.085,-0.831,-0.722
반포본동,8.2,3.5,1.8,1.8,1.4,6.17,3.31,1.99,2.19,2.26,,-57.6,-46.8,0.1,-25.4,-0.52,-0.542,-0.534,-0.529,-0.514,-0.867,-1.238,-1.32,-1.148,-1.052,-2.58,-2.961,0.916,-1.343
발산1동,327.7,345.3,310.0,247.0,205.4,4.96,4.87,4.52,3.61,3.24,,5.4,-10.2,-20.3,-16.8,0.149,0.16,0.083,-0.008,-0.046,-1.037,-0.993,-0.922,-0.914,-0.879,-0.29,-0.494,-1.011,-0.509
방배1동,274.8,263.0,283.9,275.0,252.4,10.83,10.63,10.14,8.77,8.92,,-4.3,7.9,-3.1,-8.2,0.038,-0.009,0.031,0.052,0.062,-0.209,-0.089,-0.04,-0.064,0.123,-0.696,0.868,0.614,0.325
방배2동,190.1,224.7,239.3,251.1,213.5,13.62,15.91,14.45,13.41,11.41,,18.2,6.5,4.9,-15.0,-0.139,-0.087,-0.058,0.001,-0.027,0.184,0.74,0.636,0.7,0.563,0.245,0.763,1.37,-0.335
방배3동,35.9,42.5,35.3,29.7,25.9,4.09,4.24,3.47,2.84,2.5,,18.2,-16.8,-15.9,-13.0,-0.462,-0.462,-0.466,-0.47,-0.458,-1.16,-1.092,-1.087,-1.041,-1.009,0.245,-0.991,-0.595,-0.141
방배4동,205.0,196.5,182.2,156.5,142.8,9.57,8.52,7.56,6.31,5.92,,-4.2,-7.3,-14.1,-8.8,-0.108,-0.145,-0.172,-0.2,-0.19,-0.387,-0.42,-0.445,-0.47,-0.406,-0.692,-0.276,-0.425,0.267
방배본동,141.9,155.7,129.6,107.7,115.4,8.05,7.58,6.21,5.02,5.45,,9.7,-16.8,-16.9,7.2,-0.24,-0.229,-0.278,-0.304,-0.253,-0.602,-0.568,-0.657,-0.682,-0.489,-0.11,-0.991,-0.689,1.818
방이1동,98.9,91.9,87.8,80.9,76.0,8.59,6.62,5.88,4.56,3.99,,-7.0,-4.4,-7.8,-6.0,-0.33,-0.36,-0.361,-0.361,-0.343,-0.525,-0.718,-0.709,-0.758,-0.746,-0.809,-0.058,0.17,0.538
방이2동,755.7,807.7,935.4,912.0,904.9,22.56,20.1,20.64,18.92,18.42,,6.9,15.8,-2.5,-0.8,1.045,1.111,1.335,1.407,1.56,1.445,1.398,1.608,1.607,1.8,-0.227,1.463,0.671,1.042
방학1동,166.4,172.1,192.7,160.4,138.6,10.32,9.02,9.36,7.41,6.32,,3.4,12.0,-16.8,-13.6,-0.189,-0.196,-0.151,-0.192,-0.199,-0.281,-0.341,-0.163,-0.288,-0.335,-0.374,1.177,-0.68,-0.199
방학2동,55.4,60.3,52.0,49.6,37.6,3.94,3.21,2.72,2.24,1.66,,8.8,-13.7,-4.5,-24.3,-0.421,-0.425,-0.433,-0.428,-0.431,-1.181,-1.254,-1.205,-1.14,-1.158,-0.148,-0.758,0.482,-1.236
방학3동,40.1,40.6,29.5,26.3,24.4,8.54,7.95,6.01,4.93,4.35,,1.3,-27.4,-11.0,-7.1,-0.453,-0.466,-0.478,-0.477,-0.461,-0.532,-0.509,-0.689,-0.697,-0.683,-0.462,-1.789,-0.132,0.431
방화1동,162.8,190.9,164.1,153.0,139.7,9.62,8.02,6.75,6.01,5.45,,17.2,-14.0,-6.7,-8.7,-0.196,-0.157,-0.209,-0.208,-0.197,-0.38,-0.498,-0.572,-0.519,-0.489,0.204,-0.78,0.274,0.276
방화2동,80.6,94.3,84.2,77.5,72.5,9.11,8.65,7.59,6.77,6.25,,17.0,-10.7,-7.9,-6.4,-0.368,-0.356,-0.369,-0.368,-0.351,-0.452,-0.4,-0.44,-0.394,-0.348,0.195,-0.532,0.161,0.499
방화3동,44.1,44.6,41.7,28.6,25.3,12.12,9.12,8.22,5.81,4.9,,1.3,-6.5,-31.5,-11.6,-0.445,-0.458,-0.454,-0.472,-0.459,-0.027,-0.326,-0.342,-0.552,-0.586,-0.462,-0.216,-2.068,-0.005
번1동,423.2,344.3,320.5,290.4,256.4,18.55,15.17,13.62,11.75,10.2,,-18.7,-6.9,-9.4,-11.7,0.349,0.158,0.104,0.085,0.071,0.88,0.624,0.506,0.426,0.349,-1.298,-0.246,0.019,-0.015
번2동,17.8,20.8,18.7,14.6,8.6,6.35,6.87,6.38,5.66,4.18,,16.5,-10.1,-21.9,-41.1,-0.5,-0.507,-0.5,-0.502,-0.498,-0.841,-0.679,-0.63,-0.577,-0.713,0.174,-0.487,-1.162,-2.844
번3동,29.9,31.2,29.9,23.7,18.9,6.47,5.96,5.56,4.02,3.46,,4.2,-4.2,-20.7,-20.5,-0.475,-0.485,-0.477,-0.483,-0.474,-0.824,-0.822,-0.759,-0.847,-0.84,-0.34,-0.043,-1.048,-0.868
보광동,80.2,72.0,76.0,58.1,35.7,10.94,10.3,9.81,8.56,7.92,,-10.3,5.6,-23.6,-38.5,-0.369,-0.401,-0.385,-0.41,-0.436,-0.194,-0.14,-0.092,-0.099,-0.053,-0.947,0.695,-1.322,-2.613
보라매동,112.0,129.8,139.9,124.0,94.0,13.23,12.57,13.0,11.34,9.48,,15.9,7.8,-11.4,-24.2,-0.303,-0.283,-0.257,-0.269,-0.302,0.129,0.216,0.409,0.359,0.222,0.149,0.861,-0.17,-1.227
보문동,79.2,63.7,55.6,56.2,53.2,15.17,11.43,11.84,10.48,9.29,,-19.5,-12.9,1.2,-5.4,-0.371,-0.418,-0.426,-0.414,-0.395,0.403,0.037,0.227,0.217,0.189,-1.332,-0.698,1.02,0.596
부암동,23.8,30.1,32.9,33.8,26.6,15.8,11.42,11.32,11.24,8.72,,26.2,9.4,2.8,-21.5,-0.487,-0.487,-0.471,-0.461,-0.456,0.492,0.035,0.145,0.342,0.088,0.58,0.981,1.171,-0.965
북가좌1동,11.9,11.1,10.4,9.0,5.3,8.88,5.6,5.8,4.78,2.94,,-7.0,-6.0,-14.2,-40.9,-0.512,-0.527,-0.516,-0.514,-0.505,-0.484,-0.878,-0.721,-0.722,-0.932,-0.809,-0.178,-0.434,-2.844
북가좌2동,135.7,116.2,117.8,133.2,110.7,9.92,8.15,7.46,7.34,6.6,,-14.3,1.3,13.1,-16.9,-0.253,-0.311,-0.301,-0.25,-0.263,-0.338,-0.478,-0.461,-0.3,-0.286,-1.114,0.371,2.144,-0.519
북아현동,39.6,45.1,38.3,41.7,40.5,8.61,8.46,6.82,7.34,7.4,,13.8,-15.1,9.1,-3.0,-0.454,-0.457,-0.46,-0.445,-0.425,-0.523,-0.429,-0.561,-0.3,-0.145,0.061,-0.863,1.766,0.829
불광1동,160.7,200.6,174.4,167.0,155.2,10.74,10.35,9.72,8.58,7.87,,24.8,-13.1,-4.2,-7.1,-0.201,-0.137,-0.188,-0.178,-0.161,-0.222,-0.133,-0.106,-0.096,-0.062,0.521,-0.713,0.51,0.431
불광2동,97.2,109.2,90.3,80.0,69.6,10.12,9.02,7.79,6.65,5.57,,12.4,-17.3,-11.4,-13.0,-0.334,-0.325,-0.356,-0.363,-0.358,-0.31,-0.341,-0.409,-0.414,-0.468,0.003,-1.029,-0.17,-0.141
사근동,616.2,643.1,749.4,740.0,622.2,53.86,47.77,47.35,44.45,41.09,,4.4,16.5,-1.3,-15.9,0.753,0.773,0.963,1.041,0.911,5.86,5.743,5.801,5.812,5.8,-0.332,1.516,0.784,-0.422
사당1동,423.5,403.5,441.8,463.0,428.5,22.26,19.58,18.51,17.79,16.42,,-4.7,9.5,4.8,-7.5,0.35,0.28,0.347,0.452,0.466,1.403,1.317,1.274,1.421,1.447,-0.713,0.989,1.36,0.393
사당2동,329.5,385.5,384.4,344.0,317.7,13.73,13.72,12.41,11.09,10.21,,17.0,-0.3,-10.5,-7.6,0.153,0.243,0.232,0.199,0.212,0.2,0.397,0.316,0.318,0.351,0.195,0.251,-0.085,0.383
사당3동,37.3,38.0,39.6,39.7,39.8,11.11,9.54,8.15,7.01,6.76,,1.7,4.3,0.1,0.4,-0.459,-0.471,-0.458,-0.449,-0.426,-0.17,-0.26,-0.353,-0.354,-0.258,-0.445,0.597,0.916,1.159
사당4동,79.2,78.3,66.8,53.8,51.1,10.41,8.86,7.88,6.29,5.79,,-1.1,-14.7,-19.5,-5.0,-0.371,-0.388,-0.403,-0.419,-0.4,-0.269,-0.367,-0.395,-0.473,-0.429,-0.562,-0.833,-0.935,0.635
사당5동,23.1,23.7,20.0,16.8,16.2,13.55,12.32,9.86,7.91,7.32,,2.9,-15.7,-16.3,-3.2,-0.489,-0.501,-0.497,-0.498,-0.48,0.174,0.177,-0.084,-0.206,-0.159,-0.395,-0.908,-0.633,0.81
사직동,355.0,494.6,548.6,505.0,479.3,14.75,15.27,14.12,12.41,11.56,,39.3,10.9,-7.9,-5.1,0.206,0.467,0.561,0.541,0.583,0.344,0.64,0.585,0.535,0.589,1.128,1.094,0.161,0.625
삼각산동,28.4,37.0,29.2,27.6,19.7,7.43,7.41,5.71,5.2,3.83,,30.0,-20.9,-5.7,-28.7,-0.478,-0.473,-0.479,-0.475,-0.472,-0.689,-0.594,-0.736,-0.652,-0.775,0.739,-1.3,0.368,-1.663
삼선동,205.0,218.7,231.7,226.8,229.8,12.01,10.83,10.46,9.64,9.44,,6.7,5.9,-2.1,1.3,-0.108,-0.1,-0.073,-0.051,0.01,-0.043,-0.057,0.01,0.079,0.215,-0.236,0.718,0.709,1.246
삼성1동,1643.9,1761.5,1826.0,1478.3,1082.7,13.5,16.04,15.16,12.73,10.56,,7.2,3.7,-19.0,-26.8,2.905,3.072,3.118,2.612,1.968,0.167,0.761,0.748,0.588,0.413,-0.215,0.552,-0.888,-1.479
삼성2동,492.4,393.4,386.9,330.4,285.2,12.22,10.79,10.09,9.0,7.92,,-20.1,-1.7,-14.6,-13.7,0.494,0.259,0.237,0.17,0.137,-0.013,-0.064,-0.048,-0.027,-0.053,-1.357,0.146,-0.472,-0.208
삼성동,24.1,35.4,23.6,18.9,17.8,6.52,7.31,4.86,3.62,3.83,,46.7,-33.5,-19.8,-5.5,-0.487,-0.477,-0.49,-0.493,-0.477,-0.817,-0.61,-0.869,-0.913,-0.775,1.438,-2.248,-0.963,0.587
삼양동,53.9,80.2,85.1,49.6,42.5,8.92,11.48,10.53,6.53,5.63,,49.0,6.1,-41.7,-14.3,-0.424,-0.385,-0.367,-0.428,-0.42,-0.479,0.045,0.021,-0.433,-0.457,1.534,0.733,-2.482,-0.267
삼전동,243.7,253.2,242.8,207.7,171.9,10.7,8.94,8.02,7.11,5.72,,3.9,-4.1,-14.5,-17.2,-0.027,-0.029,-0.051,-0.091,-0.123,-0.228,-0.354,-0.373,-0.338,-0.441,-0.353,-0.035,-0.463,-0.548
삼청동,226.1,389.6,389.6,304.8,253.8,26.84,29.57,22.89,19.14,16.23,,72.3,-0.0,-21.8,-16.7,-0.064,0.252,0.243,0.115,0.065,2.049,2.885,1.961,1.644,1.413,2.509,0.274,-1.152,-0.499
상계10동,21.5,26.7,20.9,22.8,22.1,20.41,14.68,13.22,11.95,11.18,,24.5,-21.7,9.2,-3.4,-0.492,-0.494,-0.495,-0.485,-0.467,1.142,0.547,0.443,0.459,0.522,0.509,-1.36,1.776,0.79
상계1동,182.1,196.6,176.1,151.8,125.1,12.81,11.26,9.16,7.57,6.61,,8.0,-10.5,-13.8,-17.6,-0.156,-0.145,-0.185,-0.21,-0.23,0.07,0.01,-0.194,-0.262,-0.284,-0.181,-0.517,-0.397,-0.587
상계2동,698.1,756.3,737.1,631.4,552.6,23.36,21.74,20.12,17.34,15.59,,8.3,-2.5,-14.3,-12.5,0.925,1.005,0.938,0.81,0.751,1.558,1.656,1.527,1.347,1.3,-0.169,0.085,-0.444,-0.092
상계3·4동,30.2,40.4,33.2,29.7,26.4,7.13,8.08,6.47,5.0,4.58,,33.8,-17.8,-10.6,-11.0,-0.474,-0.466,-0.471,-0.47,-0.457,-0.731,-0.489,-0.616,-0.685,-0.642,0.898,-1.066,-0.094,0.053
상계5동,65.4,77.9,61.3,51.2,48.9,8.92,7.44,6.2,5.39,5.2,,19.1,-21.3,-16.6,-4.4,-0.4,-0.389,-0.414,-0.424,-0.405,-0.479,-0.59,-0.659,-0.621,-0.533,0.283,-1.33,-0.661,0.693
상계6·7동,483.1,499.4,475.0,498.7,438.1,17.7,14.62,12.93,12.39,10.6,,3.4,-4.9,5.0,-12.2,0.474,0.477,0.414,0.528,0.488,0.76,0.538,0.398,0.532,0.42,-0.374,-0.095,1.379,-0.063
상계8동,38.6,40.8,40.0,38.0,32.4,8.82,9.0,8.29,7.66,6.39,,5.6,-1.8,-5.1,-14.7,-0.456,-0.466,-0.457,-0.452,-0.443,-0.493,-0.345,-0.331,-0.247,-0.323,-0.282,0.138,0.425,-0.305
상계9동,37.4,51.8,43.5,38.3,38.6,7.21,7.42,7.49,5.48,4.83,,38.5,-16.0,-12.1,0.9,-0.459,-0.443,-0.45,-0.452,-0.429,-0.72,-0.593,-0.456,-0.606,-0.598,1.095,-0.931,-0.236,1.207
상도1동,360.1,315.8,361.2,353.0,315.9,18.09,14.32,16.2,14.82,13.17,,-12.3,14.4,-2.3,-10.5,0.217,0.1,0.186,0.218,0.208,0.815,0.491,0.911,0.932,0.873,-1.031,1.358,0.69,0.102
상도2동,91.0,102.0,96.1,81.8,74.6,12.13,10.63,9.59,7.74,7.01,,12.1,-5.8,-14.9,-8.7,-0.347,-0.34,-0.345,-0.359,-0.346,-0.026,-0.089,-0.126,-0.234,-0.214,-0.01,-0.163,-0.5,0.276
상도3동,118.9,148.9,121.5,118.3,102.0,10.21,10.5,8.63,7.81,6.54,,25.2,-18.4,-2.6,-13.8,-0.288,-0.243,-0.294,-0.282,-0.283,-0.297,-0.109,-0.277,-0.223,-0.297,0.538,-1.112,0.661,-0.218
상도4동,90.2,77.0,73.8,63.4,57.4,10.02,8.81,8.04,7.04,6.77,,-14.6,-4.1,-14.1,-9.4,-0.348,-0.391,-0.389,-0.398,-0.386,-0.324,-0.374,-0.37,-0.349,-0.256,-1.127,-0.035,-0.425,0.208
상봉1동,471.2,64.7,51.2,49.5,46.0,23.38,13.44,10.95,9.26,8.92,,-86.3,-20.8,-3.3,-7.1,0.449,-0.416,-0.435,-0.428,-0.412,1.561,0.353,0.087,0.016,0.123,-2.58,-1.292,0.595,0.431
상봉2동,522.5,445.3,468.3,471.6,401.1,24.34,19.28,17.9,16.7,14.52,,-14.8,5.2,0.7,-14.9,0.557,0.366,0.4,0.47,0.403,1.696,1.27,1.178,1.242,1.111,-1.135,0.665,0.973,-0.325
상암동,382.2,386.7,401.9,392.2,321.5,14.46,13.65,12.75,11.77,10.19,,1.2,3.9,-2.4,-18.0,0.263,0.246,0.267,0.301,0.221,0.303,0.386,0.37,0.43,0.347,-0.466,0.567,0.68,-0.625
상일동,40.1,52.1,41.3,38.1,31.3,6.08,6.54,6.1,5.46,3.98,,29.8,-20.7,-7.8,-17.8,-0.453,-0.442,-0.454,-0.452,-0.446,-0.879,-0.731,-0.674,-0.61,-0.748,0.731,-1.285,0.17,-0.606
서강동,365.1,362.9,433.8,444.1,401.6,30.44,28.5,30.73,29.69,28.13,,-0.6,19.5,2.4,-9.5,0.227,0.197,0.331,0.412,0.404,2.557,2.717,3.192,3.381,3.513,-0.541,1.741,1.134,0.199
서교동,4037.7,4474.0,5178.0,5075.1,4972.5,40.95,38.67,37.65,35.33,34.21,,10.8,15.7,-2.0,-2.0,7.918,8.648,9.827,10.264,10.898,4.039,4.314,4.279,4.31,4.586,-0.064,1.455,0.718,0.926
서림동,125.9,115.9,101.6,80.3,65.4,20.21,17.57,15.68,13.37,11.43,,-7.9,-12.3,-20.9,-18.6,-0.274,-0.311,-0.334,-0.362,-0.367,1.114,1.001,0.83,0.693,0.566,-0.846,-0.652,-1.067,-0.684
서빙고동,5.0,8.8,10.3,7.5,6.0,3.3,4.12,5.8,4.91,4.52,,75.2,16.5,-27.3,-20.4,-0.527,-0.531,-0.517,-0.517,-0.504,-1.272,-1.111,-0.721,-0.7,-0.653,2.63,1.516,-1.672,-0.858
서원동,722.9,687.1,850.8,760.4,651.6,39.34,35.18,34.8,31.24,27.88,,-5.0,23.8,-10.6,-14.3,0.977,0.863,1.166,1.085,0.978,3.812,3.766,3.831,3.636,3.469,-0.725,2.065,-0.094,-0.267
서초1동,260.3,242.2,236.1,205.5,191.7,11.08,9.4,8.67,7.4,6.84,,-7.0,-2.5,-12.9,-6.7,0.008,-0.051,-0.065,-0.096,-0.077,-0.174,-0.282,-0.271,-0.29,-0.244,-0.809,0.085,-0.312,0.47
서초2동,477.2,636.7,694.6,623.5,529.8,13.27,13.11,12.78,11.27,9.81,,33.4,9.1,-10.2,-15.0,0.462,0.759,0.853,0.793,0.699,0.135,0.301,0.374,0.347,0.28,0.881,0.959,-0.057,-0.335
서초3동,585.0,608.1,606.3,560.1,486.8,10.22,8.88,8.0,7.04,6.23,,3.9,-0.3,-7.6,-13.1,0.688,0.701,0.676,0.658,0.6,-0.295,-0.363,-0.376,-0.349,-0.351,-0.353,0.251,0.189,-0.15
서초4동,1496.0,1540.0,1722.4,1598.7,1437.9,25.86,21.92,22.51,19.65,18.4,,2.9,11.8,-7.2,-10.1,2.595,2.616,2.91,2.868,2.783,1.911,1.684,1.902,1.728,1.796,-0.395,1.162,0.227,0.141
석관동,138.4,156.1,162.6,149.8,146.1,11.72,10.8,10.45,9.08,8.69,,12.7,4.2,-7.9,-2.5,-0.247,-0.228,-0.212,-0.215,-0.182,-0.084,-0.062,0.009,-0.013,0.083,0.015,0.59,0.161,0.877
석촌동,325.8,361.2,319.7,303.3,269.4,10.56,10.69,9.62,8.65,7.31,,10.9,-11.5,-5.1,-11.2,0.145,0.193,0.103,0.112,0.101,-0.247,-0.079,-0.122,-0.084,-0.161,-0.06,-0.592,0.425,0.034
