행정동,20대매출_2020억,20대매출_2021억,20대매출_2022억,20대매출_2023억,20대매출_2024억,20대비중_2020%,20대비중_2021%,20대비중_2022%,20대비중_2023%,20대비중_2024%,20대성장률_2019v2020%,20대성장률_2020v2021%,20대성장률_2021v2022%,20대성장률_2022v2023%,20대성장률_2023v2024%,z_매출규모_2020,z_매출규모_2021,z_매출규모_2022,z_매출규모_2023,z_매출규모_2024,z_매출비중_2020,z_매출비중_2021,z_매출비중_2022,z_매출비중_2023,z_매출비중_2024,z_성장률_2020v2021,z_성장률_2021v2022,z_성장률_2022v2023,z_성장률_2023v2024
고척1동,130.8,135.0,149.8,144.4,164.7,6.94,6.53,7.17,6.82,7.44,,3.2,11.0,-3.6,14.0,-0.263,-0.272,-0.237,-0.226,-0.139,-0.758,-0.732,-0.506,-0.386,-0.138,-0.382,1.102,0.567,2.477
고척2동,68.6,70.3,53.9,44.5,43.9,7.59,6.38,4.79,4.0,3.86,,2.5,-23.3,-17.4,-1.5,-0.394,-0.405,-0.429,-0.439,-0.417,-0.666,-0.756,-0.88,-0.85,-0.769,-0.411,-1.48,-0.737,0.974
공덕동,140.3,154.8,150.1,140.5,118.6,9.7,8.71,8.1,7.43,6.08,,10.3,-3.0,-6.4,-15.6,-0.243,-0.231,-0.237,-0.234,-0.245,-0.369,-0.39,-0.36,-0.285,-0.378,-0.085,0.048,0.302,-0.393
공릉1동,221.1,250.1,276.9,269.5,226.7,11.33,11.3,11.34,10.37,8.85,,13.1,10.7,-2.7,-15.9,-0.074,-0.035,0.017,0.04,0.003,-0.139,0.017,0.148,0.199,0.111,0.032,1.079,0.652,-0.422
공릉2동,192.1,217.9,234.8,237.7,218.8,15.94,15.37,15.23,14.41,13.39,,13.4,7.7,1.3,-8.0,-0.135,-0.101,-0.067,-0.028,-0.015,0.511,0.656,0.759,0.865,0.912,0.045,0.853,1.03,0.344
공항동,150.5,168.1,139.8,121.0,138.7,12.26,11.43,9.05,7.34,8.1,,11.7,-16.8,-13.4,14.6,-0.222,-0.204,-0.257,-0.276,-0.199,-0.008,0.037,-0.211,-0.3,-0.021,-0.027,-0.991,-0.359,2.536
광장동,80.8,109.9,95.1,95.6,93.5,7.6,8.23,6.74,6.06,5.74,,36.0,-13.4,0.6,-2.2,-0.368,-0.323,-0.347,-0.33,-0.303,-0.665,-0.465,-0.574,-0.511,-0.438,0.99,-0.735,0.964,0.907
광희동,657.9,580.6,657.2,757.0,685.5,14.79,12.05,12.93,11.63,10.23,,-11.8,13.2,15.2,-9.4,0.84,0.644,0.778,1.077,1.056,0.349,0.134,0.398,0.407,0.355,-1.01,1.267,2.343,0.208
교남동,13.7,24.3,25.4,21.5,19.3,8.45,6.83,6.61,5.38,5.03,,77.2,4.4,-15.4,-10.1,-0.509,-0.499,-0.486,-0.488,-0.473,-0.545,-0.685,-0.594,-0.623,-0.563,2.714,0.605,-0.548,0.141
구로1동,22.4,22.8,21.4,17.5,15.8,4.75,4.96,4.46,3.57,3.17,,1.9,-6.0,-18.4,-9.8,-0.49,-0.503,-0.494,-0.496,-0.481,-1.067,-0.979,-0.932,-0.921,-0.891,-0.437,-0.178,-0.831,0.17
구로2동,138.0,163.4,141.8,177.0,104.8,2.15,2.24,1.97,2.39,1.5,,18.4,-13.2,24.8,-40.8,-0.248,-0.213,-0.253,-0.157,-0.277,-1.434,-1.406,-1.323,-1.115,-1.186,0.254,-0.72,3.249,-2.836
구로3동,874.2,890.8,959.3,948.6,813.6,19.49,17.5,17.06,15.45,13.23,,1.9,7.7,-1.1,-14.2,1.293,1.282,1.383,1.485,1.35,1.012,0.99,1.046,1.036,0.884,-0.437,0.853,0.803,-0.257
구로4동,116.5,142.7,129.7,108.6,89.7,7.67,7.59,6.43,5.08,4.26,,22.5,-9.1,-16.2,-17.4,-0.293,-0.256,-0.278,-0.302,-0.312,-0.655,-0.566,-0.623,-0.672,-0.699,0.425,-0.411,-0.623,-0.567
구로5동,425.6,453.3,451.6,421.4,384.9,16.03,14.18,13.43,10.76,9.49,,6.5,-0.4,-6.7,-8.6,0.354,0.382,0.367,0.363,0.366,0.524,0.469,0.476,0.263,0.224,-0.244,0.243,0.274,0.286
구산동,63.8,69.1,61.7,52.5,46.5,11.36,10.45,9.82,8.09,7.32,,8.3,-10.7,-15.0,-11.3,-0.404,-0.407,-0.414,-0.422,-0.411,-0.135,-0.117,-0.09,-0.176,-0.159,-0.169,-0.532,-0.51,0.024
구의1동,260.6,276.8,287.6,266.3,231.3,14.04,13.55,13.57,11.98,10.06,,6.2,3.9,-7.4,-13.1,0.008,0.02,0.039,0.033,0.013,0.243,0.37,0.498,0.464,0.325,-0.257,0.567,0.208,-0.15
