코드,주말_총인구,주말_20대인구,평일_총인구,평일_20대인구,주말집중도,20대주말집중도,행정동,구역유형
11170685,25635.853600641025,4898.258134615385,27579.310375757577,4481.7910744949495,0.9295320749997844,1.0929242468464166,한남동,혼합형
11170690,15084.522801282052,1831.6317062500002,14021.886633522727,1652.5502809974746,1.0757841077689814,1.1083667028542288,서빙고동,주거형
11170700,7344.265361538462,969.865276602564,7318.743125883838,975.99775625,1.003487242989081,0.9937167072278954,보광동,주거형
11200520,14497.812421153845,2267.523860576923,13624.960684469697,2083.628246022727,1.064062697639859,1.088257401436758,왕십리2동,주거형
11200535,28688.99013509615,4702.699033173078,28743.16907935606,4600.116959722222,0.9981150671274164,1.022299883752749,왕십리도선동,주거형
11200540,19140.8955213141,3341.1027810897435,19771.60869804293,3305.0449385732322,0.9681000576957979,1.0109099401631971,마장동,주거형
11200550,19147.017149519233,7180.873969391026,23062.950797916666,8827.391102209596,0.8302067379534466,0.8134763585578044,사근동,혼합형
11200560,25878.105024198718,5056.760416826923,26356.328529229795,5353.0774268939385,0.9818554581871782,0.944645484001723,행당1동,주거형
11200570,18403.81105080128,1938.2523116987177,17770.161024305555,1886.8767761363636,1.0356580914280424,1.0272278170000866,행당2동,주거형
11200580,10756.839633173076,1016.6102532051282,10432.573500694445,934.7511121212121,1.0310820846320465,1.08757319464232,응봉동,주거형
11200590,14464.356668108976,1263.527258974359,13154.251950631313,1145.984959027778,1.099595531725754,1.1025687981509817,금호1가동,주거형
11200615,20866.43840176282,2140.9850685897436,19584.256700631315,1988.2502164141415,1.0654700211874866,1.0768187278013042,금호2·3가동,주거형
11200620,12422.57676474359,1216.1057737179488,11847.549663068181,1119.9988819444445,1.0485355299643027,1.0858098104586067,금호4가동,주거형
11200645,26182.919117147438,2348.2966173076925,25950.807060984847,2330.2296650252524,1.0089443097325306,1.0077532925417652,옥수동,주거형
11200650,16402.80905320513,2784.574405448718,18228.29823604798,3157.1009049242425,0.8998541082001393,0.8820036132217118,성수1가1동,혼합형
11200660,16496.295829326922,3442.2571966346154,21364.895978219698,4302.596211489899,0.7721215140080233,0.8000418880680029,성수1가2동,오피스형
11200670,17654.09978573718,2983.3410940705126,19163.95145189394,3140.690928661616,0.9212139693660337,0.9498996118480983,성수2가1동,혼합형
11200690,26297.901604326922,6396.0606625,37782.75910871212,8701.952120643939,0.6960291472801158,0.7350144627119249,성수2가3동,오피스형
11200720,9047.296397435897,1875.4242977564102,9296.247697790404,1880.7596940656565,0.9732202380522111,0.9971631695819083,송정동,주거형
11200790,18119.14531522436,3610.7170028846153,18558.097110290404,3595.2010100378784,0.976347154966516,1.0043157511369785,용답동,주거형
11215710,38488.898014743594,16554.085796634616,38005.98226527778,15967.120038383839,1.0127063088672492,1.036760903459093,화양동,주거형
11215730,21631.73952580128,6046.1787208333335,22927.839984722224,6752.770365277778,0.9434704507801611,0.8953627020877707,군자동,혼합형
