행정동_코드,행정동,연도,상권티어,FB카페_비중,FB식사_비중,주류유흥_비중,라이프스타일_비중,기타업종_비중,월요일_비중,화요일_비중,수요일_비중,목요일_비중,금요일_비중,토요일_비중,일요일_비중,주말_비중,시간대_00~06_비중,시간대_06~11_비중,시간대_11~14_비중,시간대_14~17_비중,시간대_17~21_비중,시간대_21~24_비중,야간_비중,여성_비중,연령대20_비중,연령대30_비중,연령대40_비중,2030소비_비중,금요효과,총_매출금액,FB카페_비중_변화,FB식사_비중_변화,주류유흥_비중_변화,라이프스타일_비중_변화,주말_비중_변화,야간_비중_변화,금요일_비중_변화,여성_비중_변화,연령대20_비중_변화,연령대30_비중_변화,2030소비_비중_변화,금요효과_변화,20대_이동비율,30대_이동비율,2030_이동비율,HE_비율,WE_비율,EE_비율,트렌드_유동인구,20대_이동비율_변화,30대_이동비율_변화,2030_이동비율_변화,HE_비율_변화,WE_비율_변화,EE_비율_변화,분위변화_next,타겟,타겟_레이블
11110515,청운효자동,2024,② 라이징스타,0.23008447893536207,0.2728993101763093,0.01129857454845571,0.07832886783497778,0.40738876850489514,0.152854877658148,0.1423118540449092,0.12819642871590325,0.14750416400205865,0.17183730246427853,0.156304093427633,0.10099127968706936,0.25729537311470235,0.005905974345941953,0.09900222401727318,0.3176908596758411,0.25764190057100206,0.25802057921097843,0.0617384621789633,0.3197590413899417,0.5915144825404199,0.19275949615910132,0.17407070971830227,0.15689426515179944,0.3668302058774036,1.1649657731823777,105784347917,0.023371691497775654,0.0014681772636360169,-0.0031593850966315073,0.004819797470456702,0.004165429631354245,0.005733645870932169,0.0030125506929577772,0.00657942949169299,-0.0018224521405483252,5.43281884729796e-05,-0.0017681239520753178,-0.10580304010556407,11.470584011548718,13.48640392929925,24.956987940847966,39.71861085494637,4.60339386120732,55.677995283846315,2530511.26,-0.32761942642395603,1.3404558709918035,1.0128364445678457,0.6600145043000154,0.22883142529187328,-0.8888459295918878,,,
11110530,사직동,2024,⑤ 성숙·정체,0.126789765266197,0.5383548966824832,0.062178605057946444,0.055732327253177436,0.21694440574019594,0.14980965191088605,0.1649382062366444,0.16142855073784843,0.16276008546148982,0.16832799347968389,0.1163368746186563,0.07639863755479111,0.19273551217344742,0.017179369443100802,0.07664383518563601,0.33916670665641635,0.16470296454479053,0.2967633742353408,0.10554374993471552,0.4023071241700563,0.387350142140558,0.1155996586755246,0.20177475233827585,0.17198849509044592,0.3173744110138005,1.0342092964771237,414597056463,-0.006589473031352655,-0.004693305291681549,0.00024110019592924609,0.0014162939962051799,-0.006557521319512177,-0.014759338338478312,-0.005032914964949425,0.009891117631225022,-0.008529858790821243,0.000837527903188473,-0.00769233088763277,-0.019119689660491046,10.635343514546157,13.281905931373103,23.91724944591926,45.66674049977665,7.170277175921587,47.16298232430176,5414914.8,-1.6106167165005711,-0.206284420172393,-1.8169011366729642,2.24310756157076,-0.28090929809493037,-1.962198263475834,,,
11110540,삼청동,2024,⑤ 성숙·정체,0.3101552544141051,0.3489720811160347,0.026495346349110032,0.22125816898242986,0.0931191491383203,0.10752454487402896,0.10192197389102096,0.1333648986280035,0.12546557368528433,0.1485519941951405,0.21119603871804668,0.17197497600847506,0.38317101472652176,0.0011005531258072574,0.04724971567221688,0.35419085864361277,0.3002974801106028,0.2819232383809868,0.01523815406677348,0.2971613924477603,0.5197926995627431,0.16225766739361341,0.26337341225489513,0.1956796741925639,0.42563107964850855,1.1840060172025015,156408943797,0.07146517903622882,-0.008475452258333682,0.003886264966150809,-0.07496933261719982,-0.02800543037952169,-0.014274963289528542,0.01155942855765571,0.008907113737765981,-0.029123460410012708,0.010114321598243048,-0.019009138811769632,0.026277724737161723,11.960293138479045,14.274096566160042,26.234389704639085,33.92990425940385,4.3250805139054,61.74501522669075,1428163.24,-2.2611843774732403,-0.2150596510612406,-2.476244028534481,1.3953546493242186,0.18788850533187684,-1.5832431546561025,,,
11110550,부암동,2024,⑤ 성숙·정체,0.1388077510075945,0.2630981811121084,0.0055262012086814295,0.178948610865443,0.4136192558061727,0.1415462581770453,0.1345053685322195,0.14788756192155025,0.1518074641171523,0.1705850129613872,0.16248475265460371,0.09118358163604173,0.25366833429064545,0.010758481967702167,0.08502309540881253,0.29066825334146773,0.3119729191831727,0.25636594934005336,0.04521130075879148,0.30157725009884484,0.4462440496502445,0.08716348480778632,0.13049897211120967,0.22831195788415823,0.217662456918996,1.1236931856640724,30497122641,-0.020862848266220785,-0.025821585530204638,-0.0032074766233010713,0.01831254943798452,-0.012603985426856146,-0.018216980950801986,0.002416299124677279,0.021176621440625543,-0.025271918622989095,-0.004029467535058312,-0.029301386158047393,-0.06395467653941145,4.204049059165325,8.078019109633594,12.282068168798919,49.660734310593476,6.815954636586159,43.52331105282036,986754.66,-0.7056597797432431,-0.23339968311076653,-0.9390594628540097,0.319381157395064,0.11010090977443276,-0.4294820671694879,,,
11110560,평창동,2024,⑤ 성숙·정체,0.07399842815509386,0.4100165805355276,0.03881496217775381,0.05493058377453478,0.42223944535708996,0.1395538979009801,0.11136153282913587,0.1482014524585576,0.1448007568501176,0.1516852004406012,0.1629558513697518,0.14144130815085584,0.30439715952060764,0.017631703475954063,0.10046239690431498,0.267980428890877,0.22628067000760466,0.3204975982378001,0.06714720248344921,0.3876448007212493,0.4111865740188424,0.03678385047064788,0.0947810663384165,0.20001190569840704,0.13156491680906438,1.0475442514268738,34184622026,0.0034695632123737524,-0.014346139650327716,-0.011620650886318626,-0.003673736888256632,-0.00450537330339168,-0.013329202587014977,-0.0035952385839966294,0.018558316971552025,-0.007430092444659524,-0.016564873983242592,-0.023994966427902137,-0.06237839343608709,1.9009198083493513,4.597853639764964,6.498773448114315,54.215685378864755,7.3082283329062285,38.476086288229006,1245679.06,-0.6374007270738822,-0.5357571055247892,-1.1731578325986716,1.1610327131397682,-0.09007805998691865,-1.0709546531528602,,,
11110570,무악동,2024,⑦ 일반,0.062439271390761227,0.09547011404968701,0.007869085015329994,0.12117414583844259,0.7130473837057791,0.17770713816917466,0.17754618565861188,0.14885005452581035,0.1626113283023418,0.18826061046112247,0.08829458472889799,0.056730098154040835,0.14502468288293882,0.01810624250442606,0.22056735319241597,0.27962600693640716,0.26111964926731474,0.17039031796216025,0.050190430137275824,0.22058074809943606,0.46454290268570597,0.0518555152532042,0.10439209092844305,0.16356304775039487,0.15624760618164726,1.15773367345657,31864050968,-0.008894210228653797,0.0037293422188618836,-7.576918629806362e-05,0.009942160491440324,-0.005615162624292291,-0.02303205470466335,0.010397928555347685,-0.012703531946566038,-0.004524484836339562,-0.002213379318072861,-0.00673786415441241,0.08653864645916864,2.261403930998473,5.371591608381424,7.6329955393798965,54.31821146848384,5.312035507848113,40.36975302366805,615201.46,-0.49074415421156514,-0.05264813567000193,-0.5433922898815684,0.6484626480754372,-0.2410115793290979,-0.4074510687463331,,,
11110580,교남동,2024,⑦ 일반,0.03130898912998161,0.30566545573589116,0.0,0.08714622065410808,0.5758793344800192,0.17584781436456176,0.17977070312519536,0.1722032474696429,0.1781677691007437,0.17238579889187844,0.0824355500126894,0.03918911703528844,0.12162466704797784,0.008248457031100663,0.19130939171975023,0.3264894712236189,0.230054869870075,0.20368569657256397,0.04021211358289128,0.24389781015545525,0.40967267863482953,0.05034739564334746,0.1405356778449805,0.20095817834655358,0.19088307348832795,0.9675476084252036,38388158877,-0.0011475435037086312,-0.004771928160280436,0.0,-0.006511331571827206,0.000668363181294887,0.0031144163518285473,-0.003101302436649328,0.004587561993701472,-0.0034803243890145635,0.0019260289590189716,-0.0015542954299956058,-0.009164799162797999,2.7848673258015193,7.247632671584456,10.032499997385976,48.57721750037344,7.205989420710296,44.21679307891626,822486.22,-0.6513037931338483,-0.7294571693086462,-1.3807609624424941,-1.0073000724404864,0.027453138211464,0.9798469342290304,,,
11110600,가회동,2024,⑤ 성숙·정체,0.19743967356342298,0.6098814876257891,0.07346186556092432,0.04453139271037467,0.07468558053948887,0.11269599193586946,0.13946272121019332,0.14416538662801634,0.14910058997549042,0.1640539986095233,0.17592382139610963,0.11459749024479755,0.29052131164090716,0.004531183320916163,0.04963010404490268,0.33003767415211244,0.22888301423736046,0.3112092397133848,0.07570878453132342,0.3869180242447083,0.4819633305036867,0.1986662264321041,0.22397957327068366,0.15506389540663368,0.42264579970278776,1.1002907408782954,109138827537,0.021036633469975863,0.05711989001000206,-0.04398437447300389,-0.0033132263393520836,-0.015703181864938465,0.006363824523920869,0.007357407520177689,-0.013599531974399004,-0.013150466183989712,0.0020981036640674577,-0.011052362519922254,0.027304503657836987,17.661870353742504,14.90282848611579,32.564698839858295,38.05082458447479,5.1481493145371005,56.8010261009881,1493053.82,-1.7064533415250835,0.490491367291332,-1.2159619742337497,0.8429483798772281,0.07177592708672709,-0.9147243069639686,,,
11110615,종로1·2·3·4가동,2024,⑦ 일반,0.04659779118758821,0.2583645189009566,0.06006843269058404,0.03168472165613844,0.6032845355647327,0.16664069513748545,0.1623093283015503,0.15150413345639124,0.16018310321292634,0.174282489435032,0.11882758617782484,0.06625266427878986,0.1850802504566147,0.02160487953201312,0.09777953922689073,0.28675869536423665,0.275124123414317,0.24501816565173185,0.07371459681081062,0.31873276246254245,0.3517832856996442,0.09231802776622233,0.2119201386190438,0.17508000872191257,0.30423816638526613,1.088020433736783,2300110141756,-0.0008176326658150407,0.0025952155319362014,0.003636847859313626,0.002325354261918773,-0.001418731893458508,-0.0023570388773401785,-0.004532132266624966,0.00428806953178279,-0.0024172713119398476,0.004410489444479526,0.0019932181325396647,-0.035018209663346456,15.242748366121534,14.578351575369961,29.821099941491497,44.37127561672344,8.856789621899123,46.77193476137744,15756444.26,-1.09628091074452,0.37773498288045104,-0.7185459278640671,0.4626662034792375,0.0024957140775700992,-0.4651619175568129,,,
11110630,종로5·6가동,2024,⑦ 일반,0.02667855665580707,0.2256748652682368,0.0260166010006022,0.12683756922978384,0.5947924078455701,0.15001184808554688,0.15921845398243015,0.15104827707613305,0.1489362615301289,0.16779883228456943,0.15169899327668493,0.07128733376450665,0.22298632704119156,0.009743479066224896,0.10935630709301548,0.3162666345388814,0.3023013634869716,0.21978624911268918,0.04254596670221747,0.2623322158149066,0.3793869517366371,0.07176512707630289,0.14139150554090546,0.1433066801437347,0.21315663261720835,1.1266486116990706,428499526773,0.0024240293106154234,-0.018615017095753722,0.008572155366004058,-0.012132038913938048,-0.0090569190445913,-0.014999018380450646,8.021396377866363e-05,-0.00878626443391195,-0.006465304328576241,0.0016905962507859085,-0.004774708077790346,-0.008869863449390891,8.02050115311326,8.186756828373271,16.20725798148653,49.66066495646019,8.837372676099658,41.50196236744015,2823031.45,-0.7739984158390776,-0.5614829038675389,-1.3354813197066164,1.7473017815031184,-0.28977055886611325,-1.4575312226370158,,,
