행정동,유사도,순위,FB카페_비중,FB식사_비중,주류유흥_비중,라이프스타일_비중,주말_비중,야간_비중,2030소비_비중,금요효과,평일_비중,트렌드시간대_비중,방문형_강도,2030이동비율,2030이동비율_변화,업종점수,2030비중
종로1·2·3·4가동,0.5463236734157986,11,0.04657815431394963,0.25825389007339306,0.06005230825715965,0.03166928592183042,0.18515840470805453,0.3186679516146038,0.30428042304932645,1.0921738292186647,0.640646938490191,0.24064581110778216,0.3756750608584984,29.826937243952884,-0.7270014028999627,0.3967154644352673,0.3042381663852661
성산2동,0.5225281739217233,12,0.06811209648933875,0.21767731316108696,0.0037518853752293,0.10500632488824226,0.24252174288505712,0.3446114852261297,0.2519392570101914,1.0639932612745535,0.5907402247760418,0.29994391185870994,0.5082563525698742,18.61350914681591,1.2697328658326734,0.3947476447692494,0.2519636959661663
서초4동,0.5093644082104958,13,0.032285401279213824,0.1985743726371364,0.0464317728405153,0.08623739439355207,0.20607514685674067,0.3083847594877194,0.43074371514482557,1.2317037140097087,0.6110816560634479,0.26249549527401866,0.4298481651652562,42.40138686624306,-1.9909351365209087,0.3632132939162684,0.430556839599123
청룡동,0.5051034863729652,14,0.026906599760663827,0.18091523934153506,0.044214420467810274,0.20964903811079066,0.2698411986994462,0.4194341611452268,0.3589143502779185,1.098505453210263,0.5702179054433576,0.33692906291419844,0.5908937129595674,33.1806940645324,-0.5693962855841566,0.4618643194098434,0.3589225761432636
망원1동,0.4995245213045124,15,0.04107810986001425,0.2777606016425861,0.03836942492296795,0.06684819584562543,0.2856262390490526,0.40097197449903976,0.36097584076992034,1.1707195771128263,0.5516970583369919,0.35083115643570945,0.6360081877907771,35.45730572268121,-0.2730980598503585,0.4243344188031239,0.3611780864627752
송정동,0.49906662299410004,16,0.014777302177645274,0.18333370896269233,0.019443147843611026,0.1733956216991424,0.1789146821865224,0.31948606339004265,0.24651744459844466,1.114224761016008,0.6475292868447227,0.23486857946994993,0.36488396192666456,22.93321652145775,0.4182446949379717,0.3916661008943775,0.2480215596375141
필동,0.4483319209271076,17,0.12736496554176727,0.5107990499203297,0.08590070242371142,0.08345840494676882,0.15006321559613012,0.3918502468097327,0.33311121153807766,0.9934580381681215,0.6766443601671883,0.2179792568735036,0.3227087971583913,24.77287769330953,-0.6296573766828466,0.8080438644965694,0.3330218913993036
양재1동,0.4395723921147349,18,0.048322996786338404,0.26425189038481417,0.04713157735450928,0.041161404068953474,0.1820443614980842,0.3078816053893943,0.29090294090835295,1.0719770185186026,0.6480359271364156,0.23433378786516681,0.3616254381716759,18.345092498338822,-0.07641408986612941,0.4010474993723611,0.2909801589378252
상암동,0.43863597521330017,19,0.10200453655908467,0.3982808241283693,0.05882683629136408,0.08241784758565825,0.14827116578542282,0.38285649375451036,0.3247236308426548,0.9747411430020336,0.6805633742435255,0.21379256419521886,0.31434497924707416,20.693439815162165,-0.6135752385608653,0.641604818972007,0.324695225743995
논현1동,0.4238727190938054,20,0.027457535417857323,0.20001016781448966,0.04609358830305775,0.055886877919537524,0.20769598718889848,0.31595149813833945,0.3761857154398635,1.225734106381266,0.607965828851515,0.2659451747255624,0.43796880377805225,39.280122999758,-1.9667110411959945,0.3286823977834051,0.3755198083185737
을지로동,0.4148731192208755,21,0.0249581261801195,0.16260890413296922,0.044942166438316875,0.05193772941822927,0.13575451324122043,0.22989740840916267,0.19829671149037356,1.1668335931719587,0.6790437816858679,0.17823354001042052,0.26334150581534654,36.14090266088261,0.2620983235641657,0.2842377007755839,0.1980821427515545
신대방2동,0.4123567681612848,22,0.08557421775067922,0.3850274844154173,0.0431052712820754,0.10397947113828718,0.19099540173148372,0.30677944288127024,0.2941448131161437,0.9887514958439199,0.6487747589487322,0.24014939844278196,0.37111926720908295,16.744129323379628,-0.3365782359947893,0.6179317841763606,0.2943300351561214
역삼2동,0.3925282343228782,23,0.0865624079578231,0.203145176538541,0.00836160005454965,0.12933752784208977,0.15918453904898164,0.31363593214625374,0.26002332094857583,1.0205187327771206,0.6753095276967036,0.21116213571470965,0.31301497423230507,17.75631037128226,-0.030679529746888257,0.4273574025450503,0.2598458009224745
삼성2동,0.3886993486064927,24,0.06047535287051295,0.3061628395032923,0.03888123225400075,0.0962617266273461,0.16875918678313234,0.3717908288763,0.2774983658663878,1.050562272158627,0.6562052761306216,0.23387336122581576,0.35654225023772046,21.725881507266156,-0.9433236251304544,0.5018793086082479,0.2775029725037271
북아현동,0.38731294238768527,25,0.009390168721265375,0.16265041661206295,0.038318819788845646,0.12400640439422185,0.2879386828374954,0.38646452536977016,0.20641001494270242,1.148044372134882,0.5530897057770952,0.34947214946612304,0.632046651300886,20.635523706370744,4.8878100419195984,0.3350016109412589,0.2067468911088779
