행정동_코드,행정동,연도,분기,상권티어,분기_티어,FB카페_비중,FB식사_비중,주류유흥_비중,라이프스타일_비중,기타업종_비중,월요일_비중,화요일_비중,수요일_비중,목요일_비중,금요일_비중,토요일_비중,일요일_비중,주말_비중,시간대_00~06_비중,시간대_06~11_비중,시간대_11~14_비중,시간대_14~17_비중,시간대_17~21_비중,시간대_21~24_비중,야간_비중,여성_비중,연령대20_비중,연령대30_비중,연령대40_비중,2030소비_비중,금요효과,총_매출금액,평일_비중,트렌드시간대_비중,방문형_강도,FB카페_비중_변화,FB식사_비중_변화,주류유흥_비중_변화,라이프스타일_비중_변화,주말_비중_변화,야간_비중_변화,금요일_비중_변화,여성_비중_변화,연령대20_비중_변화,연령대30_비중_변화,2030소비_비중_변화,금요효과_변화,평일_비중_변화,트렌드시간대_비중_변화,방문형_강도_변화,트렌드시간대_비중_lag1,방문형_강도_lag1,2030소비_비중_lag1,주말_비중_lag1,금요효과_lag1,야간_비중_lag1,평일_비중_lag1,FB카페_비중_lag1,주류유흥_비중_lag1,트렌드시간대_비중_동편차,방문형_강도_동편차,2030소비_비중_동편차,주말_비중_동편차,금요효과_동편차,야간_비중_동편차,평일_비중_동편차,FB카페_비중_동편차,주류유흥_비중_동편차,트렌드시간대_비중_모멘텀,방문형_강도_모멘텀,2030소비_비중_모멘텀,주말_비중_모멘텀,금요효과_모멘텀,20대_이동비율,30대_이동비율,2030_이동비율,HE_비율,WE_비율,EE_비율,총_이동인구,20대_이동비율_변화,30대_이동비율_변화,2030_이동비율_변화,HE_비율_변화,WE_비율_변화,EE_비율_변화,2030_이동비율_lag1,20대_이동비율_lag1,30대_이동비율_lag1,2030_이동비율_동편차,20대_이동비율_동편차,30대_이동비율_동편차,2030_이동비율_모멘텀,20대_이동비율_모멘텀,30대_이동비율_모멘텀,분위변화_next,타겟,타겟_레이블
11110515,청운효자동,2024,1,② 라이징스타,② 중상위,0.2076885109173859,0.27369654096184687,0.01407955117453896,0.06559926027016558,0.4389361366760627,0.1463789421910811,0.13156966730915165,0.1323301086522512,0.16886503192967403,0.15776839769251344,0.16087380631194398,0.1022140459133846,0.2630878522253286,0.0056264463852727835,0.11812232631082364,0.3461972821272556,0.22163285548919107,0.25323469350049505,0.05518639618696183,0.3084210896874569,0.5944325147000711,0.1945063192274272,0.17605884569935396,0.15268748515079705,0.37056516492678115,0.9342869621356427,24605344212,0.579143750082158,0.3117469533598976,0.5382894200544732,-0.021058383956819055,0.010202693588422573,0.0009880310588960307,-0.007279771479186514,0.02649909032155584,-0.01617583509606263,-0.032240693736279,0.007624545754859935,4.110479366059572e-05,-0.003138964075820594,-0.003097859282159998,-0.5560592383224736,0.005741603414723184,0.013481824697428202,0.018121976671218842,0.2982651286624694,0.5201674433832544,0.37366302420894115,0.23658876190377276,1.4903462004581163,0.32459692478351954,0.5734021466674348,0.22874689487420496,0.01309152011564293,0.03459174658591546,0.08010571569372615,0.0006307442423792997,0.03602506366911462,-0.38414139331949815,-0.005219553074930383,-0.03559765281331517,0.03132192995560332,0.006279871050644786,2.0,2.0,-2.0,1.0,-1.0,11.900294024053398,12.757007620859277,24.657301644912675,40.48059992572411,4.256900788924774,55.26249928535113,588400.84,-0.5613373283575829,1.2403978779026072,0.6790605495450244,0.8628182106460116,0.11385409188668039,-0.976672302532684,23.97824109536765,12.461631352410981,11.51660974295667,-1.5962486526315978,-1.5412948976257503,-0.05495375500584743,1.0,-2.0,1.0,,,
11110515,청운효자동,2024,2,② 라이징스타,② 중상위,0.22635524551049702,0.2736403919165648,0.013478566033451897,0.08186836079754424,0.4046574357419421,0.1583664580387252,0.14628200306211242,0.11799273486103576,0.14882004966622006,0.17655208123945101,0.14851937040413102,0.10346730272832452,0.25198667313245554,0.005867145550437767,0.11638986336574614,0.25582183893679566,0.2932084996378324,0.2644425819875834,0.06427007052160465,0.3287126525091881,0.5841333971383521,0.18504137037355867,0.17277986373385426,0.1628465444027378,0.35782123410741296,1.186346071214393,27271062670,0.5714612456280934,0.3100215760626931,0.5425067376562835,0.012088487742715565,-0.0018694713001391472,0.00013572847425916655,0.0039858167458931,-0.010215435110908555,0.0058992249014177545,0.04066237851159127,-0.00011945068823615568,-0.008022663166371125,-0.0037645570690960084,-0.011787220235467133,0.23649041018342676,-0.030446943400682658,0.003952447105147583,0.03400870666685485,0.3060691289575455,0.5084980309894287,0.3696084543428801,0.2622021082433641,0.9498556610309662,0.3228134276077703,0.6019081890287761,0.21426675776778145,0.01334283755919273,0.006619986994911398,0.023157262780182597,-0.017978907818492984,0.0030739645620853906,0.16112576082822327,-0.0006808319243747918,-0.01329423440396138,0.041430375683041726,0.004553335409717618,1.0,1.0,-3.0,-2.0,1.0,10.86615830002828,13.059019676566688,23.925177976594966,38.85197239429379,4.682636994754167,56.46539061095205,722302.84,-0.6803375096371678,1.3295377002628275,0.6492001906256561,0.7028108311898649,0.4541173345433016,-1.156928165733163,23.27597778596931,11.546495809665448,11.72948197630386,-2.5331571503091865,-2.241765708621287,-0.291391441687896,2.0,-1.0,2.0,,,
11110515,청운효자동,2024,3,② 라이징스타,② 중상위,0.2282443812548808,0.2475548161491668,0.009799715606077617,0.08153256048157341,0.4328685265083014,0.13986980027294546,0.12496421314574077,0.125375306008953,0.15318314290338644,0.20404005622769786,0.15579997364841972,0.09676750779285677,0.2525674814412765,0.006101630817325137,0.07304117844400371,0.3399983391986063,0.2646801860382688,0.2584149297594073,0.05776373574238878,0.3161786655017961,0.5980580889754578,0.19566231788025412,0.16628748409756655,0.15235842125269153,0.3619498019778207,1.3320007173138313,25108793958,0.5433924623310257,0.3170805941282614,0.5835204131615304,0.03311925122880863,-0.009708637964368272,-0.0048268924061305625,0.006645124856674192,0.005030499490558005,0.006543522722142703,0.05918897661285069,0.006982568062424699,0.004049264433966776,-0.0027187901608839715,0.0013304742730828045,0.3193530453317259,-0.06421947610340872,0.0246926274592128,0.10231201652862038,0.2923879666690486,0.48120839663291,0.36061932770473787,0.2475369819507185,1.0126476719821054,0.30963514277965337,0.6076119384344344,0.19512513002607218,0.01462660801220818,0.029053480523993036,0.10624037348427223,-0.012977251596636041,0.013491147565470207,0.3415415303332455,0.002444401501766169,-0.061714681290801154,0.040984743822212094,0.00013662416758330326,1.0,1.0,1.0,1.0,3.0,11.778569913187651,14.49499103655877,26.27356094974642,39.9429081572825,5.173679604338286,54.883412238379215,510903.11,-0.08417938617334997,1.2514301752425343,1.1672507890691826,0.6319822049959072,0.21083137842529176,-0.842813583421183,25.10631016067724,11.862749299361,13.243560861316237,0.150906159801945,-0.9168182519648145,1.0677244117667612,2.0,-1.0,2.0,,,
11110515,청운효자동,2024,4,② 라이징스타,② 중상위,0.2543547565285418,0.2936132380029096,0.008165043165038592,0.0830599031840904,0.3608070591194196,0.16448979167106187,0.16285494023347877,0.13678661178636406,0.12305658513165835,0.15131658737491852,0.16021101991887993,0.10128446388363851,0.26149548380251847,0.006010980448037385,0.08883575777989698,0.332472884193396,0.2485913942471443,0.25568446344304213,0.06840451988848323,0.32408898333152536,0.5903057242128199,0.19604480028191634,0.18038031949733496,0.15880660856975698,0.3764251197792513,1.229650467002841,28799147077,0.587187928822563,0.31053552276605173,0.5288520208321409,0.06535185862409776,0.005756498613777472,-0.008547867780426021,0.01462427880929483,-0.003258159361792745,0.02483045031064557,-0.05272472912364071,0.012103605980507082,-0.002907017658877825,0.00918081003169588,0.0062737923728180545,-0.4957657732566014,0.055982888485433424,-0.015279225449267353,-0.08449823655348287,0.3258147482153191,0.6133502573856238,0.37015132740643325,0.2647536431643112,1.7254162402594424,0.2992585330208798,0.5312050403371296,0.18900289790444402,0.016712910945464614,0.001870852145702595,-0.01892876902089724,-0.0009260186867963149,0.00863046099773862,-0.059949781073797004,0.011082887834221233,0.018261000545411687,0.07216426078119173,-0.004728840244181229,-1.0,-1.0,1.0,-2.0,-1.0,11.507804429558753,13.800392597326972,25.308197026885725,39.80751736549214,4.3992457827216125,55.793236851786254,708904.47,0.025453462253807402,1.5098651409386505,1.535318603192458,0.3980898807710247,0.11874833381340011,-0.5168382145844177,23.772878423693268,11.482350967304946,12.290527456388322,-0.6236972896515169,-1.5391484577367596,0.9154511680852444,2.0,2.0,2.0,,,
11110530,사직동,2024,1,⑤ 성숙·정체,① 상위권,0.13436952001673447,0.5485377863864944,0.06008340599137738,0.053986094955901925,0.20302319264949178,0.13403881881661447,0.1654567282280929,0.17415163683870757,0.16369228424288568,0.16591262973979726,0.11946037870174746,0.0772875234321547,0.19674790213390214,0.01711414677638257,0.07242636527677733,0.3384878686927693,0.15965749779430213,0.300884789408111,0.1114293320516577,0.41231412145976865,0.3880938056627954,0.11349158431580489,0.20973190391081084,0.17008406001311777,0.32322348822661573,1.0135641426667188,96007404837,0.6373394681263006,0.26515602230414653,0.416035779305607,-0.00037842558332421006,0.015070439244602385,-0.005160703543715471,-1.673412595523671e-05,0.013181415663276574,-0.009330416930189322,-0.00998848962712734,0.016271569490655224,-0.004892798310792534,0.00236851141787231,-0.0025242868929202245,-0.04256280775822541,-0.0031929260361492906,0.0074217895557771585,0.013660762683100902,0.2577342327483694,0.4023750166225061,0.32574777511953595,0.18356648647062557,1.0561269504249442,0.42164453838995797,0.6405323941624499,0.13474794560005868,0.06524410953509285,0.01153862914815068,0.02386424843622187,-0.023860864325436992,0.013480271520202702,-0.0040076386382825735,-0.0029380962296381985,-0.009992442339619045,0.004757231459272815,0.013220545918266637,1.0,1.0,-2.0,1.0,-1.0,11.087919225230152,13.388737826457497,24.47665705168765,45.48131982302545,7.078126313858993,47.44055386311555,1198283.08,-0.29738315955156125,0.6357473484326697,0.3383641888811084,0.9273783985196999,-0.5172923375682599,-0.41008606095145694,24.13829286280654,11.385302384781713,12.752990478024827,-1.4840312408737297,-1.5049207805519593,0.020889539678229596,1.0,-3.0,1.0,,,
11110530,사직동,2024,2,⑤ 성숙·정체,② 중상위,0.13805546127046026,0.5422688651168249,0.06099052635342141,0.05411010722765431,0.2045750400316391,0.14719534614498844,0.16478029013125106,0.15118010129126644,0.161503461441375,0.17569208752642143,0.12186660200487363,0.07778211145982403,0.19964871346469765,0.01592978533560631,0.07522563058712631,0.34391654385424236,0.164066338354466,0.2940741050168538,0.1067875968517052,0.400861701868559,0.39357691104053966,0.11237603717428928,0.20664825962045139,0.17113926601405904,0.31902429679474065,1.087853386908347,103997623389,0.6246591990088809,0.2700769426753788,0.4323588656084757,0.0023693539704910116,-0.002362554723748689,-0.0018730989737444012,-0.0024856449885851672,-0.0010946238780593642,-0.012456761325831622,-0.0007506139882637874,0.007891849442248633,-0.008063100331503925,0.0028219681725472623,-0.005241132158956663,0.02895549520680918,0.0018452378663231794,-0.003593420899294486,-0.00705062205397583,0.2736703635746733,0.4394094876624515,0.3242654289536973,0.200743337342757,1.058897891701538,0.41331846319439064,0.6228139611425577,0.13568610729996924,0.06286362532716581,0.006177783573809548,0.01785710880678648,-0.02448306698753666,0.008127600937332613,0.039764600559074825,-0.023078793399139874,-0.01304976606843844,0.006662760398222556,0.007791989531903402,-2.0,-2.0,-3.0,-2.0,2.0,11.076016390328439,13.745497300358489,24.821513690686928,45.684965751946734,7.154543209033102,47.160491039020144,1376199.3900000001,-0.9487479965113756,0.25304466938145964,-0.695703327129916,2.9098782270563675,-0.10264384374295865,-2.8072343833134283,25.517217017816844,12.024764386839815,13.492452630977029,-3.5789225694265028,-2.79083093607694,-0.7880916333495627,-4.0,-4.0,1.0,,,
11110530,사직동,2024,3,⑤ 성숙·정체,② 중상위,0.12768126705016364,0.5199025420616924,0.058388042065724385,0.05669023803678369,0.23733791078563593,0.16747188563838916,0.15527142134428842,0.1675027881395374,0.1612041572622347,0.16475669975743026,0.10843276829710667,0.07536027956101336,0.18379304785812003,0.01723335777495815,0.07804360348188731,0.3500822141564418,0.16353330634126964,0.2892545859863261,0.10185293225911703,0.39110751824544315,0.3811843318153624,0.11913736744403906,0.20652694333793567,0.17566755484782826,0.3256643107819747,1.0220375364725647,102279520510,0.6514502523844498,0.2482306318145582,0.3810431125108633,-0.008299635437244157,-0.017578859000199842,0.00020506250027479273,0.0014464933699919885,-0.021791125998986277,-0.019863604035082083,-0.0015412347616478583,-0.0017190370161443425,-0.009103086316475287,0.0043712154257278535,-0.004731870890747447,-0.029776743930969296,0.023332360760634163,-0.025697190824786914,-0.05506581909620273,0.2739278226393451,0.43610893160706604,0.33039618167272217,0.2055841738571063,1.051814280403534,0.41097112228052524,0.6281178916238156,0.1359809024874078,0.05818297956544959,-0.012318212027846026,-0.031664141002298196,-0.026472559900686976,-0.0050880033939006974,-0.026276909461133258,-0.01224249620556711,0.0185707102292324,-0.006036803779196409,0.008942872537772907,-2.0,-2.0,-3.0,-1.0,-2.0,10.153089686173308,13.722734795920008,23.875824482093314,46.0811968318265,7.363130872300887,46.555672295872604,1252399.85,-1.8195211046042328,-0.5617991316325348,-2.3813202362367676,2.6107875366462494,-0.45956140219315955,-2.151226134453097,26.257144718330082,11.97261079077754,14.284533927552543,-3.756143545291245,-3.0869923012569487,-0.6691512440342962,-1.0,-3.0,-1.0,,,
11110530,사직동,2024,4,⑤ 성숙·정체,② 중상위,0.109066889974314,0.5428301039737499,0.06852170046551204,0.05785482996955574,0.2217264756168683,0.14962724611089834,0.17344442777780664,0.15451065533307662,0.16454374713919168,0.16682606578907058,0.11574451118657463,0.07530334666338155,0.19104785784995618,0.018343030893831054,0.0802875132297686,0.3254083887863718,0.1706706156414304,0.30256848452356877,0.10272196692502937,0.40529045144859815,0.3865636736518419,0.11716497468818021,0.18613241205346556,0.17105240351054493,0.3032973867416458,1.0138705887617123,112312507727,0.6421260763609733,0.2586608693670021,0.40281944448179524,-0.01858501367504274,-0.012295551767398494,0.006978345972925765,0.006229349742951168,-0.015147074026075152,-0.01673757692940525,-0.007810513138542585,0.01671420067595142,-0.011779499237231511,-0.005299006770792619,-0.017078506008024075,-0.033089701529322335,0.02295758716461782,-0.02123559359652938,-0.04923273169858622,0.2798964629635315,0.45205217618038146,0.3203758927496699,0.20619493187603133,1.0469602902910347,0.4220280283780034,0.6191684891963555,0.12765190364935675,0.06154335449258627,-0.00918557184219787,-0.023124901941381226,-0.03532351272463713,-0.005159264487213044,-0.025165770724235426,-0.010708483063929963,0.010463509753306566,-0.016927546388588913,0.01557692463882733,-2.0,-2.0,-3.0,-2.0,-2.0,10.292281931160502,12.451883225965252,22.744165157125757,45.46399894793083,7.101352864016988,47.43464818805217,1588032.48,-3.016668756857012,-0.9097470258402964,-3.9264157826973047,2.3348082680925586,-0.10596204135425324,-2.2288462267383196,26.67058093982306,13.308950688017514,13.361630251805549,-5.784086026554011,-4.0764747145859275,-1.7076113119680834,-1.0,-3.0,-1.0,,,
11110540,삼청동,2024,1,⑤ 성숙·정체,① 상위권,0.3043611394423624,0.3395658111918199,0.02900761093905498,0.21174351787168577,0.11532192055507696,0.10916797063838832,0.09461252626838329,0.12875683803071233,0.11863690038675544,0.160133843556314,0.20831504092082992,0.1803768801986167,0.3886919211194466,0.0005689327469557013,0.045172263558979804,0.34842364170559814,0.3088377674848943,0.2815552465519697,0.015442147951602406,0.2969973945035721,0.5147763713015109,0.17345753733156502,0.2716651629939178,0.18974477230738526,0.44512270032548285,1.3497810802058956,34247979404,0.4511742353242394,0.43625125542751453,0.9669241310155923,0.09114079373647205,-0.0034328338346819587,0.010689583135951041,-0.1359732494318701,-0.03285889085981353,-0.017608311884314554,0.027283937462464658,-0.013740810551825966,-0.017046164911749317,-0.012942671432963126,-0.029988836344712444,0.18787650452680604,0.00557495339734887,-0.0270948951019655,-0.07290283756893357,0.46334615052948,1.0398269685845258,0.4751115366701953,0.42155081197926014,1.1619045756790896,0.31460570638788665,0.4455992819268905,0.21322034570589038,0.018318027803103938,-0.0036309743075932377,0.013339152590921,-0.07801664628073646,-0.005585764624679579,0.2778544678782662,-0.029947514709439238,-0.015901132794682693,0.07543245826932368,0.01937980036454337,-1.0,-1.0,-3.0,-1.0,2.0,13.005206289047289,13.993948356256325,26.999154645303612,33.123612435328575,4.096802198016359,62.77958536665507,318647.31,-2.10188288034713,-0.15553042980380383,-2.2574133101509375,0.7548280578726363,0.20774584538864138,-0.9625739032612728,29.25656795545455,15.107089169394419,14.14947878606013,-4.326132268309209,-3.0819248558001835,-1.244207412509022,-3.0,-2.0,-4.0,,,
11110540,삼청동,2024,2,⑤ 성숙·정체,① 상위권,0.3151169665403361,0.34555971277369457,0.023821491946987718,0.217684281260692,0.09781754747828957,0.10818397421175509,0.09772197265159348,0.13201187438585402,0.13192434423873853,0.14695573011791657,0.21521644964855907,0.16798565474558325,0.3832021043941423,0.0009903082288810405,0.04654790176692566,0.3563607429185646,0.29968073799584216,0.2811137146319416,0.015306594457844882,0.2964203090897865,0.5339341324943663,0.15158022428129386,0.26444080442889495,0.20839035392938526,0.41602102871018876,1.1139394398048044,45114661978,0.4698421654879411,0.42676276733821045,0.9083109152091707,0.08140623729660004,-0.009523850688291702,0.005988296784874083,-0.09420360731583666,-0.03898813949769564,-0.004758012071564066,0.008424222857506103,0.007972666431272035,-0.022678853960596934,0.01734389115642118,-0.00533496280417578,-0.06603373474984964,0.030563916640189537,-0.037150163338269315,-0.14776898834477514,0.46391293067647976,1.0560799035539459,0.42135599151436454,0.42219024389183796,1.179973174554654,0.30117832116135057,0.4392782488477516,0.23371072924373607,0.017833195162113635,-0.028255753598178723,-0.09862858001792973,-0.07620822067038802,-0.024565859551771763,-0.021186963414369764,-0.04360867950753633,0.0164243648086973,0.07389506527653622,0.014141755151498455,-1.0,-1.0,-3.0,-1.0,-1.0,12.802093219478877,14.951933477708955,27.754026697187832,32.55501909432157,4.394163275820906,63.05081762985751,400718.61,-1.143163537151839,0.30859179233050327,-0.8345717448213357,0.08398240359683484,0.2830079744166669,-0.36699037801351153,28.588598442009168,13.945256756630716,14.643341685378452,-3.27285883060825,-2.551129273501598,-0.721729557106654,-1.0,-1.0,2.0,,,
