도착_행정동코드,연도,분기,연도분기,연령대,HE_이동인구,WE_이동인구,EE_이동인구,합계_이동인구
1101053,2021,4,2021Q4,80,15072.48,1338.48,8913.14,25324.1
1101053,2022,1,2022Q1,0,14349.76,510.77,13242.24,28102.77
1101053,2022,1,2022Q1,10,25054.9,2009.8700000000001,19358.21,46422.979999999996
1101053,2022,1,2022Q1,20,26360.89,4426.49,54716.49,85503.87
1101053,2022,1,2022Q1,30,32774.66,6956.72,43569.93,83301.31
1101053,2022,1,2022Q1,40,53048.29,11199.76,43759.33,108007.38
1101053,2022,1,2022Q1,50,50397.04,11639.26,42192.36,104228.66
1101053,2022,1,2022Q1,60,45098.59,6615.75,33172.41,84886.75
1101053,2022,1,2022Q1,70,21790.260000000002,2107.69,13430.17,37328.12
1101053,2022,1,2022Q1,80,13004.17,1069.32,7024.34,21097.83
1101053,2022,2,2022Q2,0,39090.88,1344.05,40248.93,80683.86
1101053,2022,2,2022Q2,10,45288.46,4724.56,41072.05,91085.07
1101053,2022,2,2022Q2,20,42169.93,8664.55,102383.39,153217.87
1101053,2022,2,2022Q2,30,51814.17,13224.22,94421.94,159460.33000000002
1101053,2022,2,2022Q2,40,84938.27,19917.77,96298.62,201154.66
1101053,2022,2,2022Q2,50,77835.31,19595.94,91546.86,188978.11
1101053,2022,2,2022Q2,60,77474.77,12652.93,84248.56,174376.26
1101053,2022,2,2022Q2,70,38508.02,4122.98,33275.51,75906.51000000001
1101053,2022,2,2022Q2,80,24278.65,1885.36,15527.07,41691.08
1101053,2022,3,2022Q3,0,46422.04,2119.66,52020.28,100561.98
1101053,2022,3,2022Q3,10,46984.18,4552.4400000000005,47596.43,99133.05
1101053,2022,3,2022Q3,20,40612.229999999996,9541.57,102802.34,152956.13999999998
1101053,2022,3,2022Q3,30,56744.78,14437.98,98693.41,169876.16999999998
1101053,2022,3,2022Q3,40,98721.61,20788.72,108512.61,228022.94
1101053,2022,3,2022Q3,50,86051.23,20050.98,97807.47,203909.68
1101053,2022,3,2022Q3,60,85917.5,14166.53,87128.11,187212.14
1101053,2022,3,2022Q3,70,45806.04,4834.8,34870.44,85511.28
1101053,2022,3,2022Q3,80,25830.18,1613.67,15292.42,42736.27
1101053,2022,4,2022Q4,0,41510.69,2435.69,48661.41,92607.79000000001
1101053,2022,4,2022Q4,10,57025.03,5521.78,57638.23,120185.04000000001
1101053,2022,4,2022Q4,20,54356.22,10568.93,125441.97,190367.12
1101053,2022,4,2022Q4,30,58930.82,14780.14,105598.38,179309.34
1101053,2022,4,2022Q4,40,100217.84,21469.239999999998,110661.09,232348.16999999998
1101053,2022,4,2022Q4,50,92059.97,21748.47,107767.65,221576.09
1101053,2022,4,2022Q4,60,93198.45,14470.78,100386.41,208055.64
1101053,2022,4,2022Q4,70,49520.91,4532.67,40433.64,94487.22
1101053,2022,4,2022Q4,80,28648.39,1801.9299999999998,18400.27,48850.59
1101053,2023,1,2023Q1,0,45827.1,2309.4900000000002,46726.479999999996,94863.06999999999
1101053,2023,1,2023Q1,10,49304.56,4039.33,44099.64,97443.53
1101053,2023,1,2023Q1,20,34540.56,7565.7,78386.95,120493.20999999999
1101053,2023,1,2023Q1,30,47501.42,12425.6,75040.74,134967.76
1101053,2023,1,2023Q1,40,84839.49,18908.32,84602.58,188350.39
1101053,2023,1,2023Q1,50,75790.61,18543.62,77249.01,171583.24
1101053,2023,1,2023Q1,60,72176.29,11404.03,63663.62,147243.94
1101053,2023,1,2023Q1,70,37006.72,3586.69,24443.76,65037.17
1101053,2023,1,2023Q1,80,24537.61,1601.24,12201.28,38340.130000000005
1101053,2023,2,2023Q2,0,49552.94,2399.93,55222.92,107175.79000000001
1101053,2023,2,2023Q2,10,46642.87,5179.81,44113.89,95936.57
1101053,2023,2,2023Q2,20,46457.29,8402.31,99176.76,154036.36
1101053,2023,2,2023Q2,30,58631.62,14317.77,99887.95,172837.34
1101053,2023,2,2023Q2,40,96792.41,20750.3,105245.41,222788.12
1101053,2023,2,2023Q2,50,86467.09999999999,20485.16,95010.61,201962.87
1101053,2023,2,2023Q2,60,83238.47,14231.0,87515.04000000001,184984.51
1101053,2023,2,2023Q2,70,47718.35,4824.11,36418.0,88960.45999999999
1101053,2023,2,2023Q2,80,32444.72,2373.65,17492.36,52310.73
1101053,2023,3,2023Q3,0,36701.04,2068.24,43614.69,82383.97
1101053,2023,3,2023Q3,10,42254.02,4314.47,39990.4,86558.89
1101053,2023,3,2023Q3,20,41027.35,8145.54,94223.0,143395.89
1101053,2023,3,2023Q3,30,59863.05,14448.27,96774.45999999999,171085.78
1101053,2023,3,2023Q3,40,99304.88,21534.48,103485.59,224324.95
1101053,2023,3,2023Q3,50,86220.17,21944.11,90217.75,198382.03
1101053,2023,3,2023Q3,60,80045.08,13889.92,71746.98,165681.97999999998
1101053,2023,3,2023Q3,70,45183.61,4476.11,28412.24,78071.96
1101053,2023,3,2023Q3,80,30045.64,2871.2,14897.130000000001,47813.97
1101053,2023,4,2023Q4,0,43253.229999999996,2604.35,51114.38,96971.95999999999
1101053,2023,4,2023Q4,10,58253.43,5878.5199999999995,56854.52,120986.47
1101053,2023,4,2023Q4,20,59260.63,9559.22,121688.19,190508.03999999998
1101053,2023,4,2023Q4,30,67268.18,15131.039999999999,108862.89,191262.11
1101053,2023,4,2023Q4,40,103697.02,22340.44,110547.71,236585.17
1101053,2023,4,2023Q4,50,97453.73,23102.57,105953.22,226509.52
1101053,2023,4,2023Q4,60,99906.67,16496.88,97769.4,214172.95
1101053,2023,4,2023Q4,70,54018.06,5353.32,40100.98,99472.36
1101053,2023,4,2023Q4,80,34252.340000000004,2701.18,18005.85,54959.37
1101053,2024,1,2024Q1,0,44891.29,2726.21,50020.86,97638.36
1101053,2024,1,2024Q1,10,46274.79,4058.45,44032.27,94365.51
1101053,2024,1,2024Q1,20,42208.64,6576.49,84079.53,132864.66
1101053,2024,1,2024Q1,30,59906.479999999996,12321.42,88207.08,160434.97999999998
1101053,2024,1,2024Q1,40,97010.58,20076.2,95372.35,212459.13
1101053,2024,1,2024Q1,50,86671.6,19168.43,84863.78,190703.81
1101053,2024,1,2024Q1,60,86760.69,13436.44,74532.9,174730.03
1101053,2024,1,2024Q1,70,48289.69,4524.16,31641.27,84455.12000000001
1101053,2024,1,2024Q1,80,32981.2,1928.19,15722.09,50631.479999999996
1101053,2024,2,2024Q2,0,52739.79,3868.92,57968.55,114577.26000000001
1101053,2024,2,2024Q2,10,52259.11,5239.24,42841.92,100340.26999999999
1101053,2024,2,2024Q2,20,48936.57,8565.869999999999,94925.63,152428.07
1101053,2024,2,2024Q2,30,69170.24,14898.300000000001,105096.91,189165.45
1101053,2024,2,2024Q2,40,109314.34,21934.54,106682.79,237931.66999999998
1101053,2024,2,2024Q2,50,94780.78,21545.35,95009.38,211335.51
1101053,2024,2,2024Q2,60,97647.17,15178.16,86783.1,199608.43
1101053,2024,2,2024Q2,70,59145.37,5340.63,39554.2,104040.2
1101053,2024,2,2024Q2,80,44722.85,1889.77,20159.91,66772.53
1101053,2024,3,2024Q3,0,44359.32,1873.8200000000002,49475.95,95709.09
1101053,2024,3,2024Q3,10,49008.98,4703.45,44629.53,98341.95999999999
1101053,2024,3,2024Q3,20,38680.69,7153.35,81323.24,127157.28
1101053,2024,3,2024Q3,30,64023.979999999996,13867.35,93972.18,171863.51
1101053,2024,3,2024Q3,40,100909.82,20666.98,101582.25,223159.05
1101053,2024,3,2024Q3,50,89945.67,21114.69,86581.81,197642.16999999998
1101053,2024,3,2024Q3,60,91717.66,14945.86,74746.87,181410.39
1101053,2024,3,2024Q3,70,55619.29,5024.92,32961.28,93605.48999999999
1101053,2024,3,2024Q3,80,42855.43,2865.42,17790.06,63510.91
1101053,2024,4,2024Q4,0,44657.51,2098.26,49717.98,96473.75
