period,group,ratio
2021-05-01,용산해방촌,17.343
2021-06-01,용산해방촌,18.18694
2021-07-01,용산해방촌,11.11591
2021-08-01,용산해방촌,14.93169
2021-09-01,용산해방촌,17.25383
2021-10-01,용산해방촌,18.47702
2021-11-01,용산해방촌,16.50011
2021-12-01,용산해방촌,13.70912
2022-01-01,용산해방촌,14.19218
2022-02-01,용산해방촌,12.71315
2022-03-01,용산해방촌,17.07965
2022-04-01,용산해방촌,19.96712
2022-05-01,용산해방촌,23.81214
2022-06-01,용산해방촌,19.73468
2022-07-01,용산해방촌,19.48323
2022-08-01,용산해방촌,22.43169
2022-09-01,용산해방촌,21.94738
2022-10-01,용산해방촌,22.15852
2022-11-01,용산해방촌,13.07716
2022-12-01,용산해방촌,13.73857
2023-01-01,용산해방촌,13.94219
2023-02-01,용산해방촌,15.18961
2023-03-01,용산해방촌,16.06509
2023-04-01,용산해방촌,14.92209
2023-05-01,용산해방촌,16.10644
2023-06-01,용산해방촌,19.25497
2023-07-01,용산해방촌,18.88281
2023-08-01,용산해방촌,18.51482
2023-09-01,용산해방촌,17.66399
2023-10-01,용산해방촌,23.65864
2023-11-01,용산해방촌,18.74184
2023-12-01,용산해방촌,17.09448
2024-01-01,용산해방촌,18.67647
2024-02-01,용산해방촌,20.81336
2024-03-01,용산해방촌,21.69426
2024-04-01,용산해방촌,21.48834
2024-05-01,용산해방촌,24.44223
2024-06-01,용산해방촌,24.83339
2024-07-01,용산해방촌,26.82283
2024-08-01,용산해방촌,24.36433
2024-09-01,용산해방촌,23.78353
2024-10-01,용산해방촌,31.98629
2024-11-01,용산해방촌,30.60771
2024-12-01,용산해방촌,24.90419
