period,group,ratio
2024-07-01,홍대,3.73093
2024-08-01,홍대,3.80449
2024-09-01,홍대,2.91331
2024-10-01,홍대,3.15135
2024-11-01,홍대,2.85264
2024-12-01,홍대,3.62485
2020-01-01,삼청동,0.85831
2020-02-01,삼청동,0.5529
2020-03-01,삼청동,0.60461
2020-04-01,삼청동,0.88015
2020-05-01,삼청동,1.02457
2020-06-01,삼청동,0.76014
2020-07-01,삼청동,0.97526
2020-08-01,삼청동,0.65908
2020-09-01,삼청동,0.65623
2020-10-01,삼청동,1.09171
2020-11-01,삼청동,0.94985
2020-12-01,삼청동,0.31671
2021-01-01,삼청동,0.47761
2021-02-01,삼청동,0.81062
2021-03-01,삼청동,0.90013
2021-04-01,삼청동,0.90718
2021-05-01,삼청동,1.04184
2021-06-01,삼청동,1.06215
2021-07-01,삼청동,0.59774
2021-08-01,삼청동,0.76118
2021-09-01,삼청동,0.93351
2021-10-01,삼청동,1.07759
2021-11-01,삼청동,1.06091
2021-12-01,삼청동,0.74336
2022-01-01,삼청동,0.83751
2022-02-01,삼청동,0.69089
2022-03-01,삼청동,0.84339
2022-04-01,삼청동,1.14473
2022-05-01,삼청동,1.41915
2022-06-01,삼청동,1.14596
2022-07-01,삼청동,0.97853
2022-08-01,삼청동,1.03603
2022-09-01,삼청동,1.13547
2022-10-01,삼청동,1.4023
2022-11-01,삼청동,1.12787
2022-12-01,삼청동,0.86192
2023-01-01,삼청동,0.86537
2023-02-01,삼청동,0.91618
2023-03-01,삼청동,1.02057
2023-04-01,삼청동,1.06231
2023-05-01,삼청동,0.93153
2023-06-01,삼청동,0.78269
2023-07-01,삼청동,0.68545
2023-08-01,삼청동,0.68431
2023-09-01,삼청동,0.82834
2023-10-01,삼청동,0.98567
2023-11-01,삼청동,0.70872
2023-12-01,삼청동,0.65449
2024-01-01,삼청동,0.63473
2024-02-01,삼청동,0.67507
2024-03-01,삼청동,0.71642
2024-04-01,삼청동,0.72235
2024-05-01,삼청동,0.73624
2024-06-01,삼청동,0.62336
2024-07-01,삼청동,0.57976
2024-08-01,삼청동,0.56536
2024-09-01,삼청동,0.65514
2024-10-01,삼청동,0.81558
2024-11-01,삼청동,0.76192
2024-12-01,삼청동,0.54047
2020-01-01,화양동,2.535
2020-02-01,화양동,1.82539
2020-03-01,화양동,1.54752
2020-04-01,화양동,1.65784
2020-05-01,화양동,1.65882
2020-06-01,화양동,1.48603
2020-07-01,화양동,1.86064
2020-08-01,화양동,1.55092
2020-09-01,화양동,1.12356
2020-10-01,화양동,1.59989
2020-11-01,화양동,1.45961
2020-12-01,화양동,0.88699
2021-01-01,화양동,1.21382
2021-02-01,화양동,2.7231
2021-03-01,화양동,1.63711
2021-04-01,화양동,1.51922
2021-05-01,화양동,1.6192
2021-06-01,화양동,1.49863
2021-07-01,화양동,1.23478
2021-08-01,화양동,1.33314
2021-09-01,화양동,1.38261
2021-10-01,화양동,1.49533
2021-11-01,화양동,1.68875
2021-12-01,화양동,1.71979
2022-01-01,화양동,1.61288
2022-02-01,화양동,1.39414
2022-03-01,화양동,1.46735
2022-04-01,화양동,1.65004
2022-05-01,화양동,1.97096
2022-06-01,화양동,1.71867
2022-07-01,화양동,1.939
2022-08-01,화양동,1.8138
2022-09-01,화양동,1.60962
2022-10-01,화양동,1.67073
2022-11-01,화양동,1.65387
2022-12-01,화양동,1.95373
2023-01-01,화양동,1.87247
2023-02-01,화양동,1.88872
2023-03-01,화양동,1.77383
2023-04-01,화양동,1.55791
2023-05-01,화양동,1.69604
2023-06-01,화양동,1.51192
2023-07-01,화양동,1.59682
2023-08-01,화양동,1.81205
2023-09-01,화양동,1.51168
2023-10-01,화양동,1.52444
2023-11-01,화양동,1.49174
2023-12-01,화양동,1.72184
2024-01-01,화양동,1.63863
2024-02-01,화양동,1.58564
2024-03-01,화양동,1.48047
2024-04-01,화양동,1.29032
2024-05-01,화양동,1.42901
2024-06-01,화양동,1.31583
2024-07-01,화양동,1.33645
2024-08-01,화양동,1.3273
2024-09-01,화양동,1.20023
2024-10-01,화양동,1.18934
2024-11-01,화양동,1.21547
2024-12-01,화양동,1.37349
2020-01-01,서촌,13.58313
2020-02-01,서촌,10.39378
2020-03-01,서촌,9.47211
2020-04-01,서촌,14.75097
2020-05-01,서촌,16.76549
2020-06-01,서촌,13.04537
2020-07-01,서촌,17.47673
2020-08-01,서촌,11.98583
2020-09-01,서촌,10.09345
2020-10-01,서촌,16.9821
2020-11-01,서촌,14.46247
2020-12-01,서촌,4.8287
2021-01-01,서촌,7.49803
2021-02-01,서촌,15.51972
2021-03-01,서촌,16.09551
2021-04-01,서촌,15.00587
2021-05-01,서촌,17.76563
2021-06-01,서촌,16.8269
2021-07-01,서촌,14.99365
2021-08-01,서촌,18.54191
2021-09-01,서촌,20.4746
2021-10-01,서촌,23.29134
2021-11-01,서촌,23.49747
2021-12-01,서촌,15.33415
2022-01-01,서촌,17.88442
2022-02-01,서촌,15.42015
2022-03-01,서촌,18.1486
2022-04-01,서촌,20.05482
2022-05-01,서촌,27.35774
2022-06-01,서촌,22.82882
2022-07-01,서촌,18.12199
2022-08-01,서촌,21.21701
2022-09-01,서촌,19.76377
2022-10-01,서촌,22.96763
2022-11-01,서촌,19.40996
2022-12-01,서촌,15.55398
2023-01-01,서촌,16.5083
2023-02-01,서촌,18.27155
2023-03-01,서촌,19.01584
2023-04-01,서촌,17.60586
2023-05-01,서촌,18.02457
2023-06-01,서촌,14.95374
2023-07-01,서촌,14.07977
2023-08-01,서촌,14.21361
2023-09-01,서촌,15.5607
2023-10-01,서촌,24.00916
2023-11-01,서촌,17.83188
2023-12-01,서촌,15.61889
2024-01-01,서촌,17.52564
2024-02-01,서촌,17.65384
2024-03-01,서촌,19.51773
2024-04-01,서촌,18.10842
2024-05-01,서촌,18.20893
2024-06-01,서촌,14.64454
2024-07-01,서촌,16.52107
