행정동,연도,분기,나이,이동인구
성수2가1동,2022,2,10,24564.78
성수2가1동,2022,2,15,38449.55
성수2가1동,2022,2,20,49989.5
성수2가1동,2022,2,25,76062.79
성수2가1동,2022,2,30,61968.55
성수2가1동,2022,2,35,70312.84
성수2가1동,2022,2,40,81232.37
성수2가1동,2022,2,45,76719.87
성수2가1동,2022,2,50,97645.93000000001
성수2가1동,2022,2,55,102786.35
성수2가1동,2022,2,60,94953.34999999999
성수2가1동,2022,2,65,65098.87
성수2가1동,2022,2,70,30478.31
성수2가1동,2022,2,75,24364.95
성수2가1동,2022,2,80,30728.66
성수2가1동,2022,3,0,30142.41
성수2가1동,2022,3,10,22462.96
성수2가1동,2022,3,15,38065.66
성수2가1동,2022,3,20,48729.13
성수2가1동,2022,3,25,72073.33
성수2가1동,2022,3,30,58587.06
성수2가1동,2022,3,35,70408.28
성수2가1동,2022,3,40,79542.2
성수2가1동,2022,3,45,76268.73
성수2가1동,2022,3,50,94904.97
성수2가1동,2022,3,55,102111.45999999999
성수2가1동,2022,3,60,96522.97
성수2가1동,2022,3,65,62059.3
성수2가1동,2022,3,70,31089.31
성수2가1동,2022,3,75,22361.51
성수2가1동,2022,3,80,31684.02
성수2가1동,2022,4,0,27799.260000000002
성수2가1동,2022,4,10,23556.23
성수2가1동,2022,4,15,40333.62
성수2가1동,2022,4,20,53971.78
성수2가1동,2022,4,25,78749.67
성수2가1동,2022,4,30,63181.74
성수2가1동,2022,4,35,72440.45
성수2가1동,2022,4,40,81970.27
성수2가1동,2022,4,45,75945.86
성수2가1동,2022,4,50,96959.06
성수2가1동,2022,4,55,100892.73
성수2가1동,2022,4,60,100795.89
성수2가1동,2022,4,65,64814.35
성수2가1동,2022,4,70,31803.49
성수2가1동,2022,4,75,23217.44
성수2가1동,2022,4,80,31439.93
성수2가1동,2023,1,0,30182.7
성수2가1동,2023,1,10,22758.5
성수2가1동,2023,1,15,38964.7
성수2가1동,2023,1,20,49191.28
성수2가1동,2023,1,25,69227.75
성수2가1동,2023,1,30,56909.87
성수2가1동,2023,1,35,65825.87
성수2가1동,2023,1,40,74419.66
성수2가1동,2023,1,45,68385.89
성수2가1동,2023,1,50,88524.23
성수2가1동,2023,1,55,90621.73999999999
성수2가1동,2023,1,60,94846.79
성수2가1동,2023,1,65,60350.11
성수2가1동,2023,1,70,29330.14
성수2가1동,2023,1,75,21133.829999999998
성수2가1동,2023,1,80,28008.2
성수2가1동,2023,2,0,30602.26
성수2가1동,2023,2,10,20878.19
성수2가1동,2023,2,15,41342.44
성수2가1동,2023,2,20,59853.83
성수2가1동,2023,2,25,86099.72
성수2가1동,2023,2,30,67239.2
성수2가1동,2023,2,35,65350.17
성수2가1동,2023,2,40,74362.98
성수2가1동,2023,2,45,63913.28
성수2가1동,2023,2,50,84584.52
성수2가1동,2023,2,55,89239.98
성수2가1동,2023,2,60,97076.92
성수2가1동,2023,2,65,64388.61
성수2가1동,2023,2,70,31690.5
성수2가1동,2023,2,75,21295.51
성수2가1동,2023,2,80,31617.44
성수2가1동,2023,3,0,28843.04
성수2가1동,2023,3,10,19649.21
성수2가1동,2023,3,15,41529.26
성수2가1동,2023,3,20,54584.5
성수2가1동,2023,3,25,80457.92
성수2가1동,2023,3,30,62111.63
성수2가1동,2023,3,35,61732.65
성수2가1동,2023,3,40,70297.84
성수2가1동,2023,3,45,60923.9
성수2가1동,2023,3,50,80115.54
성수2가1동,2023,3,55,86012.29
성수2가1동,2023,3,60,91500.23
성수2가1동,2023,3,65,61804.57
성수2가1동,2023,3,70,31208.17
성수2가1동,2023,3,75,20619.86
성수2가1동,2023,3,80,32944.27
성수2가1동,2023,4,0,26393.16
성수2가1동,2023,4,10,21316.12
성수2가1동,2023,4,15,48436.07
성수2가1동,2023,4,20,68103.81
성수2가1동,2023,4,25,96918.64
성수2가1동,2023,4,30,70206.75
성수2가1동,2023,4,35,67957.61
성수2가1동,2023,4,40,73398.44
성수2가1동,2023,4,45,62924.590000000004
성수2가1동,2023,4,50,79971.4
성수2가1동,2023,4,55,84310.19
성수2가1동,2023,4,60,89311.67
성수2가1동,2023,4,65,63732.38
성수2가1동,2023,4,70,32384.989999999998
성수2가1동,2023,4,75,21657.34
성수2가1동,2023,4,80,32271.510000000002
성수2가1동,2024,1,0,29837.37
성수2가1동,2024,1,10,22790.62
성수2가1동,2024,1,15,48758.09
성수2가1동,2024,1,20,61251.729999999996
성수2가1동,2024,1,25,89195.65
성수2가1동,2024,1,30,64105.82
성수2가1동,2024,1,35,60576.44
성수2가1동,2024,1,40,68622.58
성수2가1동,2024,1,45,58516.78
성수2가1동,2024,1,50,75643.75
성수2가1동,2024,1,55,78094.45
성수2가1동,2024,1,60,85088.53
성수2가1동,2024,1,65,61075.25
성수2가1동,2024,1,70,29280.14
성수2가1동,2024,1,75,22467.77
성수2가1동,2024,1,80,31003.68
성수2가1동,2024,2,0,38832.14
성수2가1동,2024,2,10,23787.13
성수2가1동,2024,2,15,48952.57
성수2가1동,2024,2,20,68846.83
성수2가1동,2024,2,25,100060.62
성수2가1동,2024,2,30,72740.95
성수2가1동,2024,2,35,70794.54
성수2가1동,2024,2,40,76824.44
성수2가1동,2024,2,45,67411.15
성수2가1동,2024,2,50,80755.66
성수2가1동,2024,2,55,89214.02
성수2가1동,2024,2,60,95605.5
성수2가1동,2024,2,65,71573.62
성수2가1동,2024,2,70,33568.31
성수2가1동,2024,2,75,24711.579999999998
