,"패턴
유사도","상승여지
(1-분위)","분위
모멘텀","블로그
성장률","임대료
변화율","공실률
(역, 낮을수록↑)"
1위 양재2동,0.8794,0.8416075650118204,0.009456264775413697,,,0.845
2위 역삼2동,0.8698,0.8392434988179669,-0.08747044917257679,0.568,0.17,0.395
3위 문래동,0.8295,0.9598108747044918,-0.0189125295508275,1.8219999999999998,,
4위 도곡1동,0.826,0.9621749408983452,-0.014184397163120602,,,
5위 서초1동,0.8085,0.7352245862884161,-0.023640661938534258,0.41200000000000003,,
6위 구로2동,0.7955,0.9952718676122932,0.0023640661938534,,,
7위 풍납2동,0.776,0.9243498817966904,-0.0023640661938535007,,,
8위 장안1동,0.775,0.9574468085106383,-0.018912529550827402,0.306,0.14067278287461754,0.595
9위 문정2동,0.7731,0.8368794326241135,0.011820330969267212,,,
10위 교남동,0.7713,0.9338061465721041,0.011820330969267094,,,
11위 원효로1동,0.7598,0.9976359338061466,-0.0047281323877068,,,
12위 무악동,0.7538,0.9385342789598109,-0.0472813238770685,,,
13위 원효로2동,0.7519,0.9834515366430261,0.011820330969267101,,,
14위 아현동,0.7284,0.9054373522458629,-0.03073286052009451,,0.0846994535519126,0.5650000000000001
15위 효창동,0.7239,0.8912529550827424,0.059101654846335706,,-0.053908355795148244,0.945
