period,group,ratio,type
2022-06-01,양재동,62.12315,candidate
2022-07-01,양재동,66.63479,candidate
2022-08-01,양재동,64.4716,candidate
2022-09-01,양재동,56.1415,candidate
2022-10-01,양재동,61.55248,candidate
2022-11-01,양재동,57.89536,candidate
2022-12-01,양재동,64.90184,candidate
2023-01-01,양재동,55.99211,candidate
2023-02-01,양재동,56.15046,candidate
2023-03-01,양재동,63.21969,candidate
2023-04-01,양재동,62.33529,candidate
2023-05-01,양재동,57.64737,candidate
2023-06-01,양재동,53.7572,candidate
2023-07-01,양재동,54.68343,candidate
2023-08-01,양재동,55.20332,candidate
2023-09-01,양재동,47.56939,candidate
2023-10-01,양재동,49.5802,candidate
2023-11-01,양재동,49.74453,candidate
2023-12-01,양재동,51.59102,candidate
2024-01-01,양재동,50.96357,candidate
2024-02-01,양재동,50.96955,candidate
2024-03-01,양재동,53.94842,candidate
2024-04-01,양재동,50.73351,candidate
2024-05-01,양재동,49.18581,candidate
2024-06-01,양재동,45.31357,candidate
2024-07-01,양재동,48.46574,candidate
2024-08-01,양재동,47.35426,candidate
2024-09-01,양재동,39.46039,candidate
2024-10-01,양재동,41.1545,candidate
2024-11-01,양재동,42.39146,candidate
2024-12-01,양재동,43.74794,candidate
2020-01-01,풍납동,38.73435,candidate
2020-02-01,풍납동,32.74373,candidate
2020-03-01,풍납동,32.05354,candidate
2020-04-01,풍납동,40.08186,candidate
2020-05-01,풍납동,36.07517,candidate
2020-06-01,풍납동,40.48821,candidate
2020-07-01,풍납동,39.49027,candidate
2020-08-01,풍납동,36.93268,candidate
2020-09-01,풍납동,31.51274,candidate
2020-10-01,풍납동,30.219,candidate
2020-11-01,풍납동,29.31966,candidate
2020-12-01,풍납동,28.1066,candidate
2021-01-01,풍납동,29.40631,candidate
2021-02-01,풍납동,30.03675,candidate
2021-03-01,풍납동,34.10021,candidate
2021-04-01,풍납동,31.38725,candidate
2021-05-01,풍납동,28.27093,candidate
2021-06-01,풍납동,32.47183,candidate
2021-07-01,풍납동,27.94526,candidate
2021-08-01,풍납동,27.42537,candidate
2021-09-01,풍납동,28.09166,candidate
2021-10-01,풍납동,27.87953,candidate
2021-11-01,풍납동,28.86551,candidate
2021-12-01,풍납동,24.53016,candidate
2022-01-01,풍납동,24.41363,candidate
2022-02-01,풍납동,23.24539,candidate
2022-03-01,풍납동,25.76712,candidate
2022-04-01,풍납동,29.64235,candidate
2022-05-01,풍납동,29.68119,candidate
2022-06-01,풍납동,27.76898,candidate
2022-07-01,풍납동,29.23003,candidate
2022-08-01,풍납동,33.35624,candidate
2022-09-01,풍납동,26.98019,candidate
2022-10-01,풍납동,26.64555,candidate
2022-11-01,풍납동,25.76115,candidate
2022-12-01,풍납동,24.05808,candidate
2023-01-01,풍납동,24.07601,candidate
2023-02-01,풍납동,22.78526,candidate
2023-03-01,풍납동,26.29298,candidate
2023-04-01,풍납동,25.17553,candidate
2023-05-01,풍납동,26.05993,candidate
2023-06-01,풍납동,26.42445,candidate
2023-07-01,풍납동,28.37849,candidate
2023-08-01,풍납동,25.41157,candidate
2023-09-01,풍납동,22.68666,candidate
2023-10-01,풍납동,23.20057,candidate
2023-11-01,풍납동,22.30123,candidate
2023-12-01,풍납동,22.35501,candidate
2024-01-01,풍납동,25.90158,candidate
2024-02-01,풍납동,23.44258,candidate
2024-03-01,풍납동,24.88272,candidate
2024-04-01,풍납동,24.08198,candidate
2024-05-01,풍납동,25.14266,candidate
2024-06-01,풍납동,24.52717,candidate
2024-07-01,풍납동,29.02387,candidate
2024-08-01,풍납동,29.11948,candidate
2024-09-01,풍납동,24.04912,candidate
2024-10-01,풍납동,27.2461,candidate
2024-11-01,풍납동,23.89375,candidate
2024-12-01,풍납동,20.14102,candidate
