행정동,20대매출_2020억,20대매출_2021억,20대매출_2022억,20대매출_2023억,20대매출_2024억,20대비중_2020%,20대비중_2021%,20대비중_2022%,20대비중_2023%,20대비중_2024%,20대성장률_2019v2020%,20대성장률_2020v2021%,20대성장률_2021v2022%,20대성장률_2022v2023%,20대성장률_2023v2024%
거여1동,45.9,52.9,58.9,40.0,33.1,10.41,8.24,8.52,5.46,4.91,,15.3,11.4,-32.1,-17.2
거여2동,84.0,84.7,87.8,72.0,61.6,10.05,9.2,8.52,6.73,6.0,,0.8,3.7,-17.9,-14.5
고덕1동,9.4,17.4,14.2,11.7,12.1,4.51,4.36,4.34,3.37,3.56,,84.0,-18.3,-17.8,3.5
고덕2동,34.2,58.2,55.7,51.2,50.8,6.29,7.06,6.54,5.4,5.2,,70.3,-4.2,-8.1,-0.8
고척1동,130.8,135.0,149.8,144.4,164.7,6.94,6.53,7.17,6.82,7.44,,3.2,11.0,-3.6,14.0
고척2동,68.6,70.3,53.9,44.5,43.9,7.59,6.38,4.79,4.0,3.86,,2.5,-23.3,-17.4,-1.5
공덕동,140.3,154.8,150.1,140.5,118.6,9.7,8.71,8.1,7.43,6.08,,10.3,-3.0,-6.4,-15.6
공릉1동,221.1,250.1,276.9,269.5,226.7,11.33,11.3,11.34,10.37,8.85,,13.1,10.7,-2.7,-15.9
공릉2동,192.1,217.9,234.8,237.7,218.8,15.94,15.37,15.23,14.41,13.39,,13.4,7.7,1.3,-8.0
공항동,150.5,168.1,139.8,121.0,138.7,12.26,11.43,9.05,7.34,8.1,,11.7,-16.8,-13.4,14.6
광장동,80.8,109.9,95.1,95.6,93.5,7.6,8.23,6.74,6.06,5.74,,36.0,-13.4,0.6,-2.2
광희동,657.9,580.6,657.2,757.0,685.5,14.79,12.05,12.93,11.63,10.23,,-11.8,13.2,15.2,-9.4
교남동,13.7,24.3,25.4,21.5,19.3,8.45,6.83,6.61,5.38,5.03,,77.2,4.4,-15.4,-10.1
구로1동,22.4,22.8,21.4,17.5,15.8,4.75,4.96,4.46,3.57,3.17,,1.9,-6.0,-18.4,-9.8
구로2동,138.0,163.4,141.8,177.0,104.8,2.15,2.24,1.97,2.39,1.5,,18.4,-13.2,24.8,-40.8
구로3동,874.2,890.8,959.3,948.6,813.6,19.49,17.5,17.06,15.45,13.23,,1.9,7.7,-1.1,-14.2
구로4동,116.5,142.7,129.7,108.6,89.7,7.67,7.59,6.43,5.08,4.26,,22.5,-9.1,-16.2,-17.4
구로5동,425.6,453.3,451.6,421.4,384.9,16.03,14.18,13.43,10.76,9.49,,6.5,-0.4,-6.7,-8.6
구산동,63.8,69.1,61.7,52.5,46.5,11.36,10.45,9.82,8.09,7.32,,8.3,-10.7,-15.0,-11.3
구의1동,260.6,276.8,287.6,266.3,231.3,14.04,13.55,13.57,11.98,10.06,,6.2,3.9,-7.4,-13.1
구의2동,104.3,128.6,106.1,100.2,83.4,11.0,11.45,9.45,8.63,6.81,,23.3,-17.5,-5.5,-16.7
구의3동,617.8,472.4,421.7,346.8,330.0,10.86,8.96,8.56,7.47,6.99,,-23.5,-10.7,-17.8,-4.8
군자동,269.2,219.4,214.4,217.2,191.9,17.39,14.68,13.21,12.01,11.66,,-18.5,-2.3,1.3,-11.7
금호1가동,11.3,20.2,18.0,13.8,9.3,5.1,7.45,6.73,6.13,4.51,,78.8,-10.5,-23.3,-32.7
금호2·3가동,51.6,52.7,44.1,35.1,33.8,7.92,7.16,5.86,4.52,4.57,,2.2,-16.3,-20.5,-3.5
금호4가동,43.1,46.7,53.9,44.1,39.6,12.29,9.37,9.48,6.83,5.78,,8.4,15.5,-18.3,-10.1
길동,344.2,370.3,356.5,332.6,293.8,10.8,9.86,8.75,7.63,6.87,,7.6,-3.7,-6.7,-11.6
길음1동,23.0,29.7,29.6,25.5,20.8,6.71,7.37,6.26,4.94,4.18,,29.4,-0.6,-13.7,-18.5
길음2동,55.7,75.9,65.6,54.9,46.7,7.29,9.21,7.11,5.69,5.29,,36.2,-13.7,-16.2,-14.9
낙성대동,466.8,562.6,623.9,582.6,510.9,30.8,31.67,31.38,27.77,25.21,,20.5,10.9,-6.6,-12.3
난곡동,67.7,94.5,77.7,66.1,55.0,13.7,13.7,10.79,8.86,7.24,,39.7,-17.7,-15.0,-16.7
난향동,6.7,12.1,10.2,6.3,6.0,5.72,5.83,5.6,3.61,3.46,,82.0,-16.0,-37.8,-6.0
남가좌1동,14.8,17.6,16.8,19.9,17.9,3.82,4.38,3.43,2.67,2.07,,19.0,-4.5,18.7,-10.3
남가좌2동,112.3,132.4,130.0,119.6,119.9,14.93,13.07,11.62,10.84,10.51,,17.8,-1.8,-8.0,0.2
남영동,330.0,370.0,435.6,418.1,386.8,21.02,20.1,19.29,17.07,15.28,,12.1,17.7,-4.0,-7.5
남현동,194.6,194.8,213.7,216.4,195.1,24.31,20.83,20.54,18.81,16.85,,0.1,9.7,1.3,-9.9
내곡동,10.8,12.1,13.9,8.9,9.2,4.6,5.08,5.57,3.55,3.75,,11.9,15.0,-35.8,3.3
노량진1동,1282.6,1146.5,1276.9,1322.6,1012.8,13.55,11.37,9.23,8.48,7.56,,-10.6,11.4,3.6,-23.4
노량진2동,2325.1,2602.2,2579.6,2433.8,2146.4,9.99,8.91,8.28,7.5,6.73,,11.9,-0.9,-5.7,-11.8
녹번동,102.2,138.3,117.1,105.4,83.0,9.05,8.4,6.88,5.62,4.55,,35.3,-15.4,-10.0,-21.2
논현1동,1629.5,1718.3,1738.2,1600.5,1421.7,17.16,17.02,16.53,15.1,14.0,,5.4,1.2,-7.9,-11.2
논현2동,857.2,918.7,972.2,831.9,703.0,14.6,12.75,12.27,10.66,9.17,,7.2,5.8,-14.4,-15.5
능동,136.2,174.2,173.7,150.4,137.3,17.56,17.11,16.3,13.97,13.42,,27.9,-0.3,-13.5,-8.7
다산동,217.9,180.9,178.0,192.7,150.2,18.68,12.8,11.31,11.4,9.07,,-17.0,-1.6,8.2,-22.0
답십리1동,83.7,102.4,96.3,83.4,68.2,9.05,7.54,6.82,5.68,4.75,,22.2,-5.9,-13.4,-18.2
답십리2동,74.7,96.5,86.1,82.9,73.0,8.95,8.3,7.2,6.75,6.08,,29.1,-10.8,-3.6,-12.0
당산1동,278.4,316.9,335.6,310.0,366.5,6.25,5.19,6.3,5.69,6.27,,13.9,5.9,-7.6,18.2
당산2동,322.1,359.4,368.3,333.2,279.3,19.53,16.95,15.6,13.96,12.09,,11.6,2.5,-9.5,-16.2
대림1동,66.6,80.4,77.0,74.2,63.2,7.15,6.98,6.63,6.15,5.3,,20.8,-4.2,-3.7,-14.9
대림2동,97.7,118.5,110.8,83.5,67.8,9.46,7.72,6.74,5.19,4.17,,21.2,-6.5,-24.7,-18.8
대림3동,146.6,147.0,130.5,140.7,92.3,3.28,2.51,2.3,2.76,1.82,,0.3,-11.2,7.8,-34.4
대방동,210.1,224.9,243.3,222.3,181.5,12.42,11.76,11.33,9.87,8.0,,7.0,8.2,-8.6,-18.3
대조동,270.8,312.4,261.5,245.6,227.2,12.87,12.48,10.55,9.47,9.22,,15.4,-16.3,-6.1,-7.5
대치1동,124.3,169.7,161.5,143.6,136.7,4.44,4.05,3.42,2.87,2.57,,36.5,-4.9,-11.1,-4.8
대치2동,361.2,335.8,277.3,242.6,206.1,7.0,5.83,4.54,3.54,2.96,,-7.0,-17.4,-12.5,-15.1
대치4동,531.0,609.1,625.9,585.4,518.5,10.83,8.2,7.54,6.76,6.06,,14.7,2.7,-6.5,-11.4
대학동,318.0,354.1,324.7,319.9,256.9,29.4,27.05,24.99,23.87,20.99,,11.3,-8.3,-1.5,-19.7
대흥동,354.2,406.0,424.5,397.8,365.2,19.69,17.72,18.74,16.93,16.21,,14.6,4.5,-6.3,-8.2
도곡1동,190.7,238.7,187.7,160.5,144.6,8.86,8.62,6.76,5.89,5.25,,25.1,-21.3,-14.5,-9.9
도곡2동,175.7,204.1,191.0,163.1,152.3,8.25,7.97,6.67,5.87,5.25,,16.2,-6.4,-14.6,-6.6
도림동,53.4,48.2,46.7,33.8,24.6,10.68,8.84,7.85,5.76,4.41,,-9.6,-3.1,-27.6,-27.4
도봉1동,92.9,107.9,97.1,82.9,66.9,5.43,5.65,4.9,4.32,3.57,,16.2,-10.0,-14.7,-19.3
도봉2동,27.8,29.1,32.6,27.0,26.1,6.44,6.48,6.72,5.6,5.38,,5.0,11.8,-17.2,-3.4
도화동,182.4,182.8,200.7,189.0,158.5,12.15,10.69,9.16,8.58,6.78,,0.2,9.8,-5.8,-16.2
독산1동,302.9,351.7,342.7,289.5,237.6,3.32,3.55,3.59,3.32,2.69,,16.1,-2.6,-15.5,-17.9
독산2동,64.3,86.7,71.3,57.6,43.4,9.03,9.02,7.93,6.73,5.15,,35.0,-17.8,-19.2,-24.6
독산3동,93.2,106.2,96.6,82.7,74.3,7.41,6.72,5.97,5.22,4.93,,14.0,-9.1,-14.4,-10.1
독산4동,101.8,90.1,90.5,83.5,61.6,16.36,13.78,11.89,11.35,8.8,,-11.5,0.5,-7.8,-26.3
돈암1동,7.9,11.2,13.5,15.1,10.3,3.71,3.63,3.63,3.78,2.93,,40.6,20.9,12.1,-31.8
돈암2동,11.4,15.7,14.2,13.8,13.1,6.15,5.9,5.16,4.47,4.2,,37.6,-9.7,-2.3,-5.0
동선동,636.9,686.9,783.0,746.5,640.3,32.38,29.36,28.68,25.82,23.83,,7.8,14.0,-4.7,-14.2
동화동,59.0,70.1,63.5,79.3,89.1,9.15,10.09,9.72,13.22,9.68,,18.7,-9.4,24.9,12.3
둔촌2동,62.9,77.9,71.9,62.2,50.7,7.38,6.82,6.23,5.49,4.88,,23.7,-7.6,-13.5,-18.5
등촌1동,261.2,302.2,279.7,270.6,241.7,10.4,10.27,9.9,8.92,7.8,,15.7,-7.5,-3.2,-10.7
등촌2동,35.3,30.5,26.6,27.2,28.3,11.1,7.09,7.01,7.13,6.81,,-13.6,-13.0,2.5,4.1
등촌3동,234.2,220.9,212.1,196.1,164.8,10.97,9.05,8.18,6.98,6.21,,-5.7,-4.0,-7.6,-16.0
마장동,78.3,98.7,92.8,78.0,67.4,9.7,9.85,8.41,7.03,6.23,,26.1,-6.0,-15.9,-13.7
마천1동,41.4,44.5,38.9,31.7,35.3,5.62,2.81,2.63,2.12,2.49,,7.4,-12.5,-18.6,11.5
마천2동,82.5,96.3,79.6,59.9,55.7,7.51,6.32,5.02,3.94,3.53,,16.8,-17.3,-24.8,-7.0
망우3동,41.1,50.9,45.1,37.8,30.6,9.03,7.89,7.62,6.36,5.25,,23.8,-11.3,-16.3,-18.9
망우본동,193.3,231.4,199.7,167.4,146.4,9.17,8.77,7.55,6.27,5.34,,19.7,-13.7,-16.2,-12.5
망원1동,280.3,336.6,340.2,314.5,285.6,17.61,17.42,16.56,14.86,13.82,,20.1,1.1,-7.5,-9.2
망원2동,128.7,142.4,153.5,138.7,102.3,13.44,12.8,12.8,10.95,7.99,,10.7,7.8,-9.6,-26.3
면목2동,67.5,79.4,67.4,60.0,51.9,9.05,7.83,6.44,5.72,5.04,,17.7,-15.1,-11.0,-13.5
면목3·8동,198.9,205.2,196.0,177.1,145.7,17.42,14.94,12.85,11.12,9.61,,3.2,-4.4,-9.7,-17.7
면목4동,28.1,39.7,40.6,33.3,27.1,7.01,7.24,7.19,6.61,5.45,,41.2,2.2,-18.0,-18.4
면목5동,26.6,23.9,18.4,16.4,20.9,6.88,7.33,6.08,5.46,5.68,,-9.8,-23.3,-10.5,27.2
면목7동,156.2,151.2,134.3,116.4,102.1,11.27,9.54,8.12,6.63,5.49,,-3.2,-11.2,-13.3,-12.3
면목본동,199.5,229.0,203.7,177.8,152.4,10.94,10.56,9.19,7.9,6.67,,14.8,-11.1,-12.7,-14.3
명동,1506.8,1273.7,1299.2,1293.8,1258.3,20.54,16.93,15.36,13.67,12.66,,-15.5,2.0,-0.4,-2.7
명일1동,163.4,180.3,167.7,142.5,121.9,9.38,8.54,7.27,5.86,5.02,,10.4,-7.0,-15.0,-14.4
명일2동,129.2,214.6,210.0,192.9,144.2,8.21,8.52,7.08,5.72,4.29,,66.1,-2.1,-8.1,-25.2
목1동,322.8,361.9,346.0,282.4,255.4,13.13,12.5,10.61,8.41,7.57,,12.1,-4.4,-18.4,-9.5
목2동,139.6,151.6,153.2,130.0,100.3,13.67,12.8,11.75,10.01,8.68,,8.6,1.1,-15.1,-22.8
목3동,137.2,135.9,120.7,101.6,96.9,10.01,9.7,8.32,6.94,6.55,,-0.9,-11.2,-15.8,-4.6
목4동,67.0,77.0,64.7,51.6,47.8,6.53,6.21,5.61,4.54,4.31,,14.9,-16.0,-20.1,-7.4
목5동,65.3,75.7,65.2,65.6,59.9,4.38,3.48,2.72,2.4,2.11,,15.8,-13.9,0.7,-8.8
무악동,17.3,21.8,21.4,17.8,16.5,9.18,6.94,6.69,5.64,5.19,,26.0,-1.5,-16.9,-7.3
묵1동,152.2,154.2,146.9,118.6,105.3,13.23,10.65,10.36,6.55,5.46,,1.3,-4.7,-19.2,-11.2
묵2동,87.6,124.6,91.9,90.8,91.5,9.7,11.01,9.27,8.09,7.74,,42.2,-26.3,-1.1,0.7
문래동,381.5,447.5,502.6,486.8,468.9,9.4,10.48,11.24,9.02,7.44,,17.3,12.3,-3.1,-3.7
문정1동,88.3,81.2,83.7,88.4,91.4,8.94,7.56,7.23,6.81,7.12,,-8.0,3.1,5.6,3.3
문정2동,448.3,509.0,452.7,438.8,377.0,11.02,8.5,8.77,8.27,6.6,,13.5,-11.0,-3.1,-14.1
미성동,89.6,102.3,92.9,72.0,63.9,10.69,9.93,9.19,6.63,5.89,,14.2,-9.2,-22.5,-11.3
미아동,198.7,183.7,274.6,221.0,124.5,14.16,10.99,15.49,11.54,6.75,,-7.5,49.5,-19.5,-43.7
반포1동,320.1,354.4,390.5,361.4,353.1,14.06,13.2,13.63,11.49,10.82,,10.7,10.2,-7.4,-2.3
반포2동,36.4,31.4,38.6,38.9,29.4,5.62,4.5,4.34,3.23,2.41,,-13.6,22.8,0.8,-24.4
반포3동,156.9,221.9,229.3,192.0,179.5,5.97,6.64,7.72,4.92,4.45,,41.4,3.4,-16.3,-6.5
반포4동,195.9,203.6,198.5,161.9,131.2,6.76,5.59,4.81,3.64,2.95,,4.0,-2.5,-18.4,-19.0
반포본동,8.2,3.5,1.8,1.8,1.4,6.17,3.31,1.99,2.19,2.26,,-57.6,-46.8,0.1,-25.4
발산1동,327.7,345.3,310.0,247.0,205.4,4.96,4.87,4.52,3.61,3.24,,5.4,-10.2,-20.3,-16.8
방배1동,274.8,263.0,283.9,275.0,252.4,10.83,10.63,10.14,8.77,8.92,,-4.3,7.9,-3.1,-8.2
방배2동,190.1,224.7,239.3,251.1,213.5,13.62,15.91,14.45,13.41,11.41,,18.2,6.5,4.9,-15.0
방배3동,35.9,42.5,35.3,29.7,25.9,4.09,4.24,3.47,2.84,2.5,,18.2,-16.8,-15.9,-13.0
방배4동,205.0,196.5,182.2,156.5,142.8,9.57,8.52,7.56,6.31,5.92,,-4.2,-7.3,-14.1,-8.8
방배본동,141.9,155.7,129.6,107.7,115.4,8.05,7.58,6.21,5.02,5.45,,9.7,-16.8,-16.9,7.2
방이1동,98.9,91.9,87.8,80.9,76.0,8.59,6.62,5.88,4.56,3.99,,-7.0,-4.4,-7.8,-6.0
방이2동,755.7,807.7,935.4,912.0,904.9,22.56,20.1,20.64,18.92,18.42,,6.9,15.8,-2.5,-0.8
방학1동,166.4,172.1,192.7,160.4,138.6,10.32,9.02,9.36,7.41,6.32,,3.4,12.0,-16.8,-13.6
방학2동,55.4,60.3,52.0,49.6,37.6,3.94,3.21,2.72,2.24,1.66,,8.8,-13.7,-4.5,-24.3
방학3동,40.1,40.6,29.5,26.3,24.4,8.54,7.95,6.01,4.93,4.35,,1.3,-27.4,-11.0,-7.1
방화1동,162.8,190.9,164.1,153.0,139.7,9.62,8.02,6.75,6.01,5.45,,17.2,-14.0,-6.7,-8.7
방화2동,80.6,94.3,84.2,77.5,72.5,9.11,8.65,7.59,6.77,6.25,,17.0,-10.7,-7.9,-6.4
방화3동,44.1,44.6,41.7,28.6,25.3,12.12,9.12,8.22,5.81,4.9,,1.3,-6.5,-31.5,-11.6
번1동,423.2,344.3,320.5,290.4,256.4,18.55,15.17,13.62,11.75,10.2,,-18.7,-6.9,-9.4,-11.7
번2동,17.8,20.8,18.7,14.6,8.6,6.35,6.87,6.38,5.66,4.18,,16.5,-10.1,-21.9,-41.1
번3동,29.9,31.2,29.9,23.7,18.9,6.47,5.96,5.56,4.02,3.46,,4.2,-4.2,-20.7,-20.5
보광동,80.2,72.0,76.0,58.1,35.7,10.94,10.3,9.81,8.56,7.92,,-10.3,5.6,-23.6,-38.5
보라매동,112.0,129.8,139.9,124.0,94.0,13.23,12.57,13.0,11.34,9.48,,15.9,7.8,-11.4,-24.2
보문동,79.2,63.7,55.6,56.2,53.2,15.17,11.43,11.84,10.48,9.29,,-19.5,-12.9,1.2,-5.4
부암동,23.8,30.1,32.9,33.8,26.6,15.8,11.42,11.32,11.24,8.72,,26.2,9.4,2.8,-21.5
북가좌1동,11.9,11.1,10.4,9.0,5.3,8.88,5.6,5.8,4.78,2.94,,-7.0,-6.0,-14.2,-40.9
북가좌2동,135.7,116.2,117.8,133.2,110.7,9.92,8.15,7.46,7.34,6.6,,-14.3,1.3,13.1,-16.9
북아현동,39.6,45.1,38.3,41.7,40.5,8.61,8.46,6.82,7.34,7.4,,13.8,-15.1,9.1,-3.0
불광1동,160.7,200.6,174.4,167.0,155.2,10.74,10.35,9.72,8.58,7.87,,24.8,-13.1,-4.2,-7.1
불광2동,97.2,109.2,90.3,80.0,69.6,10.12,9.02,7.79,6.65,5.57,,12.4,-17.3,-11.4,-13.0
사근동,616.2,643.1,749.4,740.0,622.2,53.86,47.77,47.35,44.45,41.09,,4.4,16.5,-1.3,-15.9
사당1동,423.5,403.5,441.8,463.0,428.5,22.26,19.58,18.51,17.79,16.42,,-4.7,9.5,4.8,-7.5
사당2동,329.5,385.5,384.4,344.0,317.7,13.73,13.72,12.41,11.09,10.21,,17.0,-0.3,-10.5,-7.6
사당3동,37.3,38.0,39.6,39.7,39.8,11.11,9.54,8.15,7.01,6.76,,1.7,4.3,0.1,0.4
사당4동,79.2,78.3,66.8,53.8,51.1,10.41,8.86,7.88,6.29,5.79,,-1.1,-14.7,-19.5,-5.0
사당5동,23.1,23.7,20.0,16.8,16.2,13.55,12.32,9.86,7.91,7.32,,2.9,-15.7,-16.3,-3.2
사직동,355.0,494.6,548.6,505.0,479.3,14.75,15.27,14.12,12.41,11.56,,39.3,10.9,-7.9,-5.1
삼각산동,28.4,37.0,29.2,27.6,19.7,7.43,7.41,5.71,5.2,3.83,,30.0,-20.9,-5.7,-28.7
삼선동,205.0,218.7,231.7,226.8,229.8,12.01,10.83,10.46,9.64,9.44,,6.7,5.9,-2.1,1.3
삼성1동,1643.9,1761.5,1826.0,1478.3,1082.7,13.5,16.04,15.16,12.73,10.56,,7.2,3.7,-19.0,-26.8
삼성2동,492.4,393.4,386.9,330.4,285.2,12.22,10.79,10.09,9.0,7.92,,-20.1,-1.7,-14.6,-13.7
삼성동,24.1,35.4,23.6,18.9,17.8,6.52,7.31,4.86,3.62,3.83,,46.7,-33.5,-19.8,-5.5
삼양동,53.9,80.2,85.1,49.6,42.5,8.92,11.48,10.53,6.53,5.63,,49.0,6.1,-41.7,-14.3
삼전동,243.7,253.2,242.8,207.7,171.9,10.7,8.94,8.02,7.11,5.72,,3.9,-4.1,-14.5,-17.2
삼청동,226.1,389.6,389.6,304.8,253.8,26.84,29.57,22.89,19.14,16.23,,72.3,-0.0,-21.8,-16.7
상계10동,21.5,26.7,20.9,22.8,22.1,20.41,14.68,13.22,11.95,11.18,,24.5,-21.7,9.2,-3.4
상계1동,182.1,196.6,176.1,151.8,125.1,12.81,11.26,9.16,7.57,6.61,,8.0,-10.5,-13.8,-17.6
상계2동,698.1,756.3,737.1,631.4,552.6,23.36,21.74,20.12,17.34,15.59,,8.3,-2.5,-14.3,-12.5
상계3·4동,30.2,40.4,33.2,29.7,26.4,7.13,8.08,6.47,5.0,4.58,,33.8,-17.8,-10.6,-11.0
상계5동,65.4,77.9,61.3,51.2,48.9,8.92,7.44,6.2,5.39,5.2,,19.1,-21.3,-16.6,-4.4
상계6·7동,483.1,499.4,475.0,498.7,438.1,17.7,14.62,12.93,12.39,10.6,,3.4,-4.9,5.0,-12.2
상계8동,38.6,40.8,40.0,38.0,32.4,8.82,9.0,8.29,7.66,6.39,,5.6,-1.8,-5.1,-14.7
상계9동,37.4,51.8,43.5,38.3,38.6,7.21,7.42,7.49,5.48,4.83,,38.5,-16.0,-12.1,0.9
상도1동,360.1,315.8,361.2,353.0,315.9,18.09,14.32,16.2,14.82,13.17,,-12.3,14.4,-2.3,-10.5
