행정동,YQ,연도,분기,합계_이동인구_전체,합계_이동인구_20,이동비율_20대
합정동,18,2024,2,679840.9299999999,158195.06,0.23269422745700236
합정동,19,2024,3,630377.92,139505.45,0.22130446764379058
합정동,20,2024,4,668556.9500000001,145356.1,0.21741767847899868
가양1동,1,2020,1,651391.05,89578.95999999999,0.13751948234474512
가양1동,2,2020,2,704250.2899999999,100376.44,0.14252949757393782
가양1동,3,2020,3,714004.19,106093.54,0.1485895201819474
가양1동,4,2020,4,672123.48,94825.05,0.14108278139606134
가양1동,5,2021,1,698976.75,100837.59,0.14426458390783384
가양1동,6,2021,2,1062894.3399999999,146861.49,0.13817129744053394
가양1동,7,2021,3,919436.86,132776.07,0.14441020996265042
가양1동,8,2021,4,1060370.34,157724.01,0.14874426796962276
가양1동,9,2022,1,896805.11,124616.5,0.13895605478876008
가양1동,10,2022,2,1324545.43,180451.25,0.13623636148138762
가양1동,11,2022,3,1272257.77,175624.55,0.13804164072819927
가양1동,12,2022,4,1313757.41,175347.47999999998,0.1334702119777197
가양1동,13,2023,1,1223205.81,155560.91999999998,0.12717477200341287
가양1동,14,2023,2,1410619.95,173990.22999999998,0.12334309464430869
가양1동,15,2023,3,1376716.28,172405.93,0.12522981859414054
가양1동,16,2023,4,1361324.21,158275.62,0.1162659261014685
가양1동,17,2024,1,1254633.9,139342.28,0.11106210345503977
가양1동,18,2024,2,1349489.89,145307.21000000002,0.10767565661421889
가양1동,19,2024,3,1187745.56,125333.21,0.10552193518618584
가양1동,20,2024,4,1205518.8,117494.62,0.09746394664272344
구로3동,1,2020,1,629614.69,91516.87,0.14535377184417347
구로3동,2,2020,2,589093.5,92252.23,0.15660031896464652
구로3동,3,2020,3,565916.37,82898.42,0.14648528368246355
구로3동,4,2020,4,534929.5700000001,73700.66,0.13777638054295632
구로3동,5,2021,1,508941.6,67960.65,0.13353329733706185
구로3동,6,2021,2,604015.87,81156.63,0.1343617511241882
구로3동,7,2021,3,531017.39,67381.19,0.12689074080982546
구로3동,8,2021,4,636570.79,84853.4,0.13329766513477628
구로3동,9,2022,1,585479.11,72957.3,0.12461127776190001
구로3동,10,2022,2,759565.0700000001,100436.07,0.1322283948628654
구로3동,11,2022,3,788265.41,97727.32,0.12397768411530324
구로3동,12,2022,4,861175.86,105052.3,0.12198704687332969
구로3동,13,2023,1,802098.63,98034.81,0.12222288672902981
구로3동,14,2023,2,822358.02,98396.31,0.11965142627295104
구로3동,15,2023,3,832979.92,96418.2,0.11575092950619985
구로3동,16,2023,4,835383.88,95741.97,0.11460835227033589
구로3동,17,2024,1,806776.8099999999,87108.42,0.10797090213834977
구로3동,18,2024,2,836098.29,91900.86,0.10991633531507401
구로3동,19,2024,3,837420.59,88512.51000000001,0.10569660103532923
구로3동,20,2024,4,843578.29,87134.0,0.10329094647516356
대학동,1,2020,1,462689.05,81867.09,0.17693759988484706
대학동,2,2020,2,453645.59,61147.86,0.13479214026967615
대학동,3,2020,3,392067.57,50988.89,0.13005128172166852
대학동,4,2020,4,369426.1,47458.71,0.12846604503580014
대학동,5,2021,1,342022.29000000004,46192.26,0.13505628536666425
대학동,6,2021,2,452435.18,60268.82000000001,0.13320984455718057
대학동,7,2021,3,379607.34,45889.75,0.12088741487453851
대학동,8,2021,4,395757.52999999997,53849.78,0.13606760685008318
대학동,9,2022,1,332152.12,47685.27,0.1435645510858097
대학동,10,2022,2,525528.1900000001,66262.56,0.12608754632173014
대학동,11,2022,3,523443.39,60146.06,0.11490461270319985
대학동,12,2022,4,498291.45,65056.89,0.1305599162899544
대학동,13,2023,1,425150.19,55432.25,0.13038274780025383
대학동,14,2023,2,539875.6900000001,66815.20000000001,0.1237603419409383
대학동,15,2023,3,520165.62,61036.67,0.11734083848140521
대학동,16,2023,4,494162.31,64469.94,0.13046308610626334
대학동,17,2024,1,438203.08999999997,52656.98,0.12016569759925702
대학동,18,2024,2,555473.85,63152.99,0.11369210269754373
대학동,19,2024,3,507723.86,56046.17999999999,0.11038713051618254
대학동,20,2024,4,535479.02,59735.09,0.11155449190147541
방배2동,1,2020,1,405884.8,63426.45,0.15626712308517096
방배2동,2,2020,2,388338.66,62228.55,0.16024299512183518
방배2동,3,2020,3,355702.15,52467.94,0.14750526529007485
방배2동,4,2020,4,335280.97,43851.78,0.13079113914517726
방배2동,5,2021,1,286952.86,37137.36,0.12941972420138975
방배2동,6,2021,2,372978.62,50715.2,0.13597347751460928
방배2동,7,2021,3,292997.14,36804.28,0.12561310325418193
방배2동,8,2021,4,411083.29,56005.95,0.1362399089488653
방배2동,9,2022,1,320743.19,43717.57,0.13630085178113993
방배2동,10,2022,2,537409.0599999999,66766.46,0.12423768962882764
방배2동,11,2022,3,509573.87,65866.07,0.12925715755401668
방배2동,12,2022,4,585387.6799999999,71935.68,0.12288553800790615
방배2동,13,2023,1,539938.03,69112.53,0.12800085595008004
방배2동,14,2023,2,564859.72,67840.77,0.12010197859390648
방배2동,15,2023,3,531241.15,61457.41,0.11568646367097127
방배2동,16,2023,4,607903.5499999999,66804.47,0.10989320592057739
방배2동,17,2024,1,556138.66,62177.06,0.11180136263139842
방배2동,18,2024,2,575383.12,63414.61,0.11021284392215051
방배2동,19,2024,3,496608.88,59139.86,0.11908739932318568
방배2동,20,2024,4,603206.01,64202.45999999999,0.10643537852018416
삼성1동,1,2020,1,1208674.49,168357.40999999997,0.13929094342017592
삼성1동,2,2020,2,1139356.25,159873.71,0.14031933383434725
삼성1동,3,2020,3,1209466.69,179213.08000000002,0.1481752920371871
삼성1동,4,2020,4,1100345.3900000001,149751.90000000002,0.13609535820384544
삼성1동,5,2021,1,1150999.67,162639.8,0.14130308134666972
삼성1동,6,2021,2,1423843.93,199411.16,0.14005127654686145
삼성1동,7,2021,3,1122331.87,157434.38,0.140274355748269
삼성1동,8,2021,4,1658918.38,242138.59,0.1459617259771394
삼성1동,9,2022,1,1404263.1099999999,192616.7,0.13716567687945605
삼성1동,10,2022,2,1866548.65,231664.53,0.1241138450905097
삼성1동,11,2022,3,2102398.51,279742.26,0.13305862740551508
삼성1동,12,2022,4,2094575.24,275110.93,0.1313444963667192
삼성1동,13,2023,1,1819325.72,219161.44,0.12046300318339918
삼성1동,14,2023,2,2037019.37,259371.88,0.127329118132048
삼성1동,15,2023,3,2129568.05,254464.11,0.11949095028919128
삼성1동,16,2023,4,2103776.37,259684.33,0.12343723111596694
삼성1동,17,2024,1,1899803.64,209416.6,0.11023065520602962
삼성1동,18,2024,2,1964089.09,218675.26,0.11133673167544554
삼성1동,19,2024,3,2025980.0,221636.89,0.10939737312313054
삼성1동,20,2024,4,1948497.8399999999,209703.99,0.10762341414758766
역삼1동,1,2020,1,2723248.69,788402.19,0.28950796631063463
역삼1동,2,2020,2,2538504.98,713180.29,0.2809450033066313
역삼1동,3,2020,3,2471606.9,695365.03,0.2813412723520071
역삼1동,4,2020,4,2289166.6,592222.4,0.2587065528563976
역삼1동,5,2021,1,2189982.92,558618.76,0.25507904874436194
역삼1동,6,2021,2,2723478.42,711095.28,0.2610981878093971
역삼1동,7,2021,3,2148243.73,543326.59,0.2529166418188498
역삼1동,8,2021,4,2915588.41,753501.8,0.2584390160886941
역삼1동,9,2022,1,2515188.4400000004,611974.56,0.24331161445700664
역삼1동,10,2022,2,3299328.6999999997,817285.9199999999,0.2477127907868046
역삼1동,11,2022,3,3209309.83,796994.04,0.2483381419113405
역삼1동,12,2022,4,3461862.31,812606.69,0.23473108322439315
역삼1동,13,2023,1,3176102.13,765618.8,0.24105610231116847
역삼1동,14,2023,2,3326906.19,773350.38,0.23245331723645626
역삼1동,15,2023,3,3316384.08,743133.1399999999,0.22407933522585233
역삼1동,16,2023,4,3439361.52,736201.79,0.21405187727982722
역삼1동,17,2024,1,3222949.57,704472.68,0.21858011262645977
역삼1동,18,2024,2,3270857.85,672324.39,0.20554986515234833
역삼1동,19,2024,3,3187892.1500000004,665609.01,0.20879282569204857
역삼1동,20,2024,4,3424242.07,673183.03,0.1965932945856249
