행정동,연도,총매출,20대매출_전체,트렌드시간_매출,트렌드시간_매출비중,20대_전체비중,금요일매출,토요일매출,일요일매출,야간비중
상계2동,2022,366316839727,73708296139,135014046799.00905,0.36857177218396275,0.20121459934501396,59388570230,66090706030,41326238379,0.464687098597104
상계2동,2023,364193177082,63135634940,132999865462.64601,0.3651904369221623,0.17335754460272243,60697763597,65195447950,40062800544,0.45704512530041796
상계2동,2024,354486979157,55264680965,125869275430.08505,0.3550744676981164,0.155900453936063,59444459707,63819676481,35849487291,0.4407494287478535
성수1가2동,2020,176890274063,22682309686,46394819038.25748,0.2622802145794281,0.12822813354860668,27327189635,24682847958,12441387447,0.33924394557514015
성수1가2동,2021,228230740979,32158803928,64937853833.069016,0.28452720065017045,0.14090478692771277,35326267313,33722780214,19777294870,0.3237754684843234
성수1가2동,2022,236268762839,37064058943,71379372150.2529,0.30211091509753557,0.15687244685941182,38594320180,34808231917,22589742895,0.3622656720741572
성수1가2동,2023,253345437732,33481706969,70929012300.01859,0.2799695661977952,0.1321583181790644,40788906833,33502056931,22996315582,0.3537883436322831
성수1가2동,2024,252279842873,32392179877,69425304000.34589,0.2751916411938437,0.12839781216015153,44950584177,31622666739,22358628849,0.34357747947240613
성수2가1동,2020,215956570856,32038851282,53474488540.599495,0.24761686263418362,0.14835784414896794,35277306548,26756627092,15231118666,0.3256128062659795
성수2가1동,2021,221235093592,31858367086,53736114091.07231,0.24289145640777962,0.14400232155190057,37451259923,26860947448,14785727473,0.32280460510349357
성수2가1동,2022,332284983669,72360663995,104692266932.1383,0.3150677041621168,0.21776687949004894,54554946314,49917899186,34176861058,0.3775552553857528
성수2가1동,2023,333161511367,79771594724,115925294363.75264,0.3479552421529661,0.2394382064023181,54607081555,56172910632,39717792234,0.3668863254956024
성수2가1동,2024,321803506257,60398864245,108355625322.61403,0.3367136256000848,0.187688645619554,47173052565,52918606972,39034028483,0.34771949186481543
성수2가3동,2020,358221712167,61215645624,81399222312.22762,0.2272314031994799,0.17088759152449634,60741490041,37971311919,24454608488,0.31236148294058635
성수2가3동,2021,404611288010,63914005613,91593055691.6029,0.22637296191632492,0.1579639706231339,77848175078,42057530193,24381324660,0.32311869627514894
성수2가3동,2022,480268056253,82440158275,114936641252.63202,0.23931768885350277,0.17165446921077637,87886618742,54116657458,32427707656,0.3230557341383265
성수2가3동,2023,471906119718,81934963442,122562216908.73013,0.2597173712898032,0.17362555817449965,85498615479,59134222906,35419110133,0.32759458983999123
성수2가3동,2024,482163508799,85023258780,128032774702.66518,0.26553808483262537,0.17633698367547707,80683447401,64338247369,37075843719,0.32991505038659596
신촌동,2020,392770646451,160490486565,122247446801.33734,0.3112438465194427,0.40861120354884245,61052810314,55249591445,39196465930,0.45536625232077504
신촌동,2021,424008384312,140832717982,130760316401.13773,0.30839087442412405,0.3321460687870984,70494882430,63232424155,38573579420,0.4107292874044973
신촌동,2022,500983476024,166082002711,156790845320.48865,0.3129661013270175,0.33151193733791673,81071132587,74932593828,47781985923,0.4203255151631232
신촌동,2023,537128686048,172053073889,167772527990.139,0.31235071287022304,0.3203200245269057,83792172700,80266891848,51950634792,0.4243236594119132
신촌동,2024,515701376300,151562804658,154932909345.46088,0.3004314443701066,0.2938964517516259,80825273566,75810428637,45879588683,0.41129328190043846
역삼1동,2020,1699678788347,393531242643,392295386043.0589,0.23080560205412728,0.23153271391103467,292852875887,202872726028,87079644137,0.3494690484704303
역삼1동,2021,1954601325569,403476415450,461166844679.97766,0.23593908315074344,0.20642389328808258,359241937675,238778848257,98271013381,0.34549692011255145
역삼1동,2022,2113047499121,421695152304,515143747363.3585,0.24379184451729152,0.19956728491878184,385784533635,263375226899,111704934915,0.363061692052891
역삼1동,2023,2164973320356,403445731704,522127889502.35144,0.2411705883823523,0.18635136419956386,391325935221,261293583993,117126699060,0.36723251263219503
역삼1동,2024,2098356410393,360487026065,511646855041.6637,0.24383219767028882,0.17179494592984068,380013589887,259887171209,111488071411,0.36912262128145085
청운효자동,2020,69549223298,14269033198,18107413549.35479,0.26035392906933436,0.2051645226411943,11304836679,9135255225,5528083617,0.304654972482048
