행정동,매출활성도점수,20대매출,20대비중,YoY성장률,이동성장세점수,장기증가율,최근급등,사분면
원효로2동,-0.5026341432319542,4400387539,0.020256404145254953,-0.010285668825840845,-0.07539590296181647,0.10952392739767851,-0.045716848820375564,3사분면_하락
월계2동,-0.2490159302348772,1394793782,0.06744864365953568,-0.014447893686496939,0.03998371583915857,0.05722367625118963,0.0,2사분면_유망
월곡1동,-0.3786185257887777,3580955496,0.04782302806779502,-0.21542577714778915,-0.5035554913066126,0.021435912226065217,-0.058282753865788545,3사분면_하락
을지로동,0.25072422795547283,65841969927,0.0708909363748531,-0.09904714466300926,-0.2547007767197674,-0.09120167997961054,-0.016688056944226225,4사분면_정체
이촌2동,-0.42593794992519757,1231052763,0.04941146943633349,-0.466097610008197,1.7384853633316875,0.2355743375834601,0.021562588799626723,2사분면_유망
이태원2동,0.3389440519708536,10543847738,0.15649002114028948,-0.047128876265511446,-0.0457586646775355,-0.05574198353200096,0.0003089152034422074,4사분면_정체
잠실2동,-0.1514882529453734,16171064132,0.06169788595124677,0.10459809137204229,0.49285222726170436,-0.15431032631062017,0.05798433557494152,2사분면_유망
잠실7동,-0.3992303603755479,756374801,0.039771207990791264,0.09736081343445702,-1.4587675050482212,-0.20779054069698483,-0.11299248284832766,3사분면_하락
잠원동,0.02103989535353479,27211588034,0.08420031810538636,-0.1807800376458207,-0.3421895438649494,-0.10701241283942879,-0.02934633990784087,4사분면_정체
정릉2동,-0.305227542258691,3721879728,0.06320821234506448,-0.3324806845430414,-0.3371437514837292,-0.058372300830598745,-0.010507167172531855,3사분면_하락
정릉3동,0.17732464904764286,6258854644,0.13324544148061276,0.0026449564814397196,-0.07774158828467344,-0.06305194353578121,0.004272591078353483,4사분면_정체
정릉4동,-0.1920133934744576,6426513642,0.07177904048558344,-0.05911668348794293,-0.43974168293341914,-0.0029926738336671097,-0.041431608878734226,3사분면_하락
제기동,-0.15827341538764897,53515182134,0.01717774451625355,-0.09413983478388081,-0.22125476221990373,-0.03413823160488302,-0.023469919450620935,3사분면_하락
중곡1동,-0.10320524029807138,16043261253,0.07214970182785044,0.025945174269636172,0.0881657859557911,-0.06327843448468294,0.04348153448686268,2사분면_유망
창신1동,-0.17105707501437584,16692977568,0.05783627769995122,0.09894401393632836,0.0005890617305530921,-0.042265602648306706,-0.008968177342009085,2사분면_유망
청량리동,-0.17523883853043465,14022165455,0.06445269397134788,-0.04771904413759827,-0.16732572538948898,-0.015743320502437964,0.0,3사분면_하락
필동,0.5296345381582787,24982276969,0.16967143619443087,-0.028330456010384537,-0.41162475876920657,-0.043148887153847536,-0.029736291683558506,4사분면_정체
한강로동,0.8529180872899526,151020987024,0.06216656785686103,-0.0834054413085461,-0.21418369985402683,-0.07210844799244272,0.005732635782284637,4사분면_정체
황학동,-0.19386695995748335,14403311635,0.06385971019669581,-0.16471411942920097,0.8070227838770104,0.19168431516294185,0.015421436180970978,2사분면_유망
회기동,1.3389799753231666,37730844285,0.2942454235857698,-0.15731235162822174,0.25193316006379457,-0.07266029731298929,-0.004766810385253697,1사분면_핫
휘경2동,-0.0691124401140897,5816497942,0.09772561886941465,-0.22018854576125685,-0.23174339195888913,-0.036836228953750876,-0.003027854744890448,3사분면_하락
흑석동,0.30429232396665495,26718376058,0.1322556469741649,-0.1502048325609052,-0.6094996898666517,-0.16890458834205443,-0.023714774458073632,4사분면_정체
