행정동,YQ,연도,분기,총매출,20대매출,20대비중,QoQ_총매출,QoQ_20대매출
가양1동,1,2020,1,84221817213,18386428317,0.2183095654478704,,
가양1동,2,2020,2,87206835598,18523944325,0.21241390308427643,0.03544234123387269,0.007479212690419734
가양1동,3,2020,3,87153905070,19429077092,0.22292835962307156,-0.0006069538888441306,0.04886285291726056
가양1동,4,2020,4,85822054433,18751439876,0.2184920880755537,-0.015281594507214447,-0.034877478368698256
가양1동,5,2021,1,87746144069,13378821040,0.1524718969927549,0.022419524313556316,-0.2865176685912224
가양1동,6,2021,2,98807021891,14017564570,0.14186810108965356,0.1260554288665059,0.04774288616988631
가양1동,7,2021,3,88750731507,15360320433,0.17307260652593598,-0.10177708215002879,0.09579095257914694
가양1동,8,2021,4,103798552998,16362970607,0.15764160611482977,0.16955152070845902,0.06527534229337517
가양1동,9,2022,1,85898804270,11798060377,0.1373483656409924,-0.17244699671627306,-0.2789780865368757
가양1동,10,2022,2,100088197066,13148432421,0.1313684610816766,0.1651873144985747,0.11445712268370101
가양1동,11,2022,3,99022883623,14021209766,0.14159565196446472,-0.010643746957471056,0.06637881361477316
가양1동,12,2022,4,108799639767,14728785713,0.13537531690860788,0.09873229082301904,0.050464685915747376
가양1동,13,2023,1,106565397131,12917570385,0.12121730629991022,-0.020535386337535155,-0.1229711235734372
가양1동,14,2023,2,105922013729,12691931239,0.11982335675256449,-0.006037451361524893,-0.01746761498292393
가양1동,15,2023,3,107920537833,14657149202,0.13581427128060633,0.018867882450886997,0.15483994720687133
가양1동,16,2023,4,111450160669,13364499879,0.11991458602461533,0.03270575653970398,-0.08819241076045092
가양1동,17,2024,1,115473301042,14198632294,0.12296030481397312,0.036098111917025166,0.06241403887553587
가양1동,18,2024,2,112996166609,11243096426,0.09949980396153105,-0.021452010210559536,-0.2081563777976656
가양1동,19,2024,3,111286765402,15884375453,0.14273373294318548,-0.015127957507753642,0.4128114579064628
가양1동,20,2024,4,112239250982,11095844585,0.09885886165419493,0.008558839647817562,-0.3014617025496974
구로3동,1,2020,1,105139872211,19817637739,0.18848831867732316,,
구로3동,2,2020,2,104642918137,22048430515,0.21070160224444315,-0.004726599562558831,0.11256602857412834
구로3동,3,2020,3,108390799860,22867611326,0.2109737298325718,0.0358159136779157,0.03715370173140875
구로3동,4,2020,4,130402949061,22689111868,0.1739923217333564,0.20308134296851188,-0.007805776276993526
구로3동,5,2021,1,110767255099,18460930287,0.16666414880914265,-0.15057706979322072,-0.18635289056700777
구로3동,6,2021,2,125355058831,22770326385,0.18164664910490994,0.13169779930866676,0.23343331191898997
구로3동,7,2021,3,126912291951,20924976732,0.16487746309143164,0.012422578989009336,-0.08104186219375531
구로3동,8,2021,4,146131519978,26924697274,0.1842497585603263,0.15143708880791795,0.2867253148637814
구로3동,9,2022,1,105875463936,19203516529,0.18137834598399696,-0.27547825443860796,-0.2867694543201422
구로3동,10,2022,2,135050135689,24738284367,0.18317852285590086,0.2755564950405849,0.2882163706653271
구로3동,11,2022,3,151373282504,25343336656,0.16742278582305506,0.12086731147453067,0.02445813460722923
구로3동,12,2022,4,170123594766,26648479007,0.1566418758294768,0.12386804297187992,0.0514984419263913
구로3동,13,2023,1,146030167535,22388645009,0.15331520456986375,-0.14162307858671697,-0.1598528004874511
구로3동,14,2023,2,143732115521,22428324636,0.15604254174303242,-0.015736830634322296,0.0017723103378541882
구로3동,15,2023,3,150920050246,25846732758,0.17126109298181236,0.050009246012592046,0.15241477807544612
구로3동,16,2023,4,173350995752,24200917654,0.13960645307525318,0.14862800184228342,-0.06367594385756914
구로3동,17,2024,1,157556211522,18917332972,0.12006719880643056,-0.09111447073887247,-0.21832166686979793
구로3동,18,2024,2,147123384621,20168702617,0.13708699449075326,-0.06621653821336793,0.06614936930338877
