지역_대분류,상권명,연도,임대료,공실률,투자수익률,소득수익률,자본수익률
강남지역,논현역,2024,53.7,14.2,6.34,1.87,4.4
강남지역,논현역,2025,54.3,13.7,6.97,1.6,5.31
영등포신촌지역,당산역,2020,29.4,5.7,6.39,3.32,2.99
영등포신촌지역,당산역,2021,29.8,11.9,7.84,2.62,5.12
영등포신촌지역,당산역,2022,29.5,11.7,5.72,3.0,2.66
영등포신촌지역,당산역,2023,29.7,4.7,3.74,3.12,0.6
영등포신촌지역,당산역,2024,32.0,4.7,6.79,3.31,3.4
영등포신촌지역,당산역,2025,32.5,7.3,6.4,3.01,3.31
강남지역,도산대로,2020,45.0,14.1,4.42,2.14,2.24
강남지역,도산대로,2021,45.9,8.3,8.75,1.98,6.66
강남지역,도산대로,2022,46.3,5.0,5.52,2.1,3.36
강남지역,도산대로,2023,46.2,3.3,4.69,2.17,2.48
강남지역,도산대로,2024,55.7,8.0,7.48,1.87,5.53
강남지역,도산대로,2025,56.1,7.2,7.52,1.27,6.19
기타지역,독산/시흥,2021,28.8,16.9,6.87,2.4,4.39
기타지역,독산/시흥,2022,33.2,15.5,4.22,2.76,1.43
기타지역,독산/시흥,2023,33.2,23.5,2.9,2.45,0.44
기타지역,독산/시흥,2024,29.8,11.8,3.57,2.58,0.96
기타지역,독산/시흥,2025,30.1,14.1,3.54,2.66,0.87
영등포신촌지역,동교/연남,2021,42.0,2.9,8.03,2.59,5.34
영등포신촌지역,동교/연남,2022,43.7,0.9,7.09,2.66,4.34
영등포신촌지역,동교/연남,2023,43.8,5.2,3.49,2.68,0.8
영등포신촌지역,동교/연남,2024,46.5,2.6,5.3,2.43,2.82
영등포신촌지역,동교/연남,2025,47.0,4.0,6.06,2.03,3.97
도심지역,동대문,2020,41.9,13.4,4.21,2.7,1.48
도심지역,동대문,2021,44.2,11.5,6.71,2.51,4.12
도심지역,동대문,2022,44.6,11.8,4.76,2.89,1.82
도심지역,동대문,2023,45.6,12.1,3.28,2.96,0.31
도심지역,동대문,2024,49.8,14.9,5.31,2.89,2.38
도심지역,동대문,2025,49.6,15.8,5.33,2.7,2.58
기타지역,뚝섬,2020,36.2,1.7,6.67,2.43,4.16
기타지역,뚝섬,2021,37.5,1.5,11.53,2.17,9.22
기타지역,뚝섬,2022,43.8,2.6,8.69,1.62,6.99
기타지역,뚝섬,2023,46.7,2.8,3.99,1.72,2.24
기타지역,뚝섬,2024,54.7,3.0,7.63,1.97,5.58
기타지역,뚝섬,2025,60.2,3.6,13.18,1.62,11.41
영등포신촌지역,망원역,2020,32.6,1.8,5.4,2.7,2.65
영등포신촌지역,망원역,2021,32.6,1.0,7.06,2.68,4.29
영등포신촌지역,망원역,2022,32.4,1.7,6.12,2.65,3.39
영등포신촌지역,망원역,2023,32.5,2.1,3.42,2.71,0.69
영등포신촌지역,망원역,2024,34.8,5.6,4.73,2.22,2.48
영등포신촌지역,망원역,2025,35.0,1.3,5.37,1.74,3.58
도심지역,명동,2020,271.7,22.3,4.11,3.01,1.08
도심지역,명동,2021,190.8,50.1,0.65,1.19,-0.53
도심지역,명동,2022,182.0,43.5,1.7,1.07,0.63
도심지역,명동,2023,194.0,27.7,2.56,1.52,1.03
도심지역,명동,2024,200.5,12.2,4.98,2.11,2.82
도심지역,명동,2025,210.3,7.4,7.51,2.33,5.09
기타지역,목동,2020,33.6,5.0,6.64,2.99,3.56
기타지역,목동,2021,32.8,8.8,8.21,3.3,4.8
기타지역,목동,2022,33.6,8.3,5.58,3.15,2.38
기타지역,목동,2023,33.8,14.2,3.71,2.98,0.72
기타지역,목동,2024,36.4,9.1,5.48,3.06,2.36
기타지역,목동,2025,36.4,11.1,6.02,3.03,2.92
기타지역,미아사거리,2021,41.0,8.8,8.27,3.2,4.96
기타지역,미아사거리,2022,38.6,12.7,4.86,2.8,2.02
기타지역,미아사거리,2023,38.8,7.2,2.9,2.87,0.03
기타지역,미아사거리,2024,39.2,8.7,4.9,2.98,1.88
기타지역,미아사거리,2025,38.9,6.6,4.44,2.86,1.55
강남지역,방배역/내방역,2022,39.8,7.4,6.1,2.34,3.69
강남지역,방배역/내방역,2023,40.6,8.6,3.46,2.34,1.1
강남지역,방배역/내방역,2024,43.1,7.6,5.33,2.28,3.0
강남지역,방배역/내방역,2025,43.5,8.8,5.96,2.2,3.7
도심지역,방산시장,2024,53.3,14.1,,,
도심지역,방산시장,2025,50.8,19.8,4.55,2.63,1.89
도심지역,북촌,2024,61.6,6.2,,,
도심지역,북촌,2025,61.7,1.9,5.52,2.69,2.77
기타지역,불광역,2020,40.1,12.3,6.42,3.7,2.64
기타지역,불광역,2021,35.6,12.4,6.26,3.22,2.97
기타지역,불광역,2022,38.5,14.9,4.56,3.12,1.41
기타지역,불광역,2023,44.5,8.1,4.02,3.32,0.68
기타지역,불광역,2024,47.9,10.8,5.78,3.05,2.67
기타지역,불광역,2025,47.8,14.9,4.45,2.55,1.87
기타지역,사당,2020,55.5,5.4,5.2,3.11,2.04
기타지역,사당,2021,60.1,10.8,6.82,2.93,3.8
기타지역,사당,2022,59.9,10.1,6.02,2.77,3.19
