행정동,주말집중도,2030주말집중도,주말_총인구,평일_총인구,업종점수,2030비중,구역유형
가락1동,0.9921314334363062,1.0263435351263654,716752.9517307692,722437.499281978,0.0382000320125877,0.1396336594858623,주거형
가락2동,1.0048798972093134,1.0143277072880912,614430.0314961539,611446.236711978,0.2898913587838491,0.1975329800345728,주거형
가락본동,0.9353391917831616,0.9264362050640375,887327.4870115385,948669.2045052747,0.5292603131555075,0.2427373083258884,혼합형
가리봉동,0.940658526515163,0.937225084081111,242814.96335384616,258132.9531486813,0.2452795886620165,0.2112112352931242,혼합형
가산동,0.5729822416257867,0.5620266000619264,967968.6360615385,1689351.8956451647,0.7894507056456838,0.2921142223944198,오피스형
가양1동,0.781732116592227,0.7613682828488658,910226.6849115385,1164371.6122083517,0.5462368459966332,0.3619516458428414,오피스형
가양2동,0.9933592775588114,1.0235481455361823,382078.04914615385,384632.28539538465,0.1788129039880867,0.2898966219812542,주거형
가양3동,0.9049505169659585,0.8512462493148532,270783.32399615383,299224.4536242857,0.2115368169994286,0.2930484197709821,혼합형
가회동,0.7601050763070757,0.867176638107477,121360.80644230769,159663.19687263737,0.9253144194605112,0.4226457997027877,오피스형
갈현1동,1.0396749765251772,1.1184708340996712,438005.0213807692,421290.33714428573,0.4550111028746162,0.3386039401381421,주거형
갈현2동,1.0367363010272106,1.120270911396461,500545.73765384615,482809.1166074725,0.3708261802049293,0.2184603049433717,주거형
강일동,1.008099641651068,1.0076200030045988,1230074.4341000002,1220191.321648901,0.4290101760094317,0.2207330790896554,주거형
개봉1동,1.066774245468364,1.103758303267981,736193.2825576924,690111.6011049451,0.2886689715181515,0.1854873825621716,주거형
개봉2동,1.0922343733432411,1.1158207720556086,598734.9983884615,548174.4696935165,0.349640024382864,0.2308009129058039,주거형
개봉3동,1.0604510892464085,1.109120145287484,422630.8866115385,398538.78306813183,0.281589256733801,0.1635292145188777,주거형
개포1동,1.0506442790769808,1.0858513469710733,592830.1774076924,564253.9432361538,0.5417773338880335,0.190521849024913,주거형
개포2동,1.0433929597473233,1.1015689184658142,816724.7110692308,782758.5028626374,0.3940485902792712,0.1751057074605132,주거형
개포4동,0.9572233368082795,0.9154096023155773,370424.12763846153,386977.7442676923,0.3416830229638782,0.1820487283340642,주거형
거여1동,1.0351955840806635,1.0633779432071742,278481.11535769235,269013.04414373625,0.3559992577409427,0.2233801213725403,주거형
거여2동,1.0424614853374257,1.0507039246254675,448809.64186538465,430528.7515923077,0.3585522143746756,0.2010110141576085,주거형
고덕1동,1.0083506801522693,1.0425894066483967,597585.5185807692,592636.5998885714,0.4127039512573981,0.1740776890260398,주거형
고덕2동,0.9746900005003877,0.957790978095255,499603.73923846154,512577.064484066,0.3495045707791647,0.2150049827240867,주거형
고척1동,1.0270030317399579,1.0266661676537707,591037.9041153847,575497.7208918681,0.2617082494089815,0.1881343482033783,주거형
고척2동,1.051239666777423,1.097716744403563,385295.11054230767,366515.00387483515,0.2592399210435486,0.1551091053795361,주거형
공덕동,0.96065455588982,0.9698895230193436,825276.1449730769,859076.9074203297,0.5011280910738455,0.2457529707154686,주거형
공릉1동,1.048015425691721,1.0715291696186364,971859.9125076922,927333.595177033,0.4862591673179823,0.2343896892894984,주거형
공릉2동,0.9617854645440211,0.8921619469626865,1032398.0630192307,1073418.2425065935,0.4785991585310041,0.285143375853227,주거형
공항동,0.9374196019364434,0.9318244954240402,835163.9879153846,890917.9903963736,0.4059477254774444,0.2241839116116547,혼합형
광장동,1.0151212842843758,1.0576699789350943,835324.7374,822881.7091436263,0.4532725116049387,0.1922401778394602,주거형
광희동,0.722004371830322,0.8034354726622902,455669.37342307693,631117.1943016484,0.3278298099040466,0.2707403825446098,오피스형
교남동,0.9456909383877012,0.9461302131170689,192379.04201923078,203426.96985890108,0.4241206655199808,0.1908830734883279,혼합형
구로1동,0.996307168487558,1.0515074903033539,375754.13872692303,377146.8786050549,0.1710986616128899,0.1494689229475785,주거형
구로2동,0.9337694355200955,0.9055576382817296,783933.7905730769,839536.7857981318,0.1109609452463454,0.0938658114903156,혼합형
구로3동,0.6401576705603608,0.5830828542352812,670548.0866269231,1047473.3295626374,0.5212522991204441,0.3763601358143476,오피스형
구로4동,1.030306027530539,0.9958557749983632,432996.0181730769,420259.6186017582,0.3330161862184182,0.1710434122067988,주거형
구로5동,1.00383491994587,1.0538768283789186,796833.7930999999,793789.6732492307,0.4259386913153833,0.3073336292478756,주거형
구산동,1.025689965570946,1.0695540882387016,624105.3753192308,608473.7067421979,0.3598038154165637,0.2100617762120074,주거형
구의1동,1.0020263640844889,1.0554408903871912,528950.9735961538,527881.2939013187,0.4561562398495818,0.2851458538759864,주거형
구의2동,1.0576333444260646,1.092250698082187,477445.4387192308,451428.1260471429,0.4334306364390998,0.2171167499664022,주거형
구의3동,0.9960660129610989,0.9926380076771798,678908.6025230768,681589.9686254945,0.2183185245312263,0.2100296939477097,주거형
군자동,0.9434298586554598,0.9226715337894111,519161.74861923076,550291.8355362637,0.5073047536263259,0.3508528956308865,혼합형
금호1가동,1.0995715507985149,1.1071101074774958,347144.56003461545,315708.93206769234,0.620634479786795,0.1872257014405234,주거형
금호2·3가동,1.0655094683646553,1.094098651326512,500794.5216423077,470004.7597051648,0.5109658134136709,0.1775210819737308,주거형
금호4가동,1.0484280897399674,1.0900791058297807,298141.8423538462,284370.33047043957,0.2939393985070471,0.2217021483851046,주거형
길동,1.0275568034811884,1.0673038001102282,1394425.503976923,1357030.0924025276,0.4298466864644891,0.2283437201462581,주거형
길음1동,1.0349598962792164,1.0117261975362344,859872.5415615385,830826.9186592308,0.2396917684555372,0.1545965119060139,주거형
길음2동,1.106641108672727,1.105605526216667,485002.6185115385,438265.4997275824,0.3086472552827844,0.1907679690366371,상권형
낙성대동,1.0438643797918818,1.0640568774366057,573755.2731730769,549645.4178151649,0.6500782964936651,0.5127531739204086,주거형
난곡동,1.0665398484241355,1.119992003769525,414233.07347692305,388389.68285054946,0.2720204743553677,0.2125377458017726,주거형
난향동,1.0817368507514384,1.0843176618285455,249120.79412307692,230297.03938626373,0.2341516019150382,0.1299094060869029,주거형
남가좌1동,1.0624624434231518,1.0523557945782978,210552.28090769233,198173.85754296702,0.2149810617540175,0.1187527780657987,주거형
남가좌2동,1.0127768848587302,0.9882556635565051,484024.48895,477918.1833494506,0.4175015822978419,0.2597306494849679,주거형
남영동,0.7738694657040047,0.8112107975884127,319905.8291038461,413384.7415892308,0.7389211559459136,0.3832124801821016,오피스형
남현동,1.0292092845888978,1.0502963338012234,574630.5178192308,558322.3222172528,0.5750544724717711,0.4204836244098603,주거형
내곡동,0.9054648630948243,0.8042689493248011,563110.7125307692,621902.3349024176,0.7317756376979709,0.1764546089162127,혼합형
노량진1동,1.0249575783982223,1.0018935192152687,857238.3521115384,836364.7141876923,0.0717331366351573,0.2444476048377279,주거형
노량진2동,0.9636427317656794,0.982246716577742,371745.9137269231,385771.5120683516,0.0287186751555569,0.2467033767001041,주거형
녹번동,1.0298541503687093,1.0482569439745346,753096.1000615385,731264.810450989,0.3772513111438298,0.1432051251024317,주거형
논현1동,0.7722502144248908,0.7402604544194009,813572.5405576923,1053508.9862857144,0.3286823977834051,0.3755198083185737,오피스형
논현2동,0.7095271272284925,0.5951576883857279,870322.3760653846,1226623.1165325274,0.5798658755169553,0.319290965538128,오피스형
능동,0.9839884489172014,0.9878289467808201,360187.38237307686,366048.38478483516,0.5849527890011136,0.3772584643411919,주거형
다산동,0.9148918878674209,0.9294202705389335,336828.03896153846,368161.5756225275,0.4994273331325396,0.2891837952848431,혼합형
답십리1동,1.0146374022656348,1.0402306029498232,552661.7683346154,544688.9372504395,0.425888202836265,0.173044199006695,주거형
답십리2동,1.0400547629341619,1.0579844813442152,483697.11468846153,465068.8905302199,0.4360290492803998,0.2097954249240213,주거형
당산1동,0.9075838800433836,0.9344029740001539,540015.3783961538,595003.2721717582,0.228896441668611,0.2303434263924985,혼합형
당산2동,0.9443936057376888,0.9835519422178557,907844.7390653845,961299.1167557143,0.5461334938122417,0.3638519320706859,혼합형
대림1동,1.0712945038784938,1.0996594686339418,382389.8549576923,356941.8619934066,0.3165294538133461,0.1926483756118642,주거형
대림2동,1.0757163306541364,1.045751062520346,434517.4858884616,403933.14994505496,0.4626282156166647,0.1764649274631321,주거형
대림3동,1.0319901818079649,1.037354817564013,557461.7332076924,540181.2372197802,0.1754870006724825,0.1373880007393879,주거형
