행정동코드,연도,분기,연도분기,총_유동인구,남성_유동인구,여성_유동인구,10대미만,10대,20대,30대,40대,50대,60대,70이상,2030_유동인구,2030_유동인구_비중
11110530,2021,1,2021Q1,49828634.6631,24273157.0986,25555477.583499998,1803252.3701999998,2357123.8681,7067716.4168,10727425.3647,10427766.764800001,7827027.2929,4695810.1296,4922512.475,17795141.7815,0.357127
11110530,2021,2,2021Q2,52974793.797299996,25312002.7784,27662790.9797,1812331.799,2520783.754,7776266.376,11469301.987599999,11249151.4839,8294820.0308,4842195.2162999995,5009943.1104999995,19245568.3636,0.363297
11110530,2021,3,2021Q3,48380133.2895,23215179.3407,25164953.948799998,1638712.8163,2262011.5766000003,7210829.517100001,10470266.2947,10239082.4716,7595575.7893,4500379.627,4463275.1969,17681095.811800003,0.365462
11110530,2021,4,2021Q4,49973707.5671,23693839.9707,26279867.607,1558648.7466,2287724.4294,7671529.7517,10973932.5073,10438114.5323,7894473.4399999995,4717847.6381,4431436.5323,18645462.259,0.373105
11110530,2022,1,2022Q1,45524939.8183,21588811.6567,23936128.1732,1533072.415,2213669.171,6939308.6536,9671543.9354,9420756.9507,7249441.8038,4304187.1534,4192959.747,16610852.589,0.364874
11110530,2022,2,2022Q2,54695400.847100005,25711873.32,28983527.497199997,1901044.493,2717233.7671,8531674.0313,11713003.9686,11405969.734000001,8549504.2728,5041585.5616999995,4835384.9887,20244677.9999,0.370135
11110530,2022,3,2022Q3,55300149.3472,25809739.563100003,29490409.792099997,2150841.6484000003,2812314.2103,8710539.1452,11711334.6359,11531357.110199999,8677881.6912,5033859.2605,4672021.6535,20421873.781099997,0.369291
11110530,2022,4,2022Q4,56298192.9866,26380034.0094,29918158.919299997,2258438.7324,3032564.3825,8711373.339499999,11684150.6018,11686597.6019,9003602.0575,5204321.7238,4717144.4893,20395523.941299997,0.362277
11110530,2023,1,2023Q1,53286948.819199994,25224147.8873,28062800.9308,2005590.9154,2621019.0076,8052075.9703,11359522.446800001,11345905.0243,8728891.9943,4803823.3278,4370120.1316,19411598.4171,0.364284
11110530,2023,2,2023Q2,54826323.6108,25643137.3546,29183186.227700002,2139097.0997,2814224.9453,8288134.325,11691972.0775,11512519.1866,8874112.4452,4942405.9478,4563857.5552,19980106.4025,0.364425
