행정동_코드,행정동,연도,상권티어,2030비중,2030소비_변화,20대_이동비율,20대_이동비율_변화,트렌드_유동인구,트렌드_유동인구_변화율,복합점수_분위,분위변화_현재,업종점수,금요효과,주말비중,야간비중,트렌드매출_비중,상권티어_코드,갭_2030소비,갭_20대이동,갭_평균,분위변화_next,타겟,타겟_레이블
11110515,청운효자동,2020,② 라이징스타,0.3551642067972645,,13.234533812992739,,1084027.53,,0.5260663507109005,,0.4880177920833234,1.0581791820443125,0.2108339697651471,0.304654972482048,0.2603539290693343,5,0.2725118483412322,0.29383886255924174,0.283175355450237,24.93473608730239,2.0,상승
11110515,청운효자동,2021,② 라이징스타,0.3955742639809528,4.041005718368829,15.513336855365742,2.278803042373003,1477631.68,36.30942380217963,0.7754137115839244,24.93473608730239,0.5542939154842478,1.11017947513512,0.2500588737454366,0.3275145381375501,0.3056934080988159,5,0.11820330969267134,0.09662420310801878,0.10741375640034506,-5.6737588652482245,0.0,하락
11110515,청운효자동,2022,② 라이징스타,0.3802014359739891,-1.5372828006963712,11.091016295937031,-4.4223205594287105,3137420.69,112.32765461552638,0.7186761229314421,-5.6737588652482245,0.5916094932968923,1.0539136764464856,0.256322459892203,0.324459405454176,0.3082125092347684,5,0.1607565011820331,0.037248047684671604,0.09900227443335236,11.347517730496449,2.0,상승
11110515,청운효자동,2023,② 라이징스타,0.3685983298294789,-1.1603106144510211,11.798203437972674,0.707187142035643,2836584.5,-9.58864684480677,0.8321513002364066,11.347517730496449,0.566110950359868,1.2707688132879418,0.2531299434833481,0.3140253955190095,0.3061452029317357,5,0.05673758865248224,-0.0430517741700559,0.00684290724121317,-0.47281323877068626,1.0,유지
11110530,사직동,2020,⑤ 성숙·정체,0.3469651188923995,,13.296223428727702,,2265123.94,,0.8815165876777251,,0.7536062499563352,1.008406749189903,0.1701446914369766,0.4171425146026147,0.2403535179088823,2,-0.09241706161137442,-0.056872037914691975,-0.0746445497630332,0.7372301211163723,1.0,유지
11110530,사직동,2021,⑤ 성숙·정체,0.3555372303312998,0.8572111438900298,15.210701445213006,1.9144780164853046,2487967.51,9.838029878400366,0.8888888888888888,0.7372301211163723,0.7319092591877716,1.0681386701233369,0.1827152225635386,0.4012372530210334,0.2541059961140628,2,-0.047281323877068515,-0.02395997893628221,-0.03562065140667536,1.8912529550827561,1.0,유지
11110530,사직동,2022,⑤ 성숙·정체,0.3519355741791722,-0.3601656152127597,13.15909039254097,-2.051611052672037,4423140.07,77.78126330918207,0.9078014184397164,1.8912529550827561,0.7845233623375039,1.0260836889435954,0.2095838965884444,0.4245163926601956,0.2823616213647953,2,-0.07565011820330969,-0.08789620516957408,-0.08177316168644189,0.23640661938532093,1.0,유지
11110530,사직동,2023,⑤ 성숙·정체,0.3250667419014332,-2.686883227773901,12.245960231046729,-0.9131301614942409,4968442.56,12.328402025938988,0.9101654846335696,0.23640661938532093,0.7926809783907037,1.0533289861376147,0.1992930334929596,0.4170664625085346,0.2715960543152287,2,-0.09456264775413714,-0.10447828084210053,-0.09952046429811884,-2.127659574468077,1.0,유지
11110540,삼청동,2020,⑤ 성숙·정체,0.5092255495010019,,16.496436484182762,,758039.29,,0.9881516587677726,,0.7811320964704828,1.179253467347263,0.3558675332761104,0.3722844223195917,0.4143346522758154,2,-0.026066350710900466,-0.10663507109004744,-0.06635071090047395,0.7120208844520692,1.0,유지
11110540,삼청동,2021,⑤ 성숙·정체,0.5596810157456491,5.045546624464725,16.29960475565379,-0.19683172852897357,915605.76,20.786055825681537,0.9952718676122932,0.7120208844520692,0.91363501298105,1.1382437298175323,0.4192447610203821,0.3364837592263768,0.4663282369267818,2,-0.011820330969267157,-0.11375527993456802,-0.06278780545191759,-0.23640661938536534,1.0,유지
11110540,삼청동,2022,⑤ 성숙·정체,0.4759735652243363,-8.370745052131278,13.95846921436805,-2.3411355412857393,1535105.08,67.66005054402456,0.9929078014184396,-0.23640661938536534,0.9219429545019538,1.1412092384035184,0.4087765412504956,0.3155955774324055,0.4555232849866401,2,-0.03546099290780136,-0.15167557393028808,-0.09356828341904472,0.23640661938536534,1.0,유지
11110540,삼청동,2023,⑤ 성숙·정체,0.4446402184602782,-3.1333346764058136,14.221477515952285,0.26300830158423594,1459731.38,-4.910002642946121,0.9952718676122932,0.23640661938536534,0.9149741917348336,1.1577282924653398,0.4111764451060434,0.3114363557372888,0.453840910511283,2,-0.044917257683215084,-0.12560362116679546,-0.08526043942500527,-0.7092198581560405,1.0,유지
11110550,부암동,2020,⑤ 성숙·정체,0.3308666627205142,,5.5941995521762315,,931745.99,,0.9786729857819904,,0.8044247496029964,1.0747693811880208,0.3216315623726963,0.4040020464164689,0.3814849809263981,2,-0.2417061611374407,-0.5592417061611374,-0.40047393364928907,-13.706542077017003,0.0,하락
11110550,부암동,2021,⑤ 성숙·정체,0.2780290279441924,-5.2837634776321805,5.061386374524665,-0.5328131776515663,919293.58,-1.336459736199136,0.8416075650118203,-13.706542077017003,0.6071916425511841,1.0862569465478964,0.26941928564574,0.3433016711051664,0.3229201947499668,2,-0.2293144208037825,-0.4719393185663227,-0.35062686968505263,0.7092198581560294,1.0,유지
11110550,부암동,2022,⑤ 성숙·정체,0.2685632766249177,-0.9465751319274684,4.812767887632334,-0.24861848689233135,1052880.82,14.531510162401018,0.8486997635933806,0.7092198581560294,0.6493312410476498,1.0958210937156925,0.2854613418364037,0.3119129123558135,0.3331964043581917,2,-0.24822695035460995,-0.488510190133665,-0.3683685702441375,0.23640661938534313,1.0,유지
11110550,부암동,2023,⑤ 성숙·정체,0.2469638430770434,-2.1599433547874303,4.909708838908568,0.09694095127623381,1044911.25,-0.7569299248893158,0.851063829787234,0.23640661938534313,0.6179601051755693,1.1876478622034838,0.2662723197175016,0.3197942310496468,0.3200517042455203,2,-0.2576832151300237,-0.44111122315216295,-0.34939721914109334,-8.274231678486998,0.0,하락
11110560,평창동,2020,⑤ 성숙·정체,0.1784212470999259,,1.816285134364297,,947423.93,,0.9170616113744076,,0.5707938705146542,1.05664070605104,0.2989827688037754,0.4346675155420073,0.366284818793631,2,-0.8436018957345971,-0.9075829383886256,-0.8755924170616114,0.965233661613607,1.0,유지
11110560,평창동,2021,⑤ 성숙·정체,0.174005741427279,-0.44155056726468966,1.965449798217827,0.14916466385353,949248.87,0.19262126934032064,0.9267139479905436,0.965233661613607,0.5323388850434813,1.2127556229927927,0.29548322355161,0.406877219575098,0.3597029761382659,2,-0.8439716312056738,-0.9172352750047618,-0.8806034531052178,2.8368794326241176,1.0,유지
11110560,평창동,2022,⑤ 성숙·정체,0.1685329257608163,-0.547281566646271,2.2470329185884923,0.28158312037066535,1102610.46,16.156099295646253,0.9550827423167848,2.8368794326241176,0.6730287033015119,1.1323107212487944,0.3303708344668392,0.4160486080722654,0.3948420548809512,2,-0.8486997635933806,-0.9219073868665479,-0.8853035752299643,-5.6737588652482245,0.0,하락
11110560,평창동,2023,⑤ 성숙·정체,0.1555598832369665,-1.2973042523849787,2.5383205354232334,0.29128761683474114,1234376.02,11.950327407559701,0.8983451536643026,-5.6737588652482245,0.6039315188554393,1.1099226448629609,0.3089025328239993,0.4009740033082642,0.3711659520951571,2,-0.7919621749408983,-0.8177764332851556,-0.8048693041130269,-2.36406619385342,1.0,유지
11110570,무악동,2020,⑦ 일반,0.2449050636726613,,2.346407418242712,,328008.68,,0.6327014218009479,,0.552958011984216,1.0033023416097226,0.2212618124306798,0.3314144672903305,0.2741908223168979,0,-0.2796208530805688,-0.6090047393364929,-0.4443127962085308,-55.705130359763835,0.0,하락
11110570,무악동,2021,⑦ 일반,0.1840781454981019,-6.08269181745594,2.5974564882737794,0.25104907003106725,392086.26,19.535330589422205,0.0756501182033096,-55.705130359763835,0.2418590956064608,1.170302437067657,0.1496640738668813,0.2646384881790438,0.1957464078767673,0,0.044917257683215125,-0.021147748535063245,0.01188475457407594,3.309692671394801,1.0,유지
11110570,무악동,2022,⑦ 일반,0.176234739839499,-0.7843405658602892,2.712491777126802,0.11503528885302261,559932.02,42.808375891570385,0.1087470449172576,3.309692671394801,0.2608782684216091,1.254847883863572,0.1522798252185959,0.2695955862600169,0.2032905933712262,0,0.01891252955082741,-0.03291766103100176,-0.007002565740087174,-5.200945626477541,0.0,하락
11110570,무악동,2023,⑦ 일반,0.1629854703360596,-1.324926950343941,2.752148085210038,0.03965630808323617,606921.92,8.392072309063515,0.0567375886524822,-5.200945626477541,0.2822510929988704,1.071195026997401,0.1506398455072311,0.2436128028040994,0.1939694719605509,0,0.07092198581560283,0.05463681893045612,0.06277940237302948,0.4728132387706904,1.0,유지
11110580,교남동,2020,⑦ 일반,0.2269433814237179,,3.828957447395029,,700128.7,,0.1303317535545023,,0.4585052892853498,0.9436040663534678,0.1487851296334733,0.2672757600276631,0.192215614066794,0,0.11611374407582936,0.05687203791469192,0.08649289099526064,-8.777856206514059,0.0,하락
11110580,교남동,2021,⑦ 일반,0.2216170951929775,-0.5326286230740385,4.1881884094626765,0.3592309620676475,718198.11,2.580869774371486,0.0425531914893617,-8.777856206514059,0.3601525218958654,0.93635749565027,0.1187047297929493,0.2329268307141079,0.1586406950985115,0,0.2576832151300236,0.20863164263386103,0.23315742888194232,1.18203309692671,1.0,유지
11110580,교남동,2022,⑦ 일반,0.2119867446471752,-0.9630350545802302,3.924893319253109,-0.26329509020956765,885023.8,23.22836661321763,0.0543735224586288,1.18203309692671,0.4343127947056526,0.9385593381200142,0.1291807072001751,0.2500355274139228,0.1720182866293187,0,0.25059101654846333,0.1968113116645939,0.22370116410652863,1.8912529550827402,1.0,유지
11110580,교남동,2023,⑦ 일반,0.1924373689183235,-1.954937572885171,3.4361711189353676,-0.48872220031774116,941184.21,6.345638388481745,0.0732860520094562,1.8912529550827402,0.4365514687557971,0.9767124075880016,0.1209563038666829,0.2407833938036267,0.1632106836933268,0,0.20803782505910168,0.14709309490997502,0.17756545998453835,-0.7092198581560307,1.0,유지
11110600,가회동,2020,⑤ 성숙·정체,0.4740542867639925,,16.63633936917572,,675172.81,,0.9644549763033176,,0.843861486790337,1.028714430584727,0.2582638721874082,0.3849804012514435,0.3208059122580744,2,-0.026066350710900466,-0.08056872037914697,-0.05331753554502372,1.8996560339708424,1.0,유지
11110600,가회동,2021,⑤ 성숙·정체,0.4790535791035538,0.49992923395612565,20.046159116106814,3.4098197469310954,892928.71,32.251876375175705,0.983451536643026,1.8996560339708424,0.8305105132049309,1.102697648258498,0.2879859024661527,0.3722460372874541,0.3492250263817346,2,-0.030732860520094496,-0.06402025702217295,-0.047376558771133725,0.0,1.0,유지
11110600,가회동,2022,⑤ 성숙·정체,0.4649422997119124,-1.4111279391641363,19.836117089261414,-0.2100420268454002,1504497.32,68.49019447476385,0.983451536643026,0.0,0.8911253669307769,1.092319268269918,0.3173743300531719,0.3859347767151606,0.3782352309420114,2,-0.028368794326241065,-0.06165058877572738,-0.04500969155098422,-1.1820330969267157,1.0,유지
11110600,가회동,2023,⑤ 성숙·정체,0.43369816222271,-3.1244137489202406,19.368323695267588,-0.46779339399382636,1540542.51,2.395829458838783,0.9716312056737588,-1.1820330969267157,0.8944554967928892,1.0729862372204584,0.3062244935058456,0.3805541997207874,0.3658560393268271,2,-0.03546099290780136,-0.04509092131356929,-0.04027595711068532,1.1820330969267157,1.0,유지
11110615,종로1·2·3·4가동,2020,⑦ 일반,0.3023577136237021,,19.111618449378234,,8666731.31,,0.1042654028436018,,0.3199075286580972,1.01763020758964,0.1685531559699476,0.2977345554148386,0.217620512980717,0,0.533175355450237,0.8080568720379148,0.6706161137440758,0.9209774461362688,1.0,유지
11110615,종로1·2·3·4가동,2021,⑦ 일반,0.2970005048608623,-0.5357208762839794,18.764501324803014,-0.34711712457522026,9628103.08,11.092668453800258,0.1134751773049645,0.9209774461362688,0.3126590502217961,1.04193135320246,0.1868972736496256,0.2886500105813819,0.2363203826206397,0,0.5791962174940899,0.7941077610836611,0.6866519892888755,1.8912529550827408,1.0,유지
11110615,종로1·2·3·4가동,2022,⑦ 일반,0.2825672953167401,-1.443320954412225,17.44677160312614,-1.3177297216768729,14144038.6,46.90368894554875,0.1323877068557919,1.8912529550827408,0.3532242228216347,1.0154133316539429,0.1877255205533105,0.3092140822625431,0.2409185303708438,0,0.5295508274231678,0.7680862267934971,0.6488185271083324,13.002364066193858,2.0,상승
11110615,종로1·2·3·4가동,2023,⑦ 일반,0.3022449482527264,1.9677652935986334,16.339029276866054,-1.1077423262600874,15577007.77,10.131258903662776,0.2624113475177305,13.002364066193858,0.3889756794479137,1.1230386434001294,0.1864989823500732,0.3210898013398826,0.2439145337089244,0,0.508274231678487,0.6333232496386676,0.5707987406585773,-2.8368794326241176,1.0,유지
11110630,종로5·6가동,2020,⑦ 일반,0.2059034903640101,,8.665077555857339,,1820821.21,,0.0853080568720379,,0.3257279392474589,0.97626480642745,0.1891437521178121,0.2471463267938615,0.2297536331038188,0,0.06872037914691943,0.5710900473933649,0.31990521327014215,2.1074921851366306,1.0,유지
11110630,종로5·6가동,2021,⑦ 일반,0.1994229938693898,-0.6480496494620291,8.310568332611238,-0.3545092232461009,1912969.41,5.060804404843244,0.1063829787234042,2.1074921851366306,0.3522879264906784,0.981711723223858,0.2075871610961884,0.2418385433897197,0.2465974621899417,0,0.06619385342789598,0.538166784309771,0.3021803188688335,14.657210401891252,2.0,상승
11110630,종로5·6가동,2022,⑦ 일반,0.2203545582979236,2.0931564428533806,9.268042805282125,0.9574744726708868,2588349.72,35.30533768441182,0.2529550827423167,14.657210401891252,0.4083402755184157,1.0640086925187435,0.238936159659527,0.2702447728068493,0.2834972836235493,0,0.09692671394799057,0.45794539119133254,0.27743605256966153,12.765957446808518,2.0,상승
11110630,종로5·6가동,2023,⑦ 일반,0.2179313406949987,-0.24232176029249097,8.794499568952338,-0.4735432363297871,2982500.8,15.227891229474189,0.3806146572104019,12.765957446808518,0.4249584634875022,1.1355184751484615,0.2320432460857828,0.2773312341953572,0.2785568575022278,0,0.04255319148936171,0.3302858167232474,0.18641950410630456,-9.9290780141844,0.0,하락
11110640,이화동,2020,① 레전드,0.5025616522462021,,21.400934757779517,,2605017.1,,0.909952606635071,,0.7363724188727819,1.026129816039575,0.2238841953990831,0.3965455026003523,0.289313949370861,6,0.049763033175355464,0.028436018957346043,0.039099526066350754,1.9125407549326123,1.0,유지
11110640,이화동,2021,① 레전드,0.4620877861038127,-4.04738661423894,21.14271257451398,-0.2582221832655378,2654127.79,1.8852348416446008,0.9290780141843972,1.9125407549326123,0.7231202810090822,1.0537866153665283,0.2351820354353692,0.4061255676538238,0.3015783669554759,6,0.01891252955082745,0.006940943161574342,0.012926736356200896,0.7092198581560405,1.0,유지
11110640,이화동,2022,① 레전드,0.4537026052999084,-0.8385180803904269,20.30545469442649,-0.8372578800874884,3762026.32,41.74247126209396,0.9361702127659576,0.7092198581560405,0.7613346640756318,1.073546737000017,0.2599681015673818,0.4269488845395072,0.3302016337087087,6,0.009456264775413725,-0.009629928405767929,-8.683181517710192e-05,0.47281323877068626,1.0,유지
11110640,이화동,2023,① 레전드,0.4258673261522843,-2.783527914762413,18.70393623788986,-1.6015184565366312,4421811.0,17.538013396992923,0.9408983451536644,0.47281323877068626,0.7654683127749878,1.0402572071584752,0.2639975654982719,0.4278641077092955,0.3315733281321157,6,-0.007092198581560294,-0.02383673377925677,-0.015464466180408531,-0.7092198581560405,1.0,유지
11110650,혜화동,2020,① 레전드,0.5288749298617168,,26.589373686836286,,1878954.6,,0.943127962085308,,0.5892986660275646,1.0772106663970695,0.2780854135654212,0.5001346093605326,0.3563811514942109,6,0.028436018957346043,0.026066350710900466,0.027251184834123254,2.3775111200743937,1.0,유지
11110650,혜화동,2021,① 레전드,0.4883996297394741,-4.047530012224271,27.14565747929217,0.5562837924558828,1946031.48,3.5699042435618056,0.966903073286052,2.3775111200743937,0.6499312811797308,1.1171839801951091,0.2808782276635467,0.4929820068862748,0.3604494032418835,6,-0.007092198581560183,0.007030576003047573,-3.081128925630505e-05,0.23640661938534313,1.0,유지
11110650,혜화동,2022,① 레전드,0.4957452415885452,0.7345611849071121,27.55715157977165,0.4114941004794801,2849566.9,46.42964049070779,0.9692671394799054,0.23640661938534313,0.7072597101172989,1.1375471793788403,0.2984866705870962,0.5106703808664019,0.3807567275770113,6,-0.0023640661938534313,0.007036178055639608,0.0023360559308930884,0.7092198581560183,1.0,유지
11110650,혜화동,2023,① 레전드,0.4872537091232035,-0.8491532465341733,25.83244377996164,-1.7247077998100089,3373912.23,18.400878042203537,0.9763593380614656,0.7092198581560183,0.7351129616878417,1.115012168067973,0.3026400355546165,0.5151404920403475,0.3827497224958672,6,-0.0023640661938534313,-0.004795357018811619,-0.003579711606332525,0.0,1.0,유지
11110670,창신1동,2020,⑦ 일반,0.1698601332123917,,12.085396954282599,,902632.66,,0.0260663507109004,,0.1461018178055442,0.9377372762569508,0.2309234791061248,0.1752276347285058,0.2570724687217033,0,0.035545023696682464,0.7654028436018957,0.40047393364928907,1.41227745846078,1.0,유지
11110670,창신1동,2021,⑦ 일반,0.2094467161806303,3.958658296823858,14.501222083945112,2.4158251296625135,1118470.63,23.912049670349834,0.0401891252955082,1.41227745846078,0.1624655735955723,1.0525999908851305,0.2367130319673142,0.180545638067113,0.2649004760687867,0,0.17966903073286053,0.8128914434248709,0.4962802370788657,-0.9456264775413701,1.0,유지
