행정동_코드,행정동,기준_년분기_코드,연도,분기,연도분기,상권티어,상권유형,트렌드_대표_매출,총_매출,트렌드매출_비중,업종점수,금요효과,주말비중,야간비중,2030비중,복합점수,복합점수_분위
11710631,가락1동,20201,2020,1,2020Q1,⑦ 일반,일반,80231585240.64662,322031760891,0.24914183935976142,0.053201851058408495,1.1829927822820512,0.20966721724337534,0.2177583985939066,0.20027106613198176,-3.1246264296799326,0.030732860520094562
11710631,가락1동,20202,2020,2,2020Q2,⑦ 일반,일반,87712497645.9112,326415736392,0.2687140596082515,0.05503919472933938,1.1816403628319507,0.23293614273451888,0.20647898567016462,0.20490599410525004,-3.452913860922127,0.026004728132387706
11710631,가락1동,20203,2020,3,2020Q3,⑦ 일반,일반,87788307951.07405,350828795192,0.25023119297556423,0.0463157636764319,1.1936876006406445,0.21760151493614002,0.19488514035623003,0.20512009298329387,-3.3102930351657247,0.03309692671394799
11710631,가락1동,20204,2020,4,2020Q4,⑦ 일반,일반,84558730656.60501,324923918410,0.26024163154990004,0.05052109964181322,0.9712287246603878,0.2280608981992364,0.19940148593568724,0.21430640925034755,-3.1425819911626114,0.03546099290780142
11710631,가락1동,20211,2021,1,2021Q1,⑦ 일반,일반,82932704601.1867,318727638298,0.2601992881572677,0.02748841866298539,1.0906143643902373,0.23479256611261248,0.1818868515939547,0.18462554595275352,-3.732836569234169,0.02122641509433962
11710631,가락1동,20212,2021,2,2021Q2,⑦ 일반,일반,99061246425.37534,376593645237,0.26304545410752633,0.025225115846077666,1.2634222396279498,0.2326244148646428,0.17440326647484033,0.18623262767714222,-3.485926886018711,0.02122641509433962
11710631,가락1동,20213,2021,3,2021Q3,⑦ 일반,일반,109539351882.38594,440986501363,0.24839615621753042,0.015624989723502056,1.0874020088824494,0.2204717135002932,0.15014048271853792,0.18138773227019087,-3.662931975626952,0.014150943396226415
11710631,가락1동,20214,2021,4,2021Q4,⑦ 일반,일반,97134233060.60855,424735124684,0.2286936667478955,0.025706237606609932,1.3069791848721426,0.20119333684393795,0.1427666220567801,0.18199776178273763,-3.7281394124361347,0.02358490566037736
11710631,가락1동,20221,2022,1,2022Q1,⑦ 일반,일반,103270070310.30254,381622629404,0.2706078265630757,0.023318428215060995,1.0782313137105222,0.24498306792500724,0.15278008482373526,0.1715724970850319,-3.540715643075675,0.01650943396226415
11710631,가락1동,20222,2022,2,2022Q2,⑦ 일반,일반,100231775649.08112,439898784757,0.2278519039429698,0.029314209249573973,1.1138332807924554,0.20248751172432647,0.1460679183314737,0.15902110312407916,-4.626980381376848,0.01179245283018868
11710631,가락1동,20223,2022,3,2022Q3,⑦ 일반,일반,98040995584.52287,481565142609,0.20358823118583952,0.024966371230406622,0.995648785480532,0.1776474166724732,0.1464820104665974,0.14431447883973397,-4.801638499428786,0.007075471698113208
