group,period,ratio
신흥상권,2022-04-01,2.23008
신흥상권,2022-05-01,2.60348
신흥상권,2022-06-01,2.42793
신흥상권,2022-07-01,2.41592
신흥상권,2022-08-01,2.48597
신흥상권,2022-09-01,2.23531
신흥상권,2022-10-01,2.54156
신흥상권,2022-11-01,2.12503
신흥상권,2022-12-01,2.10868
신흥상권,2023-01-01,2.0389
신흥상권,2023-02-01,2.03233
신흥상권,2023-03-01,1.95722
신흥상권,2023-04-01,1.99285
신흥상권,2023-05-01,2.17809
신흥상권,2023-06-01,2.0452
신흥상권,2023-07-01,2.11621
신흥상권,2023-08-01,2.00251
신흥상권,2023-09-01,1.93877
신흥상권,2023-10-01,2.19362
신흥상권,2023-11-01,1.79375
신흥상권,2023-12-01,1.88428
신흥상권,2024-01-01,1.86523
신흥상권,2024-02-01,1.87579
신흥상권,2024-03-01,1.8238
신흥상권,2024-04-01,1.93574
신흥상권,2024-05-01,2.21554
신흥상권,2024-06-01,1.94194
신흥상권,2024-07-01,2.06083
신흥상권,2024-08-01,1.72743
신흥상권,2024-09-01,1.81063
신흥상권,2024-10-01,2.15199
신흥상권,2024-11-01,1.94363
신흥상권,2024-12-01,1.71044
