행정동_코드,행정동,연도,상권티어,2030비중,2030소비_변화,20대_이동비율,20대_이동비율_변화,트렌드_유동인구,트렌드_유동인구_변화율,복합점수_분위,분위변화_현재,업종점수,금요효과,주말비중,야간비중,트렌드매출_비중,상권티어_코드,갭_2030소비,갭_20대이동,갭_평균,분위변화_next,타겟,타겟_레이블
11110515,청운효자동,2024,② 라이징스타,0.3668302058774036,-0.17681239520752623,11.470584011548718,-0.32761942642395603,2530511.26,-10.790203500019135,0.8274231678486997,-0.47281323877068626,0.5926112314951049,1.1649657731823777,0.2572953731147023,0.3197590413899417,0.3122419042257135,5,0.07801418439716312,-0.0004089498392210178,0.03880261727897105,,,
11110530,사직동,2024,⑤ 성숙·정체,0.3173744110138005,-0.7692330887632715,10.635343514546157,-1.6106167165005711,5414914.8,8.9861608463478,0.8888888888888888,-2.127659574468077,0.7830555942598041,1.0342092964771237,0.1927355121734474,0.4023071241700563,0.260455063147575,2,-0.05673758865248224,-0.09741969457609267,-0.07707864161428746,,,
11110540,삼청동,2024,⑤ 성숙·정체,0.4256310796485085,-1.9009138811769688,11.960293138479045,-2.2611843774732403,1428163.24,-2.1625992585019294,0.9881796690307328,-0.7092198581560405,0.9068808508616796,1.1840060172025015,0.3831710147265217,0.2971613924477603,0.4273149321724412,2,-0.04018912529550822,-0.14931710978902668,-0.09475311754226745,,,
11110550,부암동,2024,⑤ 성숙·정체,0.217662456918996,-2.930138615804739,4.204049059165325,-0.7056597797432431,986754.66,-5.565696608204762,0.7683215130023641,-8.274231678486998,0.5863807441938274,1.1236931856640724,0.2536683342906454,0.3015772500988448,0.3051128934076164,2,-0.29314420803782504,-0.38680492532463895,-0.339974566681232,,,
11110560,평창동,2024,⑤ 성숙·정체,0.1315649168090643,-2.399496642790222,1.9009198083493513,-0.6374007270738822,1245679.06,0.91568855979558,0.8747044917257684,-2.36406619385342,0.5777605546429101,1.0475442514268738,0.3043971595206076,0.3876448007212493,0.3631971388177673,2,-0.8132387706855793,-0.8391594680290859,-0.8261991193573326,,,
11110570,무악동,2024,⑦ 일반,0.1562476061816472,-0.6737864154412382,2.261403930998473,-0.49074415421156514,615201.46,1.3641853634154266,0.0614657210401891,0.4728132387706904,0.2869526162942208,1.15773367345657,0.1450246828829388,0.220580748099436,0.1865513491761097,0,0.08274231678486998,0.02147266758540329,0.052107492185136634,,,
11110580,교남동,2024,⑦ 일반,0.1908830734883279,-0.15542954299956058,2.7848673258015193,-0.6513037931338483,822486.22,-12.611557731084332,0.0661938534278959,-0.7092198581560307,0.4241206655199808,0.9675476084252036,0.1216246670479778,0.2438978101554552,0.1636691858996057,0,0.27423167848699764,0.09731325557684335,0.1857724670319205,,,
11110600,가회동,2024,⑤ 성숙·정체,0.4226457997027877,-1.105236251992231,17.661870353742504,-1.7064533415250835,1493053.82,-3.0825952345839513,0.983451536643026,1.1820330969267157,0.9253144194605112,1.1002907408782954,0.2905213116409071,0.3869180242447083,0.3539967606523481,2,-0.03782505910165479,-0.06165058877572738,-0.049737823938691084,,,
11110615,종로1·2·3·4가동,2024,⑦ 일반,0.3042381663852661,0.19932181325396647,15.242748366121534,-1.09628091074452,15756444.26,1.151931697341646,0.2340425531914893,-2.8368794326241176,0.3967154644352673,1.088020433736783,0.1850802504566147,0.3187327624625424,0.2406297897630913,0,0.5744680851063829,0.6664313804577997,0.6204497327820913,,,
11110630,종로5·6가동,2024,⑦ 일반,0.2131566326172083,-0.47747080777904016,8.02050115311326,-0.7739984158390776,2823031.45,-5.346833435887078,0.2813238770685579,-9.9290780141844,0.4052075921544299,1.1266486116990706,0.2229863270411915,0.2623322158149066,0.2670053665255565,0,0.1725768321513002,0.42246759212575485,0.29752221213852753,,,
