iter	Passed	Remaining
399	41127	58915
400	41232	58815
401	41335	58712
402	41438	58610
403	41540	58505
404	41642	58402
405	41742	58295
406	41846	58194
407	41949	58092
408	42050	57986
409	42153	57884
410	42257	57783
411	42362	57683
412	42464	57578
413	42566	57474
414	42670	57374
415	42773	57271
416	42877	57170
417	42982	57069
418	43083	56965
419	43185	56860
420	43286	56755
421	43389	56653
422	43502	56564
423	43605	56460
424	43706	56356
425	43810	56254
426	43913	56151
427	44012	56044
428	44114	55940
429	44217	55836
430	44318	55731
431	44420	55628
432	44524	55527
433	44630	55427
434	44732	55323
435	44834	55220
436	44937	55118
437	45038	55012
438	45138	54906
439	45241	54804
440	45343	54699
441	45446	54596
442	45549	54495
443	45652	54392
444	45754	54288
445	45858	54186
446	45956	54078
447	46059	53975
448	46164	53875
449	46267	53773
450	46373	53674
451	46476	53571
452	46589	53480
453	46706	53393
454	46812	53294
455	46914	53190
456	47014	53084
457	47119	52983
458	47219	52878
459	47321	52773
460	47422	52668
461	47523	52563
462	47624	52458
463	47727	52356
464	47831	52254
465	47933	52151
466	48035	52046
467	48139	51945
468	48244	51844
469	48345	51739
470	48447	51636
471	48548	51531
472	48650	51427
473	48751	51322
474	48854	51219
475	48952	51112
476	49052	51006
477	49155	50903
478	49260	50803
479	49364	50701
480	49467	50598
481	49569	50494
482	49673	50393
483	49773	50287
484	49878	50186
485	49981	50084
486	50082	49979
487	50184	49876
488	50289	49775
489	50389	49669
490	50490	49565
491	50592	49461
492	50694	49358
493	50797	49254
494	50900	49152
495	51000	49047
496	51102	48943
497	51205	48840
498	51308	48737
499	51414	48638
500	51516	48534
501	51619	48431
502	51722	48328
503	51822	48223
504	51923	48119
505	52023	48013
506	52128	47912
507	52242	47820
508	52352	47723
509	52454	47620
510	52553	47514
511	52658	47413
512	52762	47311
513	52865	47208
514	52964	47102
515	53067	46999
516	53172	46899
517	53273	46794
518	53378	46693
519	53482	46591
520	53585	46488
521	53688	46386
522	53791	46283
523	53894	46180
524	53992	46073
525	54093	45969
526	54195	45866
527	54296	45761
528	54399	45658
529	54500	45554
530	54601	45449
531	54703	45346
532	54805	45242
533	54910	45141
534	55009	45036
535	55113	44934
536	55216	44831
537	55319	44728
538	55421	44625
539	55523	44521
540	55624	44417
541	55725	44313
542	55830	44211
543	55932	44108
544	56034	44004
545	56134	43899
546	56236	43796
547	56341	43695
548	56441	43590
549	56545	43488
550	56650	43387
551	56753	43284
552	56856	43182
553	56958	43078
554	57062	42976
555	57167	42875
556	57269	42771
557	57369	42667
558	57471	42563
559	57573	42460
560	57678	42359
561	57792	42264
562	57899	42164
563	57996	42057
564	58100	41956
565	58201	41851
566	58304	41748
567	58407	41646
568	58507	41541
569	58613	41440
570	58715	41337
571	58820	41235
572	58922	41132
573	59026	41030
574	59126	40925
575	59228	40822
576	59327	40717
577	59432	40615
578	59539	40515
579	59640	40411
580	59742	40308
581	59841	40202
582	59946	40101
583	60053	40001
584	60154	39897
585	60259	39795
586	60358	39690
587	60460	39587
588	60562	39484
589	60661	39378
590	60761	39274
591	60860	39168
592	60960	39063
593	61061	38960
594	61164	38857
595	61265	38753
596	61365	38649
597	61469	38546
598	61572	38444
599	61673	38340
600	61775	38237
601	61875	38132
602	61976	38028
603	62076	37924
604	62176	37819
605	62274	37714
606	62370	37607
607	62469	37502
608	62568	37397
609	62680	37299
610	62788	37200
611	62886	37094
612	62984	36989
613	63083	36884
614	63186	36781
615	63285	36676
616	63386	36572
617	63487	36469
618	63589	36366
619	63690	36262
620	63788	36157
621	63888	36052
622	63984	35946
623	64082	35840
624	64181	35736
625	64278	35630
626	64379	35526
627	64480	35423
628	64577	35317
629	64678	35213
630	64781	35111
631	64877	35005
632	64974	34899
633	65072	34794
634	65169	34688
635	65267	34583
636	65366	34479
637	65463	34373
638	65562	34268
639	65661	34164
640	65755	34057
641	65851	33951
642	65951	33847
643	66050	33743
644	66147	33638
645	66246	33533
646	66343	33428
647	66442	33324
648	66538	33218
649	66636	33113
650	66733	33008
651	66833	32904
652	66932	32799
653	67032	32696
654	67130	32591
655	67229	32487
656	67327	32383
657	67425	32278
658	67520	32172
659	67631	32073
660	67739	31973
661	67839	31870
662	67939	31766
663	68039	31662
664	68141	31560
665	68241	31456
666	68344	31354
667	68444	31250
668	68546	31148
669	68646	31044
670	68746	30941
671	68849	30838
672	68949	30735
673	69052	30633
674	69152	30529
675	69252	30425
676	69353	30322
677	69456	30220
678	69556	30117
679	69655	30013
680	69759	29911
681	69861	29809
682	69965	29707
683	70066	29604
684	70170	29502
685	70272	29399
686	70374	29297
687	70475	29194
688	70577	29091
689	70678	28988
690	70783	28887
691	70885	28784
692	70984	28680
693	71085	28577
694	71188	28475
695	71284	28370
696	71384	28267
697	71485	28163
698	71587	28061
699	71687	27958
700	71790	27856
701	71891	27752
702	71991	27649
703	72095	27547
704	72199	27446
705	72303	27344
706	72407	27242
707	72508	27139
708	72621	27041
709	72734	26942
710	72837	26840
711	72936	26736
712	73037	26633
713	73141	26531
714	73243	26429
715	73344	26326
716	73447	26223
717	73550	26121
718	73649	26018
719	73753	25916
720	73855	25813
721	73957	25710
722	74057	25607
723	74160	25505
724	74259	25401
725	74360	25298
726	74463	25196
727	74565	25094
728	74668	24992
729	74771	24889
730	74873	24787
731	74974	24684
732	75075	24581
733	75176	24478
734	75280	24376
735	75382	24274
736	75486	24171
737	75589	24069
738	75691	23967
739	75796	23865
740	75896	23762
741	75998	23659
742	76101	23557
743	76202	23454
744	76306	23352
745	76408	23250
746	76511	23147
747	76611	23044
748	76715	22942
749	76816	22840
750	76918	22737
751	77020	22635
752	77121	22532
753	77222	22429
754	77330	22328
755	77442	22228
756	77542	22125
757	77643	22022
758	77743	21919
759	77846	21817
760	77949	21715
761	78052	21612
762	78155	21510
763	78256	21407
764	78360	21305
765	78462	21203
766	78562	21100
767	78662	20997
768	78766	20895
769	78869	20792
770	78966	20689
771	79068	20586
772	79167	20483
773	79268	20380
774	79368	20277
775	79466	20173
776	79569	20071
777	79671	19969
778	79774	19866
779	79879	19765
780	79981	19662
781	80082	19559
782	80183	19456
783	80284	19354
784	80385	19251
785	80492	19150
786	80594	19047
787	80697	18945
788	80796	18842
789	80900	18740
790	81003	18638
791	81101	18534
792	81204	18432
793	81307	18330
794	81414	18228
795	81515	18125
796	81618	18023
797	81718	17920
798	81819	17818
799	81922	17715
800	82021	17612
801	82120	17509
802	82221	17406
803	82319	17303
804	82420	17200
805	82521	17098
806	82621	16995
807	82727	16893
808	82848	16794
809	82950	16692
810	83053	16590
811	83153	16487
812	83257	16385
813	83354	16281
814	83454	16178
815	83556	16076
816	83656	15973
817	83756	15870
818	83858	15768
819	83961	15666
820	84064	15563
821	84170	15462
822	84272	15359
823	84374	15256
824	84479	15155
825	84582	15052
826	84684	14950
827	84788	14848
828	84889	14745
829	84989	14642
830	85092	14540
831	85190	14437
832	85292	14334
833	85394	14232
834	85499	14130
835	85599	14027
836	85703	13925
837	85810	13823
838	85915	13721
839	86017	13619
840	86124	13517
841	86228	13415
842	86330	13313
843	86433	13210
844	86533	13108
845	86633	13005
846	86736	12902
847	86835	12800
848	86938	12697
849	87038	12594
850	87137	12492
851	87235	12389
852	87339	12286
853	87459	12186
854	87560	12084
855	87660	11981
856	87758	11878
857	87858	11775
858	87962	11673
859	88063	11571
860	88160	11467
861	88262	11365
862	88365	11263
863	88461	11160
864	88567	11058
865	88666	10955
866	88767	10852
867	88868	10750
868	88970	10647
869	89073	10545
870	89175	10443
871	89277	10340
872	89376	10237
873	89477	10135
874	89578	10032
875	89679	9930
876	89780	9827
877	89879	9725
878	89983	9622
879	90088	9520
880	90181	9417
881	90282	9314
882	90385	9212
883	90486	9110
884	90586	9007
885	90689	8905
886	90789	8802
887	90890	8700
888	90991	8597
889	91094	8495
890	91194	8392
891	91296	8290
892	91396	8187
893	91497	8085
894	91599	7982
895	91700	7880
896	91800	7777
897	91900	7675
898	91999	7572
