iter	MultiClass
149	0.642696642
150	0.6409549018
151	0.6395508152
152	0.6378170775
153	0.6360800772
154	0.6351358105
155	0.6336681867
156	0.6317094119
157	0.6302005591
158	0.6285329109
159	0.6272673049
160	0.6255226948
161	0.6242282731
162	0.6228087611
163	0.6214840742
164	0.6201349927
165	0.6187174851
166	0.6170742846
167	0.615377544
168	0.6136135062
169	0.6124587863
170	0.6114393513
171	0.6098464194
172	0.6082823281
173	0.6065255118
174	0.6051433986
175	0.6036602604
176	0.6026421559
177	0.6016956196
178	0.6001902178
179	0.5981982673
180	0.5967506654
181	0.5955237988
182	0.5943122851
183	0.5924196641
184	0.591504136
185	0.5901111718
186	0.589096646
187	0.5873881847
188	0.5858374624
189	0.5848051136
190	0.5829942173
191	0.5821154884
192	0.5808128077
193	0.5794188652
194	0.5774873872
195	0.5765476286
196	0.5751945585
197	0.5742111833
198	0.5733537491
199	0.571884366
200	0.5701327165
201	0.568677191
202	0.5673541125
203	0.5657573875
204	0.5639981393
205	0.5625295107
206	0.5612626156
207	0.5600562244
208	0.5585499755
209	0.5575896839
210	0.556410738
211	0.5549591115
212	0.554030026
213	0.5525706327
214	0.5514465866
215	0.5500993468
216	0.5490957275
217	0.5477911835
218	0.5460737572
219	0.5448268852
220	0.5434940467
221	0.5421781838
222	0.5408148207
223	0.5393444948
224	0.538356158
225	0.5372318628
226	0.5363571093
227	0.5351263808
228	0.5340933143
229	0.5327612768
230	0.5313521611
231	0.5301439403
232	0.5290686248
233	0.5280462845
234	0.5267627391
235	0.5255483652
236	0.5240366964
237	0.522637355
238	0.5209968917
239	0.5198479886
240	0.5187426861
241	0.5176459678
242	0.5166875243
243	0.5154556436
244	0.5141937836
245	0.5132154429
246	0.5122735234
247	0.5110119057
248	0.5103302995
249	0.5091178632
250	0.5076737129
251	0.5066324592
252	0.5057616529
253	0.5049567534
254	0.5036375713
255	0.502965394
256	0.5018529613
257	0.5011393564
258	0.5000643904
259	0.498582235
260	0.4969603514
261	0.4957705577
262	0.4946217422
263	0.4936786518
264	0.492654526
265	0.4918473686
266	0.4904336046
267	0.4893618488
268	0.4887497524
269	0.4874919839
270	0.4863278117
271	0.4854983752
272	0.484138498
273	0.4831959329
274	0.48226825
275	0.481532563
276	0.4806784825
277	0.4793645567
278	0.4781365482
279	0.4768565371
280	0.4760960296
281	0.4754265613
282	0.4746542405
283	0.4734308248
284	0.4725637509
285	0.4712128977
286	0.470410692
287	0.4692440868
288	0.4687579037
289	0.4676295094
290	0.4659383782
291	0.4654147662
292	0.4645514394
293	0.4635586167
294	0.4627164707
295	0.4618427863
296	0.4609975291
297	0.4595309167
298	0.4580303451
299	0.4568904637
300	0.455993705
301	0.4543909831
302	0.4534797312
303	0.4526585169
304	0.4518173263
305	0.4509233548
306	0.4504635838
307	0.449872305
308	0.448923121
309	0.4480790773
310	0.4470826404
311	0.4458632277
312	0.4450756487
313	0.4437806575
314	0.4428326416
315	0.4419507736
316	0.4410476306
317	0.4402511964
318	0.4392455012
319	0.4382758048
320	0.4374343726
321	0.4367564216
322	0.4359632667
323	0.4352562018
324	0.4339335525
325	0.4331374533
326	0.4325132631
327	0.4316441846
328	0.4306478254
329	0.4298279271
330	0.4286364822
331	0.4278820573
332	0.4274751225
333	0.4265245298
334	0.4255793746
335	0.4248577939
336	0.4235647305
337	0.4226687559
338	0.4219311694
339	0.4210881951
340	0.4205318794
341	0.4198623191
342	0.419268556
343	0.4182484276
344	0.4174550243
345	0.4161479411
346	0.4149396164
347	0.4142100107
348	0.4136646049
349	0.4129844775
350	0.4124246118
351	0.4114966351
352	0.4103854626
353	0.4096132098
354	0.4088536884
355	0.4082289712
356	0.4075677991
357	0.4067493909
358	0.4057589231
359	0.4050926331
360	0.4040704875
361	0.4032141615
362	0.4023355122
363	0.4018100777
364	0.4010411436
365	0.4005561806
366	0.4001026313
367	0.3989246963
368	0.398143894
369	0.3972009194
370	0.3964197983
371	0.3953363651
372	0.394696323
373	0.3939303485
374	0.3931956054
375	0.3924135981
376	0.3913133057
377	0.3908807806
378	0.3900969378
379	0.3893809532
380	0.3887580284
381	0.3876804513
382	0.3868545351
383	0.3862611657
384	0.3855133687
385	0.384896383
386	0.3844247329
387	0.3838515254
388	0.3830582266
389	0.3819485902
390	0.3810515883
391	0.380572295
392	0.3797135029
393	0.3791879549
394	0.3781481287
395	0.3774308798
396	0.3767460647
397	0.3761528879
398	0.3751374717
399	0.3744129525
400	0.373997746
401	0.3733455713
402	0.3727626854
403	0.3718064586
404	0.371113746
405	0.3702494488
406	0.3691639192
407	0.3685401016
408	0.3676619151
409	0.3670382791
410	0.3664340161
411	0.3656479962
412	0.3650148685
413	0.3644920183
414	0.3637969841
415	0.3632111973
416	0.3626584465
417	0.3616893309
418	0.360956585
419	0.3603661031
420	0.3596392009
421	0.3590229319
422	0.3582117152
423	0.3574885198
424	0.3568188648
425	0.3560947802
426	0.3557395887
427	0.3549938343
428	0.3540450918
429	0.3531208365
430	0.3523372635
431	0.3518431919
432	0.3513734376
433	0.3506195966
434	0.3502620741
435	0.3497141335
436	0.3490592059
437	0.348277389
438	0.347268313
439	0.3466217156
440	0.345976451
441	0.3454665349
442	0.3445673953
443	0.3440731551
444	0.3434974633
445	0.3429436644
446	0.3425484886
447	0.3417369784
448	0.3409226397
449	0.3405170861
450	0.3398787165
451	0.3393071838
452	0.3384043754
453	0.3378569467
454	0.3371106603
455	0.3367952975
456	0.3362543401
457	0.3356609584
458	0.3351786847
459	0.3345344999
460	0.3340009672
461	0.3333327885
462	0.3326822099
463	0.3321765381
464	0.3313784744
465	0.3308442091
466	0.330406813
467	0.3298457594
468	0.3293176477
469	0.3286791026
470	0.3280927749
471	0.3274218229
472	0.326913683
473	0.3260128696
474	0.3253315168
475	0.3246358035
476	0.3240400419
477	0.323669112
478	0.322755829
479	0.3222131317
480	0.321562332
481	0.3211092195
482	0.3204506194
483	0.3198601299
484	0.319574531
485	0.3186672626
486	0.3180716391
487	0.3175630672
488	0.3169736734
489	0.3162750722
490	0.3157539608
491	0.315360923
492	0.3150719316
493	0.3147901279
494	0.3141449602
495	0.3134907098
496	0.3126778957
497	0.3122403317
498	0.3116661651
499	0.3110357207
500	0.3103364862
501	0.3098429976
502	0.3092405951
503	0.3084738331
504	0.3079197898
505	0.3074925952
506	0.3068659424
507	0.3063948711
508	0.3055599586
509	0.3051130627
510	0.3044673878
511	0.303848033
512	0.3032068512
513	0.3027203844
514	0.3023222965
515	0.3018452396
516	0.3011529539
517	0.3006632343
518	0.300020237
519	0.2994543758
520	0.2989177255
521	0.2983744114
522	0.297900226
523	0.2974439315
524	0.296640872
525	0.2960858166
526	0.2955405956
527	0.2950100849
528	0.2943961706
529	0.2939051197
530	0.2934869089
531	0.2930802305
532	0.2925181748
533	0.2919125694
534	0.2912693151
535	0.2907766305
536	0.2901016476
537	0.2894246841
538	0.2891080493
539	0.2884758806
540	0.2881058156
541	0.2874053305
542	0.2868430089
543	0.2860611862
544	0.2857325166
545	0.2854137532
546	0.2849664331
547	0.2842686405
548	0.2838546118
549	0.2833579577
550	0.2828174142
551	0.2823269796
552	0.2817053314
553	0.2811354217
554	0.2804775691
555	0.2799203117
556	0.2794894682
557	0.2788593873
558	0.2784576839
559	0.2779362138
560	0.2772323333
561	0.2768662009
562	0.2762971642
563	0.2757584547
564	0.2752379681
565	0.2747108871
566	0.2742332784
567	0.2738838179
568	0.2733321328
569	0.2727950477
570	0.2721759513
571	0.2715850334
572	0.2711113067
573	0.2704796671
574	0.2701137085
575	0.2695192766
576	0.2688433546
577	0.2683898231
578	0.2678362007
579	0.2674328668
580	0.2669800891
581	0.2664843715
582	0.2660738746
583	0.265626229
584	0.2653140278
585	0.2650449154
586	0.2644298306
587	0.2640408374
588	0.2635658072
589	0.2630363084
590	0.2624401542
591	0.2620140984
592	0.2613929751
593	0.2610259758
594	0.2604947289
595	0.2599356434
596	0.2596252552
597	0.2593514171
598	0.2588241119
599	0.2586121862
600	0.2581259371
601	0.2576808014
602	0.2572762931
603	0.2568402778
604	0.2565118003
605	0.2559507279
606	0.2557501499
607	0.2554085657
608	0.2549771151
609	0.2545515517
610	0.253959541
611	0.2536241249
612	0.2531968733
613	0.2530191586
614	0.2524599009
615	0.2520073978
616	0.2516510709
617	0.2512331073
618	0.2505801076
619	0.2502225977
620	0.2497395085
621	0.2492708733
622	0.2488833119
623	0.2484274852
624	0.248095794
625	0.2477190833
626	0.2471475532
627	0.246696992
628	0.2462592927
629	0.2459924288
630	0.2456426674
631	0.2452090098
632	0.2446492555
633	0.2440935797
634	0.2436542917
635	0.2431756771
636	0.2428477392
637	0.2425421394
638	0.2420608472
639	0.2417510791
640	0.2415603302
641	0.2410834276
642	0.2407927633
643	0.2405228539
644	0.2400756569
645	0.2397184769
646	0.2393918744
647	0.2390767052
648	0.2386928809
649	0.2383662089
650	0.237974715
651	0.2374958547
652	0.2371311386
653	0.2366684293
654	0.2362773276
655	0.235791474
656	0.2355417034
657	0.2351997802
658	0.2348059869
659	0.234511735
660	0.2340351986
661	0.233683617
662	0.2333016756
663	0.2330332866
664	0.2328433043
665	0.2324095974
666	0.2322294448
667	0.2318381177
668	0.2313336046
669	0.2310702018
670	0.2305949237
671	0.2301757369
672	0.22989129
673	0.2296386957
674	0.2292008579
675	0.2288492416
676	0.2285050988
677	0.2281707217
678	0.227696602
679	0.2273885047
680	0.2270829347
681	0.2266736513
682	0.2263840519
683	0.226196945
684	0.2256995991
685	0.2252664009
686	0.2248708387
687	0.2244803304
688	0.2242393542
689	0.2238718984
690	0.2235448585
691	0.2232414769
692	0.2229151302
693	0.2225575334
694	0.2221982573
695	0.2218601734
696	0.2214583404
697	0.221076969
698	0.2207332271
699	0.2203898781
700	0.2200032906
701	0.2196200262
702	0.2191913857
703	0.2188777508
704	0.2184800275
705	0.2182198188
706	0.2178721126
707	0.2176395873
708	0.2173104738
709	0.2169265179
710	0.2167087004
711	0.2164353643
712	0.2162238898
713	0.2158783074
714	0.215540688
715	0.2152904937
716	0.2149748059
717	0.2145992189
718	0.2142637391
719	0.2138223156
720	0.2133023458
721	0.2129205625
722	0.2126165772
723	0.2122866507
724	0.212106877
725	0.2117462453
726	0.21139662
727	0.2109331086
728	0.2107005618
729	0.2105148726
730	0.2101524792
731	0.2099248016
732	0.2096261262
733	0.2092994756
734	0.2090523411
735	0.2086287746
736	0.2083638496
737	0.208004583
738	0.207549788
739	0.2071369348
740	0.2068349109
741	0.2065798482
742	0.2061731488
743	0.2058370701
744	0.2056148686
745	0.205325645
746	0.2051341322
747	0.2048047795
748	0.2044246329
749	0.2041636863
750	0.2038307531
751	0.203588266
752	0.2033288676
753	0.2029793362
754	0.2027720192
755	0.2024675637
756	0.2023097386
757	0.2020488185
758	0.2017690679
759	0.2014186163
760	0.2010962207
761	0.200749
762	0.2005194196
763	0.2001450133
764	0.1999450092
765	0.1996403539
766	0.1994053501
767	0.199049781
768	0.1988221462
769	0.1985417553
770	0.1981989877
771	0.1977874701
772	0.1975887961
773	0.197343322
774	0.1970213496
775	0.1967750484
776	0.1965371753
777	0.1962253562
778	0.1959666047
779	0.1957070299
780	0.1954145969
781	0.1952033336
782	0.1950744768
783	0.1948943832
784	0.1945800406
785	0.1941598869
786	0.193867751
787	0.1936531104
788	0.1934767514
789	0.1930855546
790	0.1927819137
791	0.1923857529
792	0.1919669389
793	0.1916625517
794	0.1913737531
795	0.1911479028
796	0.1907862522
797	0.1906413179
798	0.1903415078
799	0.1900857357
800	0.1897397732
801	0.1894792582
802	0.1890760423
803	0.1888201212
804	0.1885747005
805	0.1883604312
806	0.1879515708
807	0.1878210551
808	0.1875781202
809	0.1872184589
810	0.1869122504
811	0.1866185666
812	0.1863264452
813	0.1860660915
814	0.185914314
815	0.1856532001
816	0.185433216
817	0.185159704
818	0.1848560722
819	0.1846518785
820	0.1844265914
821	0.1841354335
822	0.183795251
823	0.183549889
824	0.1833293784
825	0.183152903
826	0.1828176952
827	0.1825887532
828	0.182325062
829	0.1820257587
830	0.1817825166
831	0.1815195141
832	0.1812060947
833	0.1810028884
834	0.1806005849
835	0.1804018693
836	0.180131687
837	0.1799177414
838	0.1797448969
839	0.1794189127
840	0.1791349963
841	0.1788284846
842	0.1786112885
843	0.1783134558
844	0.1781496757
845	0.1778714929
846	0.1776544602
847	0.1773906545
848	0.1771029239
849	0.1769596087
850	0.1766847292
851	0.1763814803
852	0.1762496652
853	0.1759345632
854	0.1757531218
855	0.1755184141
856	0.1752697084
857	0.1749690381
858	0.1747915179
859	0.174595078
860	0.1743305674
861	0.1741244134
862	0.1738522308
863	0.1737383444
864	0.1735065124
865	0.1732684018
866	0.1729810038
867	0.1726672549
868	0.1723311723
869	0.1721280326
870	0.1719487867
871	0.1717490043
872	0.1714120534
873	0.1711182593
874	0.1709601659
875	0.1707962678
876	0.1705534377
877	0.1702753681
878	0.1700779939
879	0.1697677013
880	0.1694774212
881	0.1691714834
882	0.1688683103
883	0.168642084
884	0.168356706
885	0.1681377426
886	0.1678207076
887	0.1676008287
888	0.1673142482
889	0.1670481237
890	0.1668710679
891	0.1666563539
892	0.1664368392
893	0.1661658949
894	0.165936299
895	0.1657179323
896	0.165419684
897	0.1651639733
898	0.1649099511
899	0.1647304312
900	0.1645539882
901	0.164386241
902	0.1642117856
903	0.1639841624
904	0.163704628
905	0.1634837104
906	0.1633137853
907	0.1631189071
908	0.1628859332
909	0.162694647
910	0.1624973853
911	0.1621901217
912	0.1619693287
913	0.1616831892
914	0.1614989529
915	0.1612946631
916	0.1609958519
917	0.1608103323
918	0.1606545215
919	0.1604346383
920	0.16015284
921	0.1599610195
922	0.159787504
923	0.1595663741
924	0.1593770658
925	0.1592070837
926	0.1591120904
927	0.1588998956
928	0.1586721377
929	0.1584111657
930	0.1582474937
931	0.1581341396
932	0.1579736564
933	0.1577614508
934	0.157497622
935	0.1573101905
936	0.157140193
937	0.1569348892
938	0.1568097078
939	0.1565983064
940	0.1563722572
941	0.1561380092
942	0.1558724077
943	0.1556427588
944	0.1553411455
945	0.1551998788
946	0.1549769183
947	0.154797556
948	0.1545359244
949	0.1542905107
950	0.1541139898
951	0.1538557452
952	0.1536632324
953	0.1535645475
954	0.1533188292
955	0.1531623714
956	0.1529738179
957	0.1528580318
958	0.1525584331
959	0.1523453699
960	0.1521289041
961	0.1519318142
962	0.1518224491
963	0.1516476444
964	0.1515458981
965	0.1513355018
966	0.1511528914
967	0.1509622026
968	0.1507251408
969	0.1506048145
970	0.1504494486
971	0.1502451127
972	0.1500098018
